ABBREVIATIONS,USED,FOR,DAILY,SURFACE,TAB2,DATA,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
----------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDEX,=,INDEX,NO.,OF,THE,STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,=,MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,=,DATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAX,=,MAXIMUM,TEMPERATURE,(in,degree,C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIN,=,MINIMUM,TEMPERATURE,(in,degree,C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AW,=,AVERAGE,WIND,SPEED,(in,Kms.,per,Hour),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R/F,=,RAINFALL,(in,mm,),IN,24,HOURS,ENDING,O830,HOURS,IST,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS,=,WEATHER,DAY,WITH,DUSTSTORM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FG,=,WEATHER,DAY,WITH,FOG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,=,WEATHER,DAY,WITH,GALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T,=,TYPE,OF,WEATHER,(in,code),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,-,Lightning,1,-,Haze,2,-,Mist,3,-,Sand/dust,storm,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-,Fog,5,-,Drizzle,6,-,Rain/Showers,7,-,Squall,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,-,Gale,9,-,Thunderstorm,J,-,Hailstorm,K,-,Dust,fog,,,,,,,,,,,,,,,,,,,,,,,,,,,
L,-,Line,squall,M,-,Ground,frost,N,-,Dew,O,-,Snow,or,sleet,,,,,,,,,,,,,,,,,,,,,,,,
G,=,TIME,OF,COMMENCEMENT,OF,WEATHER,(in,code),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-,1,to,300,hrs,IST,2,-,301,to,600,hrs,IST,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-,601,to,900,hrs,IST,4,-,901,to,1200,hrs,IST,,,,,,,,,,,,,,,,,,,,,,,,,,
5,-,1201,to,1500,hrs,IST,6,-,1501,to,1800,hrs,IST,,,,,,,,,,,,,,,,,,,,,,,,,,
7,-,1801,to,2100,hrs,IST,8,-,2101,to,2400,hrs,IST,,,,,,,,,,,,,,,,,,,,,,,,,,
If,one,phenomenon,has,occured,more,than,once,in,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day,then,first,time,of,its,commencement,is,reported.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUR,=,DURATION,IN,MINUTES,UPTO,804,MINUTES.,FOR,GREATER,THAN,804,"MINUTES,",,,,,,,,,,,,,,,,,,,,,,,,,,,
THE,VALUE,IS,ROUNDED,OFF,TO,NEAREST,TENS,OF,MINUTES,AND,800,IS,ADDED,,,,,,,,,,,,,,,,,,,,,,,,,,
TO,THE,VALUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e.g.,IF,DURATION,IS,947,MINUTES,THEN,IT,IS,ENTERED,AS,895,i.e.,95+800,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE,:,WEATHER,DAY,WITH,0,MEANS,THE,TYPE,OF,WEATHER,NOT,OCCURRED,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEATHER,DAY,WITH,1,MEANS,THE,TYPE,OF,WEATHER,OCCURRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDEX,YEAR,MN,DT,..MAX,..MIN,AW,..R/F,.EVP,DRNRF,.SSH,TS,N,FFF,D,TOCSQ,DU,RA,DZ,SN,SL,HA,TH,DS,FG,GA,T,G,DUR,T,G,DUR,T,G,DUR,T,G,DUR,,
------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42867,2005,1,1,30.7,14.7,2,0,5.4,9,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
42867,2005,1,2,30.7,17.1,2,0,4.9,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
42867,2005,1,3,25.5,16.7,2,0,3.5,1,5,8,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,1,4,31,17.2,4,0,4.4,0,0,8.4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,1,5,31.1,15.6,3,0,4.8,0,0,8.2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,1,6,31.1,15.5,3,0,4.9,0,0,8.6,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,1,7,31.2,15.5,3,0,4.5,0,0,8.1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,1,8,31.1,13.8,3,0,4.8,0,0,9.3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,1,9,29.2,11.4,3,0,3.9,0,0,9.6,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,1,10,30.2,12.1,2,0,4.2,0,0,9.7,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,1,11,30.7,13.3,5,0,4.2,0,0,9.7,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,1,12,28.7,12.2,4,0,0,0,9.6,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
42867,2005,1,13,28.5,11.4,3,0,4.2,0,0,9.7,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,1,14,30.2,10.9,3,0,3.8,0,0,9.6,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,1,15,30,12.8,3,0,3.8,0,0,8.1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,1,16,30.1,12.1,3,0,4.4,0,0,9.3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,1,17,30,15.6,3,0,4.5,0,0,8.8,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,1,18,29.7,11,8,0,4.2,0,0,9.8,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,1,19,27.6,11,4,0,4,0,0,9.6,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,1,20,25.4,9.6,4,0,3.6,0,0,9.5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,1,21,26.9,9.5,4,0,3.8,0,0,9.6,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,1,22,29,12.5,3,0,4.4,0,0,7.6,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,1,23,29.5,17.2,3,0,4.2,0,39,8.8,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,1,24,30.9,12.4,6,0,4.3,0,0,9.3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,1,25,28,11.5,5,0,3.8,0,0,7.5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,1,26,29.1,14.2,4,0,4.1,0,0,8.8,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,1,27,31,16.2,3,1.4,3.2,2,0,4.8,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,1,28,28.2,16.8,4,0.3,3.2,1,30,3.7,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,1,29,25.2,14.3,5,1.3,3.2,1,15,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,1,30,23.2,15.4,7,48.5,0.1,2,12,0.5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,1,31,21.6,15.5,7,77.8,1,16,47,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,2,1,19.3,11.7,6,2.6,1.8,9,20,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,2,2,26,10,4,0,3,10.4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
42867,2005,2,3,25.5,11,3,0,3.3,10.4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
42867,2005,2,4,27,12.5,4,0,3.9,10.2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
42867,2005,2,5,28.6,15.2,2,0,3.8,0,0,10.3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,2,6,31.7,14.6,4,0,4.3,10.2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
42867,2005,2,7,32,18.2,4,0,4.5,9.7,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
42867,2005,2,8,31.9,18.6,4,0,4.9,8.9,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
42867,2005,2,9,32.4,16.4,4,0,4.7,0,0,9.6,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,2,10,32.7,17,3,0,5.2,10.4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
42867,2005,2,11,33.4,17.4,4,0,4.8,10.5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
42867,2005,2,12,34.1,18,2,0,4.7,0,0,10.3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,2,13,34.4,18.3,4,0,5.4,0,0,10.3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,2,14,35.2,15.2,4,0,5.6,10.3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
42867,2005,2,15,35.2,15.3,3,0,4.8,10.6,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
42867,2005,2,16,36.4,17.6,7,0,5,10.7,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
42867,2005,2,17,34.1,17,4,0,5.6,0,0,10.3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,2,18,34.5,16,5,0,5.4,10.6,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
42867,2005,2,19,32.4,16.8,4,0,5.2,10.4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
42867,2005,2,20,32.3,17.2,4,0,5.1,10.1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
42867,2005,2,21,32.8,16.9,3,0,5.4,0,0,9.8,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,2,22,33.1,15.5,5,0.4,4.9,2,25,9.5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,2,23,31.1,17.6,6,0,4.6,10.1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
42867,2005,2,24,30.9,15.6,5,0,4.7,10.1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
42867,2005,2,25,33.4,17,3,0,5.6,0,0,10.1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,2,26,34.4,17.7,3,0,5.3,10,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
42867,2005,2,27,33.6,17.6,3,0,5.3,10.1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
42867,2005,2,28,35.5,18.7,3,0,5,10.2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
42867,2005,3,1,33.6,21,5,0.5,4.6,1,0,8.3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,3,2,34.6,18.6,4,0,5.2,9.5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
42867,2005,3,3,35.6,20,3,0,5.4,9.7,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
42867,2005,3,4,36.3,17.7,3,0,5.4,0,0,9.5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,3,5,36.3,18.8,5,0,5.5,0,0,10,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,3,6,36,18.2,3,0,4.9,9.8,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
42867,2005,3,7,35.3,19.8,3,0,4.6,8.6,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
42867,2005,3,8,35.2,22,5,0,4.7,0,55,0.2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,3,9,30.1,17.7,6,1,4,5,32,6.7,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,3,10,32.2,18.5,4,10,4.2,5,7,7.9,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,3,11,31,18,3,2.7,3.7,0,30,9.9,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,3,12,32.7,18.4,5,0,4.8,0,0,10.4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,3,13,33.1,18,6,0,5.1,0,0,10.3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,3,14,33.2,17.5,4,0,1.2,10.3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
42867,2005,3,15,34.6,17.5,3,0,5.2,10.3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
42867,2005,3,16,37,17.6,2,0,5.3,9.6,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
42867,2005,3,17,37,18.8,2,0,5.8,0,0,10.2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,3,18,38.2,20.8,3,0,5.9,0,0,9.9,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,3,19,38.1,21.5,3,0,5.8,10.1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
42867,2005,3,20,38.6,21.5,3,0,6,9.9,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
42867,2005,3,21,39.5,22,4,0,6.2,0,0,9.3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,3,22,39.8,22.9,4,0,5.8,0,0,9.8,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,3,23,38.5,23.1,6,0,5.5,9.9,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
42867,2005,3,24,37.3,20.8,6,0,5.6,10.2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
42867,2005,3,25,35.8,20.5,4,0,5.6,0,0,10.5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,3,26,37.1,18.5,2,0,5.2,10.1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
42867,2005,3,27,37.7,19.8,3,0,5.7,10.1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
42867,2005,3,28,40.1,21.5,4,0,6,10.2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
42867,2005,3,29,39.8,22.4,5,0,6,10.3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
42867,2005,3,30,39,24.2,5,0,5.8,10,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
42867,2005,3,31,39.2,24.1,6,0,5.9,0,0,9.3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,4,1,39.5,23,5,0,6,9.9,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
42867,2005,4,2,38.5,18.8,4,0,6,0,0,10,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,4,3,39.1,21,4,0,5.7,10.1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
42867,2005,4,4,39.5,20.3,4,0,5.8,10.2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
42867,2005,4,5,39.9,19.7,4,0,6,10.3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
42867,2005,4,6,40.2,19.7,3,0,6,0,0,10.2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,4,7,39.7,23.2,4,0,6,0,0,9.2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,4,8,39.5,25.6,5,0,5.9,0,0,8.7,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,4,9,41.2,23.6,7,0,5.7,8.7,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
42867,2005,4,10,40,20.3,5,0,5.8,9.6,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
42867,2005,4,11,39.6,21.8,6,0,5.6,9.7,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
42867,2005,4,12,38.7,19.7,5,0,5.3,10,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
42867,2005,4,13,40.4,20.6,3,0,5.6,8,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
42867,2005,4,14,41.5,25.3,4,0,5.4,0,13,2.6,1,0,0,0,0,1,0,0,0,9,3,60,6,3,13,,,,,,,,,,,,,
42867,2005,4,15,38.1,25.2,5,0,5.5,0,0,8.3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,4,16,41.3,22.4,4,0,5.9,0,0,8.4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,4,17,41.6,24.2,5,0,5.6,9.9,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
42867,2005,4,18,42.5,23,5,0,6.2,0,0,8.9,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,4,19,34.1,24,4,0,6,0,0,7.8,1,0,0,0,0,1,1,0,0,9,6,445,6,6,55,3,6,30,,,,,,,,,,
42867,2005,4,20,41.5,23.2,5,0,5.8,0,55,10.2,0,0,0,0,0,1,1,0,0,9,1,330,3,1,330,,,,,,,,,,,,,
42867,2005,4,21,41.1,22,4,0,5.5,0,0,8.7,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,4,22,41.6,24,3,0,5.8,0,0,9.8,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,4,23,42.3,26.6,4,0,6.4,0,0,7.4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,4,24,41.2,30,9,0,5.6,0,0,0,1,0,0,0,0,0,0,0,0,6,4,45,,,,,,,,,,,,,,,,
42867,2005,4,25,37,21,6,2.3,4.9,3,5,8,1,0,0,0,0,1,0,0,0,9,8,105,6,2,245,,,,,,,,,,,,,
42867,2005,4,26,38.6,19.4,7,4,4.6,3,5,10.7,1,0,0,0,0,1,0,0,0,9,1,80,6,1,80,,,,,,,,,,,,,
42867,2005,4,27,37.6,22,4,0,5.4,0,0,10.9,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,4,28,41.5,24.3,5,0,5.7,0,0,9.8,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,4,29,40.1,25.7,5,0,5.7,0,0,9,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,4,30,40.7,23.7,4,0,5.6,0,0,10.3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,5,1,40,24.1,4,0,5.6,0,0,9.8,1,0,0,0,0,1,0,0,0,9,5,48,6,5,10,,,,,,,,,,,,,
42867,2005,5,2,38.3,22.5,6,0,5,0,10,9.7,0,0,0,0,0,1,0,0,0,9,6,70,,,,,,,,,,,,,,,,
42867,2005,5,3,39.3,22.2,5,0,4.8,0,0,8.2,1,0,0,0,0,1,1,0,0,9,5,68,6,6,117,3,6,29,,,,,,,,,,
42867,2005,5,4,38.6,22,7,1.8,3.8,1,57,6,1,0,0,0,0,1,0,0,0,9,6,75,6,6,90,,,,,,,,,,,,,
42867,2005,5,5,38.9,23,4,8,4.9,1,30,9.7,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,5,6,38.7,23.4,4,0,5.1,0,0,10.2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,5,7,40.4,23.3,4,0,1.2,4,20,8.5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,5,8,42.6,27,6,0,5.8,0,0,9.2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,5,9,43.7,30.6,7,0,6.5,0,0,10,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,5,10,43.1,29.2,9,0,5.9,0,0,11,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,5,11,42.7,28,10,0,6.2,0,0,11.1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,5,12,43.1,26.1,10,0,6.1,0,0,11.5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,5,13,43.9,23,6,0,6.1,0,0,11.1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,5,14,44.2,24.2,8,0,6.2,0,0,11.4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,5,15,44.6,25.4,5,0,6.3,0,0,10.7,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,5,16,45,29.5,8,0,6,0,0,11,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,5,17,46,29.4,8,0,6.8,0,0,11.1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,5,18,46.6,32,9,0,7.2,0,0,10.9,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,5,19,46.1,28,6,0,7,0,0,11.3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,5,20,44.6,30.3,7,0,6,0,0,9.8,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,5,21,45.6,29.6,4,0,6.5,0,7,10.8,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,5,22,46.3,29.2,4,0,6.8,0,7,10.1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,5,23,47.6,32.2,7,0,7,0,7,10.7,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
42867,2005,5,24,46.5,30.6,7,0,6.4,0,0,10.5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
