date,MAX,MIN,R.F,EVP,DR,NRF,SSH,...SLP,..MSLP,..DBT,..WBT,..DPT,.RH,..VP,DD,FFF,AW,VV,Cl,A,Cm,A.1,Ch,A.2,Dl,Dm,Dh,TC,h,c,a,Ht
2005-02-10,32.7,17,0,5.2,10.4,0,0,971.8,1013,25.6,16,7.6,33,104,2,8,6,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-02-11,33.4,17.4,0,4.8,10.5,0,0,976.7,1011.4,26.8,17.6,10.5,36,127,36,3,4,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-02-12,34.1,18,0,4.7,0,0,10.3,980.1,1016.3,15.8,11.8,7.9,59,107,36,8,5,96,0,0,3,1,1,1,0,0,0,2,9,3,1,60
2005-02-13,34.4,18.3,0,5.4,0,0,10.3,975.8,1010.5,27,17.8,10.8,36,129,9,8,4,96,1,1,3,3,0,0,0,0,0,4,5,8,1,25
2005-02-14,35.2,15.2,0,5.6,10.3,0,0,975.2,1009.9,27,18.8,13.1,42,151,18,8,5,96,0,0,3,2,0,0,0,0,9,0,2,3,2,60
2005-02-15,35.2,15.3,0,4.8,10.6,0,0,973.6,1008.2,27.6,17.8,10.2,34,125,25,14,9,96,8,3,0,0,1,1,0,0,0,4,5,6,1,20
2005-02-16,36.4,17.6,0,5,10.7,0,0,976.9,1011.9,25,15.4,6.6,31,197,18,12,4,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-02-17,34.1,17,0,5.6,0,0,10.3,979.3,1014.5,23.6,15.4,8.2,37,109,0,0,6,96,0,0,0,0,1,1,0,0,1,9,0,1,75,0
2005-02-18,34.5,16,0,5.4,10.6,0,0,980.4,1015.6,23.4,13.8,3.8,28,80,9,14,7,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-02-19,32.4,16.8,0,5.2,10.4,0,0,979.8,1014.7,26.4,17.2,9.9,36,122,5,12,6,96,0,0,0,0,1,2,0,0,9,2,9,0,2,75
2005-02-20,32.3,17.2,0,5.1,10.1,0,0,976.6,1011.2,28,19.8,14.4,43,164,14,8,7,96,8,2,3,2,1,2,6,5,6,2,25,0,NA,NA
2005-02-21,32.8,16.9,0,5.4,0,0,9.8,975.6,1010.1,28.2,17.2,8.2,28,109,23,12,6,96,0,0,0,0,1,5,0,0,9,5,9,0,5,75
2005-02-22,33.1,15.5,0.4,4.9,2,25,9.5,977.3,1012.2,25.2,15.8,7.5,32,104,36,4,6,96,0,0,0,0,1,3,0,0,9,3,9,0,3,75
2005-02-23,31.1,17.6,0,4.6,10.1,0,0,975.8,1010.7,25.6,17,10.2,38,124,9,10,6,96,8,3,3,2,0,0,9,9,0,5,5,6,2,25
2005-02-24,30.9,15.6,0,4.7,10.1,0,0,972,1006.5,27.5,20.4,16,50,182,11,4,4,96,5,2,3,2,1,2,6,5,6,2,20,0,NA,NA
2005-02-25,33.4,17,0,5.6,0,0,10.1,973.3,1007.7,26.2,21.4,18.7,63,216,7,6,5,96,3,4,3,3,0,0,0,7,5,6,4,20,0,NA
2005-02-26,34.4,17.7,0,5.3,10,0,0,973.9,1008.9,24,19.8,17.2,66,196,27,12,5,96,8,3,3,3,0,0,9,9,0,6,5,6,2,25
2005-02-27,33.6,17.6,0,5.3,10.1,0,0,974,1009.8,17.4,17,16.7,96,190,5,10,9,95,3,5,3,2,0,0,9,9,0,7,4,7,2,10
2005-02-28,35.5,18.7,0,5,10.2,0,0,974.3,1009.9,18.8,18.4,18.1,96,208,9,18,5,93,9,5,2,3,9,9,8,4,7,3,10,21,NA,NA
2005-03-01,33.6,21,0.5,4.6,1,0,8.3,979,1015,18,14.4,11.5,65,135,36,10,8,96,5,4,7,3,0,0,0,7,4,6,4,18,2,NA
2005-03-02,34.6,18.6,0,5.2,9.5,0,0,981.8,1018.1,15.6,13.6,11.9,79,139,36,12,4,95,0,0,3,1,0,0,0,0,1,9,3,1,60,0.6
2005-03-03,35.6,20,0,5.4,9.7,0,0,982.6,1018.9,15.4,12.6,10.1,70,124,36,12,3,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-03-04,36.3,17.7,0,5.4,0,0,9.5,981.6,1017.7,16.5,12,7.6,56,104,2,6,2,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-03-05,36.3,18.8,0,5.5,0,0,10,980.8,1016.9,17,13.8,11.1,68,132,36,6,2,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-03-06,36,18.2,0,4.9,9.8,0,0,978.8,1014.6,18.6,15.4,12.9,70,149,0,0,1,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-03-07,35.3,19.8,0,4.6,8.6,0,0,979.5,1015.1,20.2,15.2,11.1,56,132,5,10,2,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-03-08,35.2,22,0,4.7,0,55,0.2,980,1015.6,20.6,19.4,18.7,89,216,36,4,2,94,8,3,3,2,0,0,9,9,0,5,5,6,1,20
2005-03-09,30.1,17.7,1,4,5,32,6.7,981.5,1016.9,22.2,18.4,15.9,67,181,0,0,1,95,5,1,3,2,0,0,9,9,0,3,5,6,1,20
2005-03-10,32.2,18.5,10,4.2,5,7,7.9,983.3,1019.1,20.8,17.4,15.1,70,171,0,0,1,95,0,0,3,1,1,4,0,9,9,5,9,3,1,60
2005-03-11,31,18,2.7,3.7,0,30,9.9,983.6,1019.2,22,18.4,16,69,182,2,10,1,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-03-12,32.7,18.4,0,4.8,0,0,10.4,983.9,1019.3,23.2,18,14.4,58,164,0,0,2,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-03-13,33.1,18,0,5.1,0,0,10.3,982.1,1017.4,23.4,18.6,15.4,61,175,0,0,1,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-03-14,33.2,17.5,0,1.2,10.3,0,0,980.4,1015.7,22.8,16.4,11.4,49,135,36,10,3,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-03-15,34.6,17.5,0,5.2,10.3,0,0,978.4,1013.8,22,16.6,12.5,55,145,0,0,2,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-03-16,37,17.6,0,5.3,9.6,0,0,976,1011.3,22,15.2,9.4,44,118,23,12,2,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-03-17,37,18.8,0,5.8,0,0,10.2,974.8,1009.8,23.5,16.4,10.7,45,129,20,10,6,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-03-18,38.2,20.8,0,5.9,0,0,9.9,975.1,1010.3,22.8,17.2,13.1,54,151,0,0,2,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-03-19,38.1,21.5,0,5.8,10.1,0,0,977,1012.3,22.4,16,10.9,48,130,0,0,3,95,0,0,0,0,1,4,0,0,9,4,9,0,4,75
2005-03-20,38.6,21.5,0,6,9.9,0,0,978,1013.4,21.8,13.6,5.4,35,90,34,12,3,96,0,0,0,0,1,4,0,0,9,4,9,0,4,75
2005-03-21,39.5,22,0,6.2,0,0,9.3,978.8,1014.3,20.6,14.4,8.9,49,114,32,12,3,96,0,0,3,1,1,3,0,4,9,3,1,60,0,1.5
2005-03-22,39.8,22.9,0,5.8,0,0,9.8,977.7,1013.1,22,16,11.2,50,133,11,6,2,96,5,1,3,3,0,0,9,9,0,4,5,6,1,25
2005-03-23,38.5,23.1,0,5.5,9.9,0,0,979,1015.5,19.6,16,13.3,67,153,0,0,4,96,0,0,3,1,0,0,0,9,0,1,9,3,1,60
2005-03-24,37.3,20.8,0,5.6,10.2,0,0,981.1,1016.9,19.8,13,6.2,41,75,36,22,6,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-03-25,35.8,20.5,0,5.6,0,0,10.5,980.3,1015.9,20.5,14,8,45,107,36,12,4,95,0,0,0,0,1,1,0,0,1,9,0,1,75,0
2005-03-26,37.1,18.5,0,5.2,10.1,0,0,979.8,1015.3,21.6,14,6.8,38,99,36,8,3,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-03-27,37.7,19.8,0,5.7,10.1,0,0,980.6,1015.8,23.4,15.2,7.9,37,107,36,12,3,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-03-28,40.1,21.5,0,6,10.2,0,0,979,1014.3,22.4,16,10.9,48,130,0,0,3,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-03-29,39.8,22.4,0,6,10.3,0,0,978.6,1013.6,25,18,13,47,150,5,8,1,95,0,0,3,1,9,2,0,3,9,3,1,60,0,1.5
2005-03-30,39,24.2,0,5.8,10,0,0,979.4,1014.6,23.4,16,9.9,42,122,36,12,8,96,5,2,0,0,0,0,0,0,2,5,6,2,25,0
2005-03-31,39.2,24.1,0,5.9,0,0,9.3,978.7,1013.9,23.6,15.4,8.2,37,109,9,6,4,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-04-01,39.5,23,0,6,9.9,0,0,977.8,1013,24,16.4,10.3,42,125,9,10,6,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-04-02,38.5,18.8,0,6,0,0,10,976.5,1011.2,26.2,17.6,11,39,131,14,8,4,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-04-03,39.1,21,0,5.7,10.1,0,0,974.8,1009.2,29,18.6,10.9,32,130,29,12,8,96,1,2,0,0,0,0,9,0,0,2,5,8,2,30
2005-04-04,39.5,20.3,0,5.8,10.2,0,0,975,1009.4,29.2,21.4,16.8,47,191,16,15,6,96,8,4,0,0,0,0,9,0,0,4,9,0,1,20
2005-04-05,39.9,19.7,0,6,10.3,0,0,978.4,1010.8,29.6,20.2,14,39,160,16,12,9,96,1,3,0,0,1,2,9,0,9,5,5,8,3,25
2005-04-06,40.2,19.7,0,6,0,0,10.2,978.3,1012.7,29.6,18.8,10.8,31,129,18,10,7,96,5,1,0,0,1,4,9,0,9,5,5,6,1,25
2005-04-07,39.7,23.2,0,6,0,0,9.2,979.8,1014.2,30.2,19,10.7,30,129,16,6,6,96,0,0,0,0,1,2,0,0,9,2,9,0,2,75
2005-04-08,39.5,25.6,0,5.9,0,0,8.7,979.7,1014.2,30,19.8,10.9,31,130,9,14,7,96,0,0,0,0,1,1,0,0,1,9,0,1,75,0
2005-04-09,41.2,23.6,0,5.7,8.7,0,0,979,1013.3,31.2,20.4,13.2,33,151,11,12,4,96,0,0,0,0,1,1,0,0,1,9,0,1,75,0
2005-04-10,40,20.3,0,5.8,9.6,0,0,978.1,1012.3,31.8,20.4,12.7,31,147,18,10,6,96,1,1,0,0,0,0,0,0,1,5,8,1,30,0
2005-04-11,39.6,21.8,0,5.6,9.7,0,0,975.8,1009.8,33,17,0.7,13,64,34,10,8,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-04-12,38.7,19.7,0,5.3,10,0,0,973.4,1007.4,32.8,19.4,9.2,23,116,29,14,5,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-04-13,40.4,20.6,0,5.6,8,0,0,970.7,1004.4,33.5,17.4,1.6,13,69,23,28,9,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-04-14,41.5,25.3,0,5.4,0,13,2.6,970.8,1004.7,31.4,20,12.1,31,141,20,18,7,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-04-15,38.1,25.2,0,5.5,0,0,8.3,977.5,1005.5,32,18.4,7.2,21,101,25,26,8,96,0,0,3,1,0,0,0,9,0,1,9,3,1,60
2005-04-16,41.3,22.4,0,5.9,0,0,8.4,972.8,1007,30,18.4,9.3,28,117,20,18,6,96,0,0,0,0,1,5,0,0,9,5,9,0,5,75
2005-04-17,41.6,24.2,0,5.6,9.9,0,0,974.4,1008.9,29.5,18,8.8,27,113,18,14,7,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-04-18,42.5,23,0,6.2,0,0,8.9,975,1009.2,30.2,19.8,12.7,34,147,0,0,4,96,0,0,3,2,1,2,0,9,9,4,9,3,2,60
2005-04-19,34.1,24,0,6,0,0,7.8,973,1007.1,30.4,18.8,10,28,123,14,10,7,96,8,2,3,1,0,0,9,9,0,3,5,6,1,25
2005-04-20,41.5,23.2,0,5.8,0,55,10.2,975.5,1009.9,29.6,20.6,14.9,41,169,11,6,5,96,1,2,0,0,0,0,9,0,0,2,5,8,2,30
2005-04-21,41.1,22,0,5.5,0,0,8.7,976.2,1010.7,28.2,19.2,13,39,150,9,12,6,96,0,0,3,1,1,1,0,2,9,3,1,60,0,3.5
2005-04-22,41.6,24,0,5.8,0,0,9.8,976,1010.2,30.8,20.8,14.4,37,164,14,6,4,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-04-23,42.3,26.6,0,6.4,0,0,7.4,975.4,1009.6,31,18.4,8.3,24,109,9,12,4,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-04-24,41.2,30,0,5.6,0,0,0,975.8,1010,30.8,19.4,11.1,30,132,9,12,5,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-04-25,37,21,2.3,4.9,3,5,8,974.7,1008.7,32.4,20.2,11.7,28,137,9,10,6,96,1,1,0,0,1,1,0,1,5,8,1,25,0,3.5
2005-04-26,38.6,19.4,4,4.6,3,5,10.7,975,1009.2,31,22.2,17.2,44,196,5,8,5,96,5,2,3,3,2,1,9,9,9,6,5,6,2,25
2005-04-27,37.6,22,0,5.4,0,0,10.9,980,1015.2,23.4,20,18,72,206,36,6,5,95,5,3,3,4,0,0,9,9,0,7,5,6,3,25
2005-04-28,41.5,24.3,0,5.7,0,0,9.8,981.1,1016.3,24.4,19.4,16.2,60,184,0,0,1,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-04-29,40.1,25.7,0,5.7,0,0,9,980.6,1015.7,24.6,19.8,16.9,62,192,0,0,2,95,0,0,3,1,1,1,0,9,9,2,9,3,1,60
2005-04-30,40.7,23.7,0,5.6,0,0,10.3,980.4,1015.5,24.8,18.6,14.4,52,164,2,10,1,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-05-01,40,24.1,0,5.6,0,0,9.8,981.5,1016.8,24,17,11.7,46,137,0,0,2,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-05-02,38.3,22.5,0,5,0,10,9.7,981.7,1016.9,25,17.6,12.1,45,141,9,4,2,95,0,0,3,1,1,3,0,9,9,4,9,3,1,60
2005-05-03,39.3,22.2,0,4.8,0,0,8.2,981.1,1016.3,25,19.8,14.6,53,166,0,0,1,95,5,1,3,3,1,1,9,9,9,5,5,6,1,25
2005-05-04,38.6,22,1.8,3.8,1,57,6,982.2,1017.4,24.5,19.4,16.1,59,183,2,12,3,95,3,2,3,2,1,3,7,5,6,2,25,0,1.2,22.2
2005-05-05,38.9,23,8,4.9,1,30,9.7,982.1,1017.8,20.6,18.2,16.7,78,190,34,8,4,95,9,4,3,2,0,0,9,9,0,6,5,6,3,20
2005-05-06,38.7,23.4,0,5.1,0,0,10.2,981.1,1016.6,21.6,20.2,19.4,87,225,23,4,3,95,8,2,3,3,1,1,9,9,9,6,5,6,1,20
2005-05-07,40.4,23.3,0,1.2,4,20,8.5,977.7,1012.1,21.5,19,17.5,78,200,36,14,2,96,0,0,3,1,0,0,0,0,1,9,3,1,60,2.7
2005-05-08,42.6,27,0,5.8,0,0,9.2,978.2,1013.4,23.2,16.8,11.9,49,139,36,12,5,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-05-09,43.7,30.6,0,6.5,0,0,10,978.9,1014.1,23.4,17.4,13,52,150,2,12,5,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-05-10,43.1,29.2,0,5.9,0,0,11,978.9,1014.1,24,17.4,12.5,49,143,34,10,2,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-05-11,42.7,28,0,6.2,0,0,11.1,977.6,1012.6,25,17.4,11.7,43,137,34,6,2,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-05-12,43.1,26.1,0,6.1,0,0,11.5,976.9,1011.9,24.6,17.4,12,45,140,27,8,1,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-05-13,43.9,23,0,6.1,0,0,11.1,977.5,1012.3,26.8,19.4,14.5,47,165,9,10,2,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-05-14,44.2,24.2,0,6.2,0,0,11.4,976.7,1011.4,26.8,19.8,15.3,49,174,5,6,2,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-05-15,44.6,25.4,0,6.3,0,0,10.7,975.8,1010.3,29,20.4,14.9,42,169,9,10,2,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-05-16,45,29.5,0,6,0,0,11,976.1,1010.7,27.6,19,13,41,150,0,0,2,95,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-05-17,46,29.4,0,6.8,0,0,11.1,974.3,1008.7,28.8,19.4,12.9,37,149,27,14,3,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-05-18,46.6,32,0,7.2,0,0,10.9,974,1008.4,28.2,18.6,11.6,36,137,20,12,2,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-05-19,46.1,28,0,7,0,0,11.3,972.4,1006.9,27.4,15.6,4.1,22,82,32,18,5,96,5,1,3,2,0,0,9,9,0,3,5,6,1,20
2005-05-20,44.6,30.3,0,6,0,0,9.8,973.1,1007.7,26.5,16.2,7.1,29,101,32,12,3,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-05-21,45.6,29.6,0,6.5,0,7,10.8,975.7,1010.4,26.8,16.8,6.2,31,95,36,14,3,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-05-22,46.3,29.2,0,6.8,0,7,10.1,976.5,1011.2,27,16.4,7.1,28,101,36,12,1,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-05-23,47.6,32.2,0,7,0,7,10.7,975.3,1009.8,28.6,18,9.7,31,120,18,6,2,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-05-24,46.5,30.6,0,6.4,0,0,10.5,973.9,1008.2,29.2,17.6,8,26,107,27,12,2,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-05-25,46.6,33.1,0,6.8,0,0,8.6,972.9,1007.3,29.6,18.6,10.3,30,125,34,12,4,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-05-26,46.7,31.4,0,6.8,0,0,2.5,971.9,1006,30.6,16.8,3.7,18,80,27,12,4,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-05-27,43.1,28.2,0,6.5,0,0,5,973,1007.4,28.8,18.8,11.5,34,136,2,14,6,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-05-28,44.1,29.1,0,5.8,1,5,9,976.6,1010.8,31.6,20.6,13.3,33,153,11,10,8,96,0,0,3,2,0,0,0,9,0,2,9,3,2,60
2005-05-29,46.5,28.5,0.4,6.9,2,50,8.6,976.5,1010.5,33,21.4,14,33,160,14,15,5,96,1,1,3,1,0,0,9,9,0,2,5,8,1,30
2005-05-30,43.5,28.2,0,6.4,0,3,8,976,1009.9,33.6,19.8,9.5,23,119,18,12,6,96,0,0,0,0,0,0,0,0,0,0,9,0,0,99
2005-05-31,38.6,27.2,0,6,0,0,8.8,976,1009.9,34,19.4,7.9,20,107,18,12,6,96,1,1,0,0,0,0,0,0,1,5,8,1,25,0
2005-06-01,44.5,28.1,1.2,5.4,0,55,1,977.7,1011.7,34,18.8,6,18,93,14,14,5,96,0,0,0,0,1,2,0,0,9,2,9,0,2,75
2005-06-02,42,27,0,5.7,0,0,10.3,976.8,1010.7,33.4,19.6,9.1,22,113,18,18,7,96,1,1,3,1,1,2,9,9,9,4,5,8,1,30
2005-06-03,45.2,30.3,0,6.6,0,0,0,975.7,1009.9,32,19,8.9,24,114,14,14,7,96,3,2,3,3,1,2,7,5,6,2,25,0,3.5,32
2005-06-04,46.5,32,0,6.7,0,0,9.9,979.7,1014.5,27.4,21.2,17.6,55,201,36,10,8,96,3,4,3,2,1,1,9,9,9,7,5,6,3,20
2005-06-05,45.7,28.7,0,6.2,0,0,0,976.4,1010.8,29.8,21.6,16.8,46,191,20,12,5,96,9,5,2,2,0,0,9,9,0,7,5,6,3,20
2005-06-06,45.1,29.3,0,6.3,0,0,0,974.8,1009.1,29.5,22,17.7,49,202,23,18,5,96,8,2,3,3,1,1,6,5,6,2,20,0,3,32
