"","INDEX","YEAR","MN","HR","DT","...SLP","..MSLP","..DBT","..WBT","..DPT",".RH","..VP","DD","FFF","AW","VV","Cl","A","Cm","A.1","Ch","A.2","Dl","Dm","Dh","TC","h","c","a","Ht","..R.F",".EVP","DW","P","H",".WAT","Date"
"38",43063,2005,2,7.5,7,951.15,1013.7,22.4,16.9,13.35,62.5,153.5,13.5,6,5,97,2.5,0.5,0,0,0,0,0,0,0.5,2.5,7.5,0.5,13,49.5,1.05,15.7,NA,NA,NA,NA,NA
"39",43063,2005,2,7.5,8,951.75,1014.05,24.2,17.2,12.6,53.5,146.5,9,3,4,96.5,2.5,0.5,0,0,0.5,1,0,1.5,2.5,3,5,13,0,50.8,14.5,NA,NA,NA,NA,NA,NA
"40",43063,2005,2,7.5,9,952.5,1014.75,24.4,16.2,10.05,50.5,125.5,0,0,3.5,96.5,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,5.55,22.2,NA,NA,NA,NA
"41",43063,2005,2,7.5,10,953.2,1015.35,25.5,16.2,9.5,41.5,118.5,0,0,3,97,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,3.4,22.55,NA,NA,NA,NA
"42",43063,2005,2,7.5,11,953.95,1016.3,24.7,16.2,9.65,49.5,123,3.5,2,2,96.5,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,NA,NA,NA,NA,NA,NA
"43",43063,2005,2,7.5,12,953.7,1015.65,24.1,17.2,12.95,56.5,149.5,0,0,2.5,97,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,2.1,22.8,NA,NA,NA,NA
"44",43063,2005,2,7.5,13,951.9,1013.9,25.5,17.2,11.4,49.5,136.5,0,0,2,96.5,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,2.3,23.35,NA,NA,NA,NA
"45",43063,2005,2,7.5,14,949.85,1011.8,25.3,16.4,9.4,49,122,13.5,2,2,96.5,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,2.4,23,NA,NA,NA,NA
"46",43063,2005,2,7.5,15,949.35,1011.4,24.8,15,7.15,37,101,13.5,4,4.5,97,2.5,0.5,0,0,0,0,0,0,0.5,2.5,7.5,0.5,13,49.5,1.35,8.45,NA,NA,NA,NA,NA
"47",43063,2005,2,7.5,16,948.45,1012.85,24.7,17.7,13.3,53,153,27,6,5.5,97,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,2.95,21.45,NA,NA,NA,NA
"48",43063,2005,2,7.5,17,948.45,1010.9,22.6,17.1,13.55,62.5,156,14.5,5,7.5,97,0,0,0,0,0.5,2.5,0,0,2.5,4.5,4.5,2.5,35,49.5,1,9.45,NA,NA,NA,NA,NA
"49",43063,2005,2,7.5,18,949.3,1011.7,22.6,17.6,14.45,63,165,28,9.5,8,97,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,2.95,21.9,NA,NA,NA,NA
"50",43063,2005,2,7.5,19,950.15,1012.75,21.9,15,9.35,54,120,13.5,7,6.5,97,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,2.7,21,NA,NA,NA,NA
"51",43063,2005,2,7.5,20,949.5,1012.1,22.5,13.5,7.9,41,145.5,14.5,4,4,96.5,2.5,0.5,1.5,1,0,0,0,1.5,2.5,3,5,13,0,51.15,13.45,NA,NA,NA,NA,NA,NA
"52",43063,2005,2,7.5,21,949.3,1012.05,21.1,12.2,6.9,36.5,78,18,6,5,97,3,0.5,1.5,1,0.5,0.5,2,2.5,3,0.5,17.5,0,1.4,55.65,NA,NA,NA,NA,NA,NA,NA
"53",43063,2005,2,7.5,22,950.45,1013.7,21,13.5,7.3,49,102.5,17,1,3,96.5,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,2.65,19.2,NA,NA,NA,NA
"54",43063,2005,2,7.5,23,950.45,1012.95,22.8,15.3,9.85,53,122,13.5,1,3,96.5,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,2.3,20.9,NA,NA,NA,NA
"55",43063,2005,2,7.5,24,950.45,1012.4,24.9,16.5,10.75,44,129,14.5,1,3,96.5,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,3,22.2,NA,NA,NA,NA
"56",43063,2005,2,7.5,25,950.15,1012.1,25.1,16.9,11.35,49.5,134.5,0,0,3,96.5,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,3,23.7,NA,NA,NA,NA
"57",43063,2005,2,7.5,26,950.25,1011.9,26.9,18,12,47,142,4.5,1,2.5,96.5,2.5,1.5,0,0,0,0,0,0,1.5,2.5,7.5,1.5,13,49.5,1.6,16.9,NA,NA,NA,NA,NA
"58",43063,2005,2,7.5,27,949.15,1011,25.5,18.5,14.2,54,162,14.5,4,2,96.5,4,2.5,1.5,0.5,1,1.5,0,4.5,6,4.5,2.5,41,0,2.5,24.15,NA,NA,NA,NA,NA,NA
"59",43063,2005,2,7.5,28,948.3,1009.8,26.6,19.7,15.8,55.5,180,14.5,4,3,96.5,2.5,1,0,0,0.5,0.5,0,1.5,2.5,3,5.5,13,0,51.4,15.2,NA,NA,NA,NA,NA,NA
"60",43063,2005,3,7.5,1,949.05,1010.5,27.1,18.8,13.35,51.5,156.5,0,0,4,96.5,4,3.5,0,0,0,0,0,0,3.5,2.5,7.5,2.5,13,49.5,1.8,16.3,NA,NA,NA,NA,NA
"61",43063,2005,3,7.5,2,951.25,1012.65,28.4,18.7,11.95,44.5,144.5,9,1,3,97,2.5,0.5,1.5,0.5,0,0,0,1,2.5,3,5,13,0,50.8,16.2,NA,NA,NA,NA,NA,NA
"62",43063,2005,3,7.5,3,950.65,1012.3,27.2,18,11.25,48.5,139.5,13.5,2,3.5,97,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,3.65,24.55,NA,NA,NA,NA
"63",43063,2005,3,7.5,4,951,1012.8,26.3,18.2,12.9,48,150.5,14.5,3,3,97,5,2,1.5,1,0.5,0.5,2,2.5,4.5,3,16,1.5,14.3,9,NA,NA,NA,NA,NA,NA,NA
"64",43063,2005,3,7.5,5,952.55,1014.55,25.8,17.5,11.7,48.5,140,14.5,4,3,96.5,0,0,0,0,0.5,1.5,0,0,1.5,4.5,4.5,1.5,35,49.5,1.6,16.7,NA,NA,NA,NA,NA
"65",43063,2005,3,7.5,6,952.35,1014.2,26.1,18.3,13.45,47,154.5,14.5,3,4.5,97,5,1.5,0,0,0.5,1,0,1.5,3.5,5.5,3.5,14,13,1.15,10.85,NA,NA,NA,NA,NA,NA
"66",43063,2005,3,7.5,7,951.65,1010.6,26,18,12.9,45,150,13.5,5,4.5,97,2.5,1.5,0,0,0.5,1.5,0,3,2.5,3,6,13,0,51.45,15.5,NA,NA,NA,NA,NA,NA
"67",43063,2005,3,7.5,8,952.1,1014.5,23.7,18.5,15.3,62.5,174.5,14.5,3,4,97,6.5,5,3,1.5,0.5,0.5,3.5,6,5.5,5.5,14.5,13,1.25,9.6,NA,NA,NA,NA,NA,NA,NA
"68",43063,2005,3,7.5,9,951.6,1013.7,25,18.4,13.9,59,162.5,14.5,3,4,96.5,5,1,0,0,0.5,1,0,1.5,3,5.5,3.5,13.5,13,1.65,15.6,NA,NA,NA,NA,NA,NA
"69",43063,2005,3,7.5,10,951.1,1013.45,24.6,15.7,8.65,41.5,113.5,14.5,3,4.5,97,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,2.25,22.6,NA,NA,NA,NA
"70",43063,2005,3,7.5,11,949.05,1010.6,26.5,16.5,8.85,38,115,13.5,1,4,96.5,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,3.1,23.2,NA,NA,NA,NA
"71",43063,2005,3,7.5,12,949.3,1010.9,26.8,17.3,10.35,42,124,4.5,2,3.5,96.5,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,3,23.7,NA,NA,NA,NA
"72",43063,2005,3,7.5,13,949.75,1011.15,27.7,16.9,8.5,35.5,114,2.5,1,4,96.5,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,3,23.95,NA,NA,NA,NA
"73",43063,2005,3,7.5,14,949.35,1010.7,28.1,15.7,4.6,28,88.5,3.5,3,3,96.5,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,3,25.2,NA,NA,NA,NA
"74",43063,2005,3,7.5,15,948.55,1009.75,27.7,16.5,7.55,35,107,0,0,2.5,96.5,0,0,0,0,0.5,0.5,0,0,0.5,4.5,4.5,0.5,35,49.5,1.5,10.3,NA,NA,NA,NA,NA
"75",43063,2005,3,7.5,16,948.35,1009.1,30,17.3,7.65,28,108.5,9,1,2.5,96.5,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,3.5,24.6,NA,NA,NA,NA
"76",43063,2005,3,7.5,17,948.3,1009,29.9,17.6,8.4,30.5,111.5,3.5,2,3,96.5,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,3.6,25.45,NA,NA,NA,NA
"77",43063,2005,3,7.5,18,947.7,1008.6,29.8,18.9,11.85,37.5,139.5,0,0,3.5,96.5,0,0,0,0,0.5,1,0,0,1,4.5,4.5,1,35,49.5,1.85,17.6,NA,NA,NA,NA,NA
"78",43063,2005,3,7.5,19,947.1,1007.8,30.5,18.8,10.9,34.5,132,4.5,1,3,96.5,2.5,1.5,0,0,0.5,0.5,0,2,2.5,3,6,13,0,51.25,16.6,NA,NA,NA,NA,NA,NA
"79",43063,2005,3,7.5,20,947.55,1008.35,30.2,20.2,14.2,41.5,163,13.5,3,3.5,96.5,4,2.5,0,0,0,0,0,0,2.5,2.5,7.5,1.5,13,49.5,1.85,18.45,NA,NA,NA,NA,NA
"80",43063,2005,3,7.5,21,947.4,1008.3,29.3,19.1,12.3,40,146,14.5,4,5,97,4,2,0,0,0.5,0.5,0,2.5,2.5,3,6,13,0,51.2,10.35,NA,NA,NA,NA,NA,NA
"81",43063,2005,3,7.5,22,946.65,1007.55,28.9,17.6,9.25,36.5,118.5,27,9,8,97,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,5.1,24.9,NA,NA,NA,NA
"82",43063,2005,3,7.5,23,943.55,1007.4,26.7,15.3,4.95,28.5,90.5,27,7,6,97,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,4.3,22.8,NA,NA,NA,NA
"83",43063,2005,3,7.5,24,946.65,1008.05,26.9,16.2,7.95,33.5,107,2.5,1,4.5,97,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,3.35,22.9,NA,NA,NA,NA
"84",43063,2005,3,7.5,25,947.55,1008.75,27.8,18.1,11.45,42,137,16,2,2.5,97,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,3.3,25.4,NA,NA,NA,NA
"85",43063,2005,3,7.5,26,948.4,1009.2,30.2,18,9.35,30,118,0,0,2.5,96.5,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,3.8,26,NA,NA,NA,NA
"86",43063,2005,3,7.5,27,947.75,1008.75,29.2,18.3,10.8,37.5,131,14.5,3,3.5,96.5,0,0,0,0,0.5,1,0,0,1,4.5,4.5,1,35,49.5,2.6,17.7,NA,NA,NA,NA,NA
"87",43063,2005,3,7.5,28,947.3,1007.9,30.5,16.5,4.9,20,86.5,28,6,6.5,97,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,5.05,25.3,NA,NA,NA,NA
"88",43063,2005,3,7.5,29,946.75,1007.6,29.2,18,10.35,32,125.5,17,4,5.5,96.5,0,0,0,0,0.5,2,0,0,2,4.5,4.5,2,35,49.5,2.3,17.5,NA,NA,NA,NA,NA
"89",43063,2005,3,7.5,30,945.75,1006.8,28.2,17,8.7,32,112.5,16,4,5.5,97,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,4.1,25.05,NA,NA,NA,NA
"90",43063,2005,3,7.5,31,944.85,1005.4,30.1,18.8,10.75,37.5,134.5,13.5,1,3,96.5,0,0,0,0,0.5,0.5,0,0,0.5,4.5,4.5,0.5,35,49.5,2.35,17.55,NA,NA,NA,NA,NA
"91",43063,2005,4,7.5,1,945.15,1005.55,31.1,17.4,6.45,25,99,0,0,48,48.5,2.5,0.5,0,0,0.5,0.5,0,1,2.5,7.5,0.5,13,49.5,2.4,18.2,NA,NA,NA,NA,NA,NA
"92",43063,2005,4,7.5,2,946.2,1006.65,31.3,20.4,13.85,40,160,0,0,4,97,2.5,1,0,0,0.5,0.5,0,1.5,2.5,3,5.5,13,0,52,17,NA,NA,NA,NA,NA,NA
"93",43063,2005,4,7.5,3,947,1007.2,32.3,20.1,12.75,30.5,148.5,3.5,2,3,96.5,4,2.5,0,0,0,0,0,0,2.5,2.5,7.5,2,13,49.5,2.2,18.9,NA,NA,NA,NA,NA
"94",43063,2005,4,7.5,4,946.9,1007,33.1,21.8,15.6,37.5,178,0,0,3.5,97,4,2,1.5,0.5,0.5,0.5,3,2.5,3,1.5,17.5,0,2.4,66.8,NA,NA,NA,NA,NA,NA,NA
"95",43063,2005,4,7.5,5,946.8,1007.1,32.3,19.8,11.2,32,114,5.5,3,3.5,96.5,0,0,0,0,1,3.5,0,0,3.5,9,0,3.5,70,0,4.55,27.2,NA,NA,NA,NA,NA
"96",43063,2005,4,7.5,6,946.15,1006.5,31.8,20.2,13.1,33.5,151.5,4.5,1,2.5,97,2.5,1.5,1.5,1.5,1,2,3.5,2.5,4.5,6,13,1.5,36.95,16.4,NA,NA,NA,NA,NA,NA,NA
"97",43063,2005,4,7.5,7,945.35,1005.9,30.9,20.8,15.1,40,172,29,7,6,97,5,1,0,0,1,2.5,0,3.5,5,6,1,26,0,4.55,28.4,NA,NA,NA,NA,NA,NA
"98",43063,2005,4,7.5,8,947.1,1007.8,29.8,19,10.75,39,141,14.5,6,7,97,5,1.5,1.5,1.5,0.5,0.5,2.5,2.5,4,3,16,1,24.45,NA,NA,NA,NA,NA,NA,NA,NA
"99",43063,2005,4,7.5,9,947.35,1008.25,29.6,17.6,8.5,30,113.5,13.5,6,5.5,97,0,0,0,0,1,1.5,0,0,1.5,9,0,1.5,70,0,3.9,25.15,NA,NA,NA,NA,NA
"100",43063,2005,4,7.5,10,947.1,1007.9,29.6,16.25,4.8,23.5,88,28,7,4.5,97,2.5,0.5,0,0,0,0,0,0,0.5,2.5,7.5,0.5,13,49.5,1.85,17.5,NA,NA,NA,NA,NA
"101",43063,2005,4,7.5,11,947.55,1008,31.7,18.1,7.8,26,108.5,7,1,2.5,97,0,0,0,0,0,0,0,0,0,0,9,0,0,99,0,4.4,25.8,NA,NA,NA,NA
"102",43063,2005,4,7.5,12,947.55,1007.9,32.2,19.1,10.5,27,127.5,4.5,1,3,96.5,2.5,1,0,0,0.5,1,0,2,2.5,3,5.5,13,0,52.5,16.6,NA,NA,NA,NA,NA,NA
"103",43063,2005,4,7.5,13,949.3,1009.8,31.8,20,12.8,32,148,2.5,1,2.5,96.5,6.5,3,3,1.5,1,2.5,7,5,6,2.5,26,0,3.55,27.1,NA,NA,NA,NA,NA,NA,NA
"104",43063,2005,4,7.5,14,950.85,1012.7,30.6,20.4,17.65,47,202,9,7,4,96.5,7,3.5,2.5,3,4,2.5,4.5,3,16.5,10.1,3.35,26.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",43063,2005,4,7.5,15,949.65,1010.55,30.1,22.7,19.1,54.5,221.5,14.5,4,2.5,97,2.5,1,0,0,1,2,0,2.5,3,7.5,1,13.5,35,11.85,17.6,NA,NA,NA,NA,NA,NA
"106",43063,2005,4,7.5,16,950,1010.8,30.4,20.5,14.85,40.5,169,27,4,4.5,97,2.5,1,0,0,1,2,0,2.5,3,7.5,1,13.5,35,2.3,18.05,NA,NA,NA,NA,NA,NA
"107",43063,2005,4,7.5,17,949.05,1009.55,31.7,21.1,15,39.5,172.5,16,3,4,96.5,6.5,4,3,1,0.5,1.5,3,6,5.5,5.5,13.5,14,1.4,13.7,NA,NA,NA,NA,NA,NA,NA
"108",43063,2005,4,7.5,18,948.9,1009.25,32.2,20.65,12.55,38,160,16,2,3.5,97,6.5,3.5,1.5,0.5,1,2,3.5,5,5.5,4.5,14.5,13,2,17.25,NA,NA,NA,NA,NA,NA,NA
"109",43063,2005,4,7.5,19,949.35,1009.7,32.85,19.1,8.5,28,120.5,0,0,3.5,96.5,2.5,0.5,0,0,0,0,0,0,0.5,2.5,7.5,0.5,13,49.5,2.7,18.7,NA,NA,NA,NA,NA
"110",43063,2005,4,7.5,20,949.2,1009.4,33.1,19.5,9.8,29.5,127,12.5,2,3,96.5,2.5,0.5,0,0,0.5,0.5,0,1,2.5,3,5,13,0,52.5,17.4,NA,NA,NA,NA,NA,NA
"111",43063,2005,4,7.5,21,948.5,1009.2,30.6,23.2,19.7,54,230,27,8,5.5,97,4,1.5,1.5,1,1,3,3,2.5,5.5,5.5,13,2.5,37.4,16.5,NA,NA,NA,NA,NA,NA,NA
"112",43063,2005,4,7.5,22,947.35,1008.1,30.5,20.9,15.2,43.5,177,29.5,5,5,97,6.5,4.5,3,1,0.5,2,3.5,6.5,5.5,4,15,13,1.75,17.45,NA,NA,NA,NA,NA,NA,NA
"113",43063,2005,4,7.5,23,948.65,1010.5,25.2,21.75,20.15,73.5,236.5,28,3,4.5,97,8,4,1.5,1.5,4.5,1.5,3.5,6,5.5,4.5,15,13,3.75,14.7,NA,NA,NA,NA,NA,NA,NA
"114",43063,2005,4,7.5,24,948.55,1010.6,24.1,21.6,20.4,80.5,240,11.5,3,3.5,96.5,7,2,1.5,1.5,0.5,0.5,3.5,2.5,6.5,4,17.5,0.5,14.6,16.6,NA,NA,NA,NA,NA,NA,NA
"115",43063,2005,4,7.5,25,947.5,1008.35,29.55,21.7,17.5,55,201.5,11.5,3,2.5,96.5,6.5,3,3,1,0,0,0,4,5,6,2,26,0.1,1.6,28.1,NA,NA,NA,NA,NA,NA
"116",43063,2005,4,7.5,26,947.3,1007.65,31.3,20.7,14.45,40,166.5,0,0,2.5,96.5,4,2,0,0,0,0,0,0,2,2.5,7.5,1,13,49.5,2.6,19.2,NA,NA,NA,NA,NA
"117",43063,2005,4,7.5,27,946.4,1006.85,30.9,21,15.3,41.5,175.5,13.5,4,3,97,7,2.5,3,1.5,0,0,0,4,5,7.5,1,28,0,4.25,28.1,NA,NA,NA,NA,NA,NA
"118",43063,2005,4,7.5,28,946.5,1006.85,31.6,19,10.35,29.5,128,22.5,5,6,97,2.5,1,0,0,0.5,0.5,0,1.5,2.5,3,5.5,13,0,52.45,16.3,NA,NA,NA,NA,NA,NA
"119",43063,2005,4,7.5,29,945.45,1005.9,30.9,18.7,9.6,32,126.5,13.5,6,4,97,2.5,1,0,0,1,3,0,2.5,4,7.5,1,14.5,35,3.45,18.05,NA,NA,NA,NA,NA,NA
"120",43063,2005,4,7.5,30,946.5,1004,31.95,18.7,9.6,26,119,14.5,3,3.5,97,2.5,1,0,0,0,0,0,0,1,2.5,7.5,0.5,13,49.5,1.6,18.95,NA,NA,NA,NA,NA
"121",43063,2005,5,7.5,1,944.95,1005.35,31.2,20.65,14.55,38.5,166,28,5,5,97,4,2,0,0,1,1,0,2.5,3,7.5,1.5,13.5,35,2.4,19.95,NA,NA,NA,NA,NA,NA
