Date,RH,VP
2005-05-04,75,225
2005-05-05,78,244
2005-05-05,33,169
2005-05-06,74,232
2005-05-06,31,168
2005-05-07,70,228
2005-05-07,40,205
2005-05-08,71,237
2005-05-08,39,202
2005-05-09,64,217
2005-05-09,45,244
2005-05-10,66,224
2005-05-10,39,205
2005-05-11,68,235
2005-05-11,56,205
2005-05-12,62,220
2005-05-12,25,150
2005-05-13,29,113
2005-05-13,23,134
2005-05-14,33,126
2005-05-14,16,99
2005-05-15,32,128
2005-05-15,31,178
2005-05-16,37,147
2005-05-16,32,186
2005-05-17,47,180
2005-05-17,40,227
2005-05-18,64,221
2005-05-18,24,141
2005-05-19,59,209
2005-05-19,26,171
2005-05-20,48,205
2005-05-20,21,144
2005-05-21,43,200
2005-05-21,30,200
2005-05-22,56,221
2005-05-22,34,200
2005-05-23,53,206
2005-05-23,24,159
2005-05-24,49,205
2005-05-24,32,208
2005-05-25,54,229
2005-05-25,20,131
2005-05-26,62,231
2005-05-26,39,224
2005-05-27,65,232
2005-05-27,32,186
2005-05-28,62,231
2005-05-28,26,159
2005-05-29,69,241
2005-05-29,77,247
2005-05-30,74,249
2005-05-30,30,175
2005-05-31,71,240
2005-05-31,60,210
2005-06-01,83,273
2005-06-01,56,244
2005-06-02,78,256
2005-06-02,59,249
2005-06-03,79,267
2005-06-03,47,240
2005-06-04,71,252
2005-06-04,40,220
2005-06-05,72,253
2005-06-05,33,205
2005-06-06,71,252
2005-06-06,42,224
2005-06-07,68,252
2005-06-07,40,213
2005-06-08,68,258
2005-06-08,42,222
2005-06-09,63,240
2005-06-09,41,225
2005-06-10,67,244
2005-06-10,72,220
2005-06-11,74,246
2005-06-11,56,241
2005-06-12,73,263
2005-06-12,48,243
2005-06-13,70,264
2005-06-13,70,238
2005-06-14,77,276
2005-06-14,51,246
2005-06-15,84,284
2005-06-15,49,256
2005-06-16,73,256
2005-06-16,80,279
2005-06-17,73,264
2005-06-17,43,247
2005-06-18,82,291
2005-06-18,92,291
2005-06-19,79,263
2005-06-19,71,269
2005-06-20,83,271
2005-06-20,84,279
2005-06-21,74,243
2005-06-21,72,246
2005-06-22,73,241
2005-06-22,62,241
2005-06-23,77,253
2005-06-23,83,267
2005-06-24,84,259
2005-06-24,71,261
2005-06-25,75,263
2005-06-25,94,269
2005-06-26,90,261
2005-06-26,95,263
2005-06-27,93,274
2005-06-27,93,289
2005-06-28,87,266
2005-06-28,89,263
2005-06-29,84,259
2005-06-29,92,274
2005-06-30,92,277
2005-06-30,91,266
2005-07-01,90,266
2005-07-01,84,266
2005-07-02,92,269
2005-07-02,78,244
2005-07-03,98,273
2005-07-03,91,259
2005-07-04,81,253
2005-07-04,87,266
2005-07-05,92,263
2005-07-05,80,261
2005-07-06,78,253
2005-07-06,77,263
2005-07-07,79,252
2005-07-07,72,253
2005-07-08,79,252
2005-07-08,65,235
2005-07-09,81,256
2005-07-09,78,264
2005-07-10,82,255
2005-07-10,84,266
2005-07-11,90,266
2005-07-11,78,247
2005-07-12,78,259
2005-07-12,75,263
2005-07-13,86,267
2005-07-13,68,258
2005-07-14,84,263
2005-07-14,71,259
2005-07-15,82,258
2005-07-15,62,247
2005-07-16,81,253
2005-07-16,59,244
2005-07-17,84,263
2005-07-17,63,263
2005-07-18,93,289
2005-07-18,77,289
2005-07-19,84,266
2005-07-19,79,277
2005-07-20,87,276
2005-07-20,80,283
2005-07-21,84,250
2005-07-21,87,263
2005-07-22,87,276
2005-07-22,88,264
2005-07-23,81,259
2005-07-23,80,261
2005-07-24,88,264
2005-07-24,80,258
2005-07-25,95,253
2005-07-25,92,263
2005-07-26,98,269
2005-07-26,91,256
2005-07-27,95,259
2005-07-27,92,263
2005-07-28,85,258
2005-07-28,90,269
2005-07-29,93,274
2005-07-29,84,259
2005-07-30,95,269
2005-07-30,92,274
2005-07-31,96,255
2005-07-31,95,256
2005-08-01,96,255
2005-08-01,95,256
2005-08-02,94,259
2005-08-02,85,261
2005-08-03,88,264
2005-08-03,93,266
2005-08-04,95,266
2005-08-04,88,261
2005-08-05,91,250
2005-08-05,93,259
2005-08-06,93,263
2005-08-06,88,264
2005-08-07,85,261
2005-08-07,84,250
2005-08-08,91,256
2005-08-08,84,266
2005-08-09,93,264
2005-08-09,78,253
2005-08-10,87,259
2005-08-10,77,249
2005-08-11,87,259
2005-08-11,80,255
2005-08-12,84,250
2005-08-12,75,247
2005-08-13,95,254
2005-08-13,92,269
2005-08-14,95,273
2005-08-14,88,264
2005-08-15,93,254
2005-08-15,75,244
2005-08-16,93,264
2005-08-16,86,259
2005-08-17,95,253
2005-08-17,95,256
2005-08-18,93,264
2005-08-18,77,246
2005-08-19,92,263
2005-08-19,82,249
2005-08-20,94,253
2005-08-20,91,256
2005-08-21,93,255
2005-08-21,95,259
2005-08-22,96,258
2005-08-22,80,261
2005-08-23,85,241
2005-08-23,67,244
2005-08-24,84,243
2005-08-24,65,244
2005-08-25,84,246
2005-08-25,76,253
2005-08-26,79,235
2005-08-26,84,253
2005-08-27,85,247
2005-08-27,73,250
2005-08-28,82,238
2005-08-28,65,229
2005-08-29,81,238
2005-08-29,63,240
2005-08-30,87,256
2005-08-30,67,271
2005-08-31,89,271
2005-08-31,90,269
2005-09-01,85,252
2005-09-01,71,261
2005-09-02,92,291
2005-09-02,93,274
2005-09-03,93,291
2005-09-03,99,286
2005-09-04,98,269
2005-09-04,93,274
2005-09-05,97,284
2005-09-05,87,273
2005-09-06,95,289
2005-09-06,68,276
2005-09-07,92,288
2005-09-07,89,281
2005-09-08,92,291
2005-09-08,93,289
2005-09-09,100,271
2005-09-09,87,291
2005-09-10,97,271
2005-09-10,90,273
2005-09-11,95,263
2005-09-11,88,264
2005-09-12,93,271
2005-09-12,95,276
2005-09-13,91,256
2005-09-13,77,252
2005-09-14,86,256
2005-09-14,90,273
2005-09-15,88,253
2005-09-15,77,252
2005-09-16,88,247
2005-09-16,73,244
2005-09-17,84,241
2005-09-17,71,227
2005-09-18,79,235
2005-09-18,81,240
2005-09-19,83,240
2005-09-19,93,249
2005-09-20,88,241
2005-09-20,84,266
2005-09-21,95,276
2005-09-21,81,269
2005-09-22,93,277
2005-09-22,95,276
2005-09-23,95,263
2005-09-23,98,269
2005-09-24,93,261
2005-09-24,77,263
2005-09-25,85,252
2005-09-25,74,249
2005-09-26,82,227
2005-09-26,68,238
2005-09-27,85,232
2005-09-27,65,232
2005-09-28,87,243
2005-09-28,98,253
2005-09-29,99,241
2005-09-29,79,235
2005-09-30,90,258
2005-09-30,97,267
2005-10-01,83,225
2005-10-01,71,252
2005-10-02,89,263
2005-10-02,95,266
2005-10-03,97,267
2005-10-03,88,264
2005-10-04,88,253
2005-10-04,63,252
2005-10-05,92,269
2005-10-05,70,228
2005-10-06,84,250
2005-10-06,57,256
2005-10-07,84,273
2005-10-07,49,211
2005-10-08,69,204
2005-10-08,60,250
2005-10-09,76,235
2005-10-09,43,189
2005-10-10,79,224
2005-10-10,39,163
2005-10-11,64,191
2005-10-11,46,196
2005-10-12,69,216
2005-10-12,69,240
2005-10-13,73,229
2005-10-13,56,222
2005-10-14,89,271
2005-10-14,98,259
2005-10-15,97,261
2005-10-15,73,247
2005-10-16,93,264
2005-10-16,75,269
2005-10-17,81,259
2005-10-17,67,261
2005-10-18,84,266
2005-10-18,60,253
2005-10-19,95,269
2005-10-19,59,244
2005-10-20,95,250
2005-10-20,36,144
2005-10-21,83,231
2005-10-21,56,210
2005-10-22,84,201
2005-10-22,50,180
2005-10-23,84,199
2005-10-23,37,137
2005-10-24,72,186
2005-10-24,40,162
2005-10-25,75,195
2005-10-25,58,225
2005-10-26,77,231
2005-10-26,62,247
2005-10-27,97,271
2005-10-27,56,191
2005-10-28,94,199
2005-10-28,60,208
2005-10-29,90,189
2005-10-29,35,129
2005-10-30,85,175
2005-10-30,49,197
2005-10-31,78,180
2005-10-31,46,186
2005-11-01,80,177
2005-11-01,45,195
2005-11-02,78,197
2005-11-02,53,201
2005-11-03,73,185
2005-11-03,39,158
2005-11-04,71,178
2005-11-04,37,149
2005-11-05,75,173
2005-11-05,34,126
2005-11-06,72,165
2005-11-06,54,200
2005-11-07,70,175
2005-11-07,46,169
2005-11-08,80,185
2005-11-08,35,121
2005-11-09,59,124
2005-11-09,40,151
2005-11-10,72,142
2005-11-10,40,165
2005-11-11,72,144
2005-11-11,40,155
2005-11-12,63,142
2005-11-12,35,133
2005-11-13,71,143
2005-11-13,46,185
2005-11-14,76,161
2005-11-14,38,137
2005-11-15,73,160
2005-11-15,39,146
2005-11-16,71,154
2005-11-16,44,167
2005-11-17,74,153
2005-11-17,40,165
2005-11-18,65,148
2005-11-18,35,129
2005-11-19,82,153
2005-11-19,37,137
2005-11-20,69,148
2005-11-20,39,155
2005-11-21,85,139
2005-11-21,37,145
2005-11-22,58,120
2005-11-22,29,111
2005-11-23,57,112
2005-11-23,30,111
2005-11-24,71,138
2005-11-24,48,179
2005-11-25,64,143
2005-11-25,29,109
2005-11-26,64,135
2005-11-26,43,149
2005-11-27,66,150
2005-11-27,44,148
2005-11-28,81,163
2005-11-28,48,169
2005-11-29,82,165
2005-11-29,37,133
2005-11-30,81,168
2005-11-30,41,152
2005-12-01,82,179
2005-12-01,44,148
2005-12-02,73,168
2005-12-02,43,144
2005-12-03,75,164
2005-12-03,51,189
2005-12-04,72,183
2005-12-04,47,184
2005-12-05,74,177
2005-12-05,45,170
2005-12-06,82,184
2005-12-06,47,180
2005-12-07,85,186
2005-12-07,43,169
2005-12-08,94,167
2005-12-08,42,152
2005-12-09,89,142
2005-12-09,38,128
2005-12-10,83,134
2005-12-10,37,124
2005-12-11,91,135
2005-12-11,37,127
2005-12-12,83,142
2005-12-12,45,164
2005-12-13,85,136
2005-12-13,41,144
2005-12-14,87,141
2005-12-14,35,121
2005-12-15,75,119
2005-12-15,32,132
2005-12-16,93,127
2005-12-16,34,117
2005-12-17,89,129
2005-12-17,38,137
2005-12-18,93,119
2005-12-18,30,99
2005-12-19,94,115
2005-12-19,41,144
2005-12-20,91,125
2005-12-20,33,116
2005-12-21,89,128
2005-12-21,35,129
2005-12-22,85,130
2005-12-22,34,115
2005-12-23,91,127
2005-12-23,30,106
2005-12-24,95,129
2005-12-24,47,153
2005-12-25,95,137
2005-12-25,46,142
2005-12-26,95,134
2005-12-26,37,133
2005-12-27,93,125
2005-12-27,34,117
2005-12-28,93,121
2005-12-28,30,107
2005-12-29,84,119
2005-12-29,34,127
2005-12-30,86,119
2005-12-30,33,125
2005-12-31,91,121
2005-12-31,30,107
2006-01-01,95,129
2006-01-01,33,119
2006-01-02,98,133
2006-01-02,44,152
2006-01-03,95,143
2006-01-03,37,135
2006-01-04,95,143
2006-01-04,36,125
2006-01-05,98,131
2006-01-05,35,119
2006-01-06,86,126
2006-01-06,37,121
2006-01-07,84,121
2006-01-07,38,128
2006-01-08,93,130
2006-01-08,38,140
2006-01-09,93,150
2006-01-09,42,161
2006-01-10,93,152
2006-01-10,36,148
2006-01-11,98,163
2006-01-11,33,133
2006-01-12,92,137
2006-01-12,25,103
2006-01-13,82,149
2006-01-13,35,145
2006-01-14,87,145
2006-01-14,35,133
2006-01-15,93,143
2006-01-15,32,135
2006-01-16,95,155
2006-01-16,38,168
2006-01-17,88,162
2006-01-17,34,146
2006-01-18,96,171
2006-01-18,30,130
2006-01-19,79,161
2006-01-19,31,139
2006-01-20,84,157
2006-01-20,27,121
2006-01-21,88,162
2006-01-21,29,133
2006-01-22,89,153
2006-01-22,29,107
2006-01-23,83,137
2006-01-23,30,96
2006-01-24,81,107
2006-01-24,21,71
2006-01-25,70,91
2006-01-25,23,71
2006-01-26,85,99
2006-01-26,18,58
2006-01-27,71,84
2006-01-27,15,55
2006-01-28,83,99
2006-01-28,13,48
2006-01-29,76,96
2006-01-29,20,79
2006-01-30,88,11
2006-01-30,21,89
2006-01-31,80,116
2006-01-31,19,80
2006-02-01,82,123
2006-02-01,19,82
2006-02-02,69,116
2006-02-02,24,103
2006-02-03,81,125
2006-02-03,25,105
2006-02-04,75,129
2006-02-04,26,108
2006-02-05,75,123
2006-02-05,20,92
2006-02-06,73,116
2006-02-06,17,71
2006-02-07,76,112
2006-02-07,18,79
2006-02-08,64,109
2006-02-08,19,80
2006-02-09,77,123
2006-02-09,19,77
2006-02-10,69,124
2006-02-10,23,99
2006-02-11,83,138
2006-02-11,22,90
2006-02-12,71,130
2006-02-12,21,92
2006-02-13,71,132
2006-02-13,20,95
2006-02-14,63,130
2006-02-14,24,120
2006-02-15,86,163
2006-02-15,19,92
2006-02-16,79,155
2006-02-16,22,105
2006-02-17,67,137
2006-02-17,18,87
2006-02-18,73,136
2006-02-18,18,99
2006-02-19,72,142
2006-02-19,18,101
2006-02-20,60,135
2006-02-20,17,97
2006-02-21,69,149
2006-02-21,24,128
2006-02-22,65,161
2006-02-22,31,158
2006-02-23,78,201
2006-02-23,20,109
2006-02-24,70,175
2006-02-24,17,95
2006-02-25,75,173
2006-02-25,15,81
2006-02-26,53,135
2006-02-26,23,117
2006-02-27,65,170
2006-02-27,31,150
2006-02-28,73,188
2006-02-28,23,127
2006-03-01,72,184
2006-03-01,31,147
2006-03-02,71,199
2006-03-02,32,164
2006-03-03,64,180
2006-03-03,32,149
2006-03-04,70,164
2006-03-04,19,92
2006-03-05,48,117
2006-03-05,22,95
2006-03-06,47,101
2006-03-06,15,65
2006-03-07,65,144
2006-03-07,17,76
2006-03-08,59,137
2006-03-08,15,79
2006-03-09,69,168
2006-03-09,41,137
2006-03-10,82,184
2006-03-10,40,129
2006-03-11,80,183
2006-03-11,41,141
2006-03-12,77,175
2006-03-12,31,127
2006-03-13,76,185
2006-03-13,32,137
2006-03-14,70,177
2006-03-14,41,167
2006-03-15,67,171
2006-03-15,33,134
2006-03-16,66,176
2006-03-16,32,137
2006-03-17,60,158
2006-03-17,26,118
2006-03-18,59,170
2006-03-18,27,131
2006-03-19,70,214
2006-03-19,32,161
2006-03-20,57,196
2006-03-20,29,159
2006-03-21,43,127
2006-03-21,21,116
2006-03-22,62,182
2006-03-22,18,99
2006-03-23,47,155
2006-03-23,17,98
2006-03-24,50,157
2006-03-24,18,103
2006-03-25,51,158
2006-03-25,15,86
2006-03-26,42,137
2006-03-26,23,117
2006-03-27,37,108
2006-03-27,12,62
2006-03-28,60,169
2006-03-28,15,84
2006-03-29,59,170
2006-03-29,18,112
2006-03-30,52,155
2006-03-30,18,111
2006-03-31,55,163
2006-03-31,44,225
2006-04-01,50,169
2006-04-01,19,104
2006-04-02,45,144
2006-04-02,19,101
2006-04-03,37,121
2006-04-03,15,81
2006-04-04,36,119
2006-04-04,15,86
2006-04-05,44,145
2006-04-05,16,97
2006-04-06,43,149
2006-04-06,17,104
2006-04-07,49,169
2006-04-07,23,128
2006-04-08,48,159
2006-04-08,21,116
2006-04-09,41,154
2006-04-09,21,119
2006-04-10,42,149
2006-04-10,16,94
2006-04-11,36,129
2006-04-11,27,154
2006-04-12,56,178
2006-04-12,27,146
2006-04-13,61,196
2006-04-13,20,112
2006-04-14,63,211
2006-04-14,21,127
2006-04-15,45,162
2006-04-15,17,104
2006-04-16,50,194
2006-04-16,41,208
2006-04-17,55,177
2006-04-17,21,107
2006-04-18,55,168
2006-04-18,21,114
2006-04-19,37,133
2006-04-19,20,113
2006-04-20,48,165
2006-04-20,25,144
2006-04-21,57,199
2006-04-21,28,163
2006-04-22,61,216
2006-04-22,36,202
2006-04-23,50,169
2006-04-23,30,161
2006-04-24,59,201
2006-04-24,21,116
2006-04-25,63,205
2006-04-25,29,153
2006-04-26,45,156
2006-04-26,31,164
2006-04-27,29,107
2006-04-27,23,127
2006-04-28,42,149
2006-04-28,34,180
2006-04-29,62,197
2006-04-29,25,138
2006-04-30,65,218
2006-04-30,30,168
2006-05-01,61,206
2006-05-01,32,183
2006-05-02,51,193
2006-05-02,23,152
2006-05-03,57,238
2006-05-03,30,156
2006-05-04,44,191
2006-05-04,19,129
2006-05-05,53,213
2006-05-05,32,199
2006-05-06,63,243
2006-05-06,23,146
2006-05-07,60,220
2006-05-07,26,163
2006-05-08,57,205
2006-05-08,26,159
2006-05-09,45,173
2006-05-09,26,162
2006-05-10,62,228
2006-05-10,23,140
2006-05-11,40,159
2006-05-11,17,109
2006-05-12,31,137
2006-05-12,19,116
2006-05-13,35,138
2006-05-13,16,97
2006-05-14,35,144
2006-05-14,17,98
2006-05-15,61,216
2006-05-15,37,210
2006-05-16,59,218
2006-05-16,28,163
2006-05-17,61,218
2006-05-17,32,194
2006-05-18,61,216
2006-05-18,36,202
2006-05-19,65,229
2006-05-19,29,147
2006-05-20,61,217
2006-05-20,39,184
2006-05-21,61,210
2006-05-21,39,188
2006-05-22,66,246
2006-05-22,41,208
2006-05-23,65,244
2006-05-23,44,216
2006-05-24,65,225
2006-05-24,41,205
2006-05-25,65,238
2006-05-25,49,237
2006-05-26,71,252
2006-05-26,46,232
2006-05-27,70,259
2006-05-27,66,256
2006-05-28,74,256
2006-05-28,62,264
2006-05-29,71,252
2006-05-29,51,258
2006-05-30,90,283
2006-05-30,69,281
2006-05-31,89,284
2006-05-31,95,298
2006-06-01,88,261
2006-06-01,70,235
2006-06-02,82,232
2006-06-02,85,235
2006-06-03,80,264
2006-06-03,69,247
2006-06-04,75,250
2006-06-04,66,231
2006-06-05,77,258
2006-06-05,67,253
2006-06-06,76,258
2006-06-06,54,222
2006-06-07,73,250
2006-06-07,53,213
2006-06-08,73,244
2006-06-08,58,232
2006-06-09,73,250
2006-06-09,56,249
2006-06-10,69,240
2006-06-10,47,216
2006-06-11,70,244
2006-06-11,54,237
2006-06-12,69,234
2006-06-12,51,224
2006-06-13,69,237
2006-06-13,49,227
2006-06-14,69,243
2006-06-14,84,256
2006-06-15,77,266
2006-06-15,55,253
2006-06-16,71,252
2006-06-16,94,286
2006-06-17,76,267
2006-06-17,73,261
2006-06-18,76,267
2006-06-18,61,276
2006-06-19,84,276
2006-06-19,79,252
2006-06-20,81,274
2006-06-20,62,247
2006-06-21,80,264
2006-06-21,58,252
2006-06-22,84,273
2006-06-22,61,232
2006-06-23,92,269
2006-06-23,68,276
2006-06-24,90,273
2006-06-24,80,289
2006-06-25,83,279
2006-06-25,71,269
2006-06-26,89,281
2006-06-26,87,286
2006-06-27,84,279
2006-06-27,87,276
2006-06-28,90,229
2006-06-28,86,277
2006-06-29,84,276
2006-06-29,87,286
2006-06-30,86,274
2006-06-30,90,273
2006-07-01,98,289
2006-07-01,93,281
2006-07-02,92,295
2006-07-02,91,283
2006-07-03,100,264
2006-07-03,90,273
2006-07-04,95,276
2006-07-04,95,283
2006-07-05,95,276
2006-07-05,95,283
2006-07-06,99,269
2006-07-06,89,261
2006-07-07,77,258
2006-07-07,64,244
2006-07-08,92,269
2006-07-08,89,274
2006-07-09,77,249
2006-07-09,95,259
2006-07-10,84,250
2006-07-10,73,247
2006-07-11,93,267
2006-07-11,74,252
2006-07-12,84,259
2006-07-12,84,259
2006-07-13,90,279
2006-07-13,87,269
2006-07-14,82,252
2006-07-14,85,259
2006-07-15,79,252
2006-07-15,77,258
2006-07-16,83,261
2006-07-16,69,247
2006-07-17,81,266
2006-07-17,81,253
2006-07-18,92,266
2006-07-18,79,259
2006-07-19,90,266
2006-07-19,71,258
2006-07-20,82,255
2006-07-20,83,269
2006-07-21,92,269
2006-07-21,79,252
2006-07-22,93,274
2006-07-22,92,259
2006-07-23,97,264
2006-07-23,92,266
2006-07-24,85,258
2006-07-24,92,274
2006-07-25,88,264
2006-07-25,69,247
2006-07-26,85,252
2006-07-26,74,252
2006-07-27,93,258
2006-07-27,90,255
2006-07-28,95,259
2006-07-28,91,255
2006-07-29,98,263
2006-07-29,96,269
2006-07-30,92,259
2006-07-30,86,271
2006-07-31,93,258
2006-07-31,84,256
2006-08-01,87,246
2006-08-01,96,258
2006-08-02,82,235
2006-08-02,81,256
2006-08-03,93,258
2006-08-03,81,253
2006-08-04,87,244
2006-08-04,82,249
2006-08-05,95,256
2006-08-05,90,249
2006-08-06,98,263
2006-08-06,95,253
2006-08-07,98,256
2006-08-07,94,253
2006-08-08,95,263
2006-08-08,95,273
2006-08-09,95,256
2006-08-09,92,263
2006-08-10,93,252
2006-08-10,90,261
2006-08-11,93,264
2006-08-11,92,274
2006-08-12,86,253
2006-08-12,92,266
2006-08-13,88,261
2006-08-13,81,266
2006-08-14,97,277
2006-08-14,87,269
2006-08-15,90,266
2006-08-15,94,269
2006-08-16,91,256
2006-08-16,92,263
2006-08-17,98,269
2006-08-17,93,271
2006-08-18,88,261
2006-08-18,76,250
2006-08-19,93,266
2006-08-19,92,274
2006-08-20,85,261
2006-08-20,81,274
2006-08-21,92,266
2006-08-21,84,276
2006-08-22,87,256
2006-08-22,87,269
2006-08-23,93,258
2006-08-23,93,266
2006-08-24,89,250
2006-08-24,78,247
2006-08-25,82,238
2006-08-25,90,249
2006-08-26,85,247
2006-08-26,78,241
2006-08-27,85,244
2006-08-27,72,231
2006-08-28,85,247
2006-08-28,85,253
2006-08-29,81,247
2006-08-29,82,246
2006-08-30,95,253
2006-08-30,71,229
2006-08-31,81,240
2006-08-31,67,228
2006-09-01,87,249
2006-09-01,92,263
2006-09-02,97,261
2006-09-02,72,246
2006-09-03,81,247
2006-09-03,72,246
2006-09-04,82,241
2006-09-04,80,273
2006-09-05,82,255
2006-09-05,75,253
2006-09-06,85,264
2006-09-06,80,269
2006-09-07,84,250
2006-09-07,62,256
2006-09-08,84,250
2006-09-08,65,263
2006-09-09,95,259
2006-09-09,63,283
2006-09-10,86,274
2006-09-10,73,281
2006-09-11,81,263
2006-09-11,76,286
2006-09-12,86,274
2006-09-12,81,289
2006-09-13,90,283
2006-09-13,75,247
2006-09-14,95,289
2006-09-14,95,283
2006-09-15,88,264
2006-09-15,95,266
2006-09-16,89,267
2006-09-16,83,274
2006-09-17,92,266
2006-09-17,96,273
2006-09-18,93,267
2006-09-18,89,274
2006-09-19,81,240
2006-09-19,65,247
2006-09-20,90,269
2006-09-20,90,266
2006-09-21,86,259
2006-09-21,73,247
2006-09-22,89,267
2006-09-22,83,271
2006-09-23,85,261
2006-09-23,72,246
2006-09-24,82,249
2006-09-24,66,259
2006-09-25,81,250
2006-09-25,67,244
2006-09-26,81,247
2006-09-26,74,249
2006-09-27,76,235
2006-09-27,86,281
2006-09-28,82,238
