Min Price onion,Max Price onion,Modal Price onion,Price Date
225,275,250,2005/04/27
225,250,237,2005/04/28
225,275,250,2005/04/28
225,250,237,2005/04/29
225,275,250,2005/04/29
225,250,237,2005/05/02
225,275,250,2005/05/02
225,250,237,2005/05/03
250,300,275,2005/05/03
225,250,237,2005/05/04
250,300,275,2005/05/04
225,250,237,2005/05/05
250,300,275,2005/05/05
225,250,237,2005/05/06
250,300,275,2005/05/06
250,275,262,2005/05/08
300,325,312,2005/05/08
250,275,262,2005/05/09
300,325,312,2005/05/09
250,275,262,2005/05/10
300,325,312,2005/05/10
250,275,262,2005/05/11
275,325,300,2005/05/11
250,275,262,2005/05/12
275,325,300,2005/05/12
250,275,262,2005/05/13
275,325,300,2005/05/13
225,250,237,2005/05/15
250,600,275,2005/05/15
225,250,237,2005/05/16
250,300,275,2005/05/16
225,250,237,2005/05/17
250,300,275,2005/05/17
225,250,237,2005/05/18
250,300,275,2005/05/18
225,250,237,2005/05/19
250,275,262,2005/05/19
225,250,237,2005/05/20
250,275,262,2005/05/20
225,250,237,2005/05/22
250,275,262,2005/05/22
225,250,237,2005/05/23
250,275,262,2005/05/23
225,250,237,2005/05/24
250,275,262,2005/05/24
225,250,237,2005/05/25
250,275,262,2005/05/25
225,250,237,2005/05/26
250,275,262,2005/05/26
225,250,237,2005/05/27
250,275,262,2005/05/27
200,250,225,2005/05/29
250,287,268,2005/05/29
200,250,225,2005/05/30
250,287,268,2005/05/30
200,250,225,2005/05/31
250,287,268,2005/05/31
225,250,237,2005/06/01
250,300,275,2005/06/01
225,250,237,2005/06/02
250,300,275,2005/06/02
225,250,237,2005/06/03
250,300,275,2005/06/03
250,300,275,2005/06/05
250,275,262,2005/06/05
250,300,275,2005/06/06
250,275,262,2005/06/06
300,337,318,2005/06/07
300,325,312,2005/06/07
325,350,337,2005/06/08
300,325,312,2005/06/08
325,350,337,2005/06/09
300,325,312,2005/06/09
325,350,337,2005/06/10
300,325,312,2005/06/10
300,325,312,2005/06/12
325,350,337,2005/06/12
300,325,312,2005/06/13
325,350,337,2005/06/13
300,325,312,2005/06/14
325,350,337,2005/06/14
300,325,312,2005/06/15
325,350,337,2005/06/15
300,325,312,2005/06/16
325,350,337,2005/06/16
300,325,312,2005/06/17
325,350,337,2005/06/17
312,350,331,2005/06/19
375,425,400,2005/06/19
312,350,331,2005/06/20
375,425,400,2005/06/20
325,350,337,2005/06/21
400,425,412,2005/06/21
325,350,337,2005/06/22
400,425,412,2005/06/22
350,375,362,2005/06/23
375,425,400,2005/06/23
350,375,362,2005/06/24
375,425,400,2005/06/24
350,375,362,2005/06/26
400,425,412,2005/06/26
350,375,362,2005/06/27
400,425,412,2005/06/27
350,375,362,2005/06/28
400,425,412,2005/06/28
325,350,337,2005/06/29
375,400,387,2005/06/29
325,350,337,2005/06/30
375,400,387,2005/06/30
325,350,337,2005/07/01
375,400,387,2005/07/01
350,375,362,2005/07/03
450,500,475,2005/07/03
350,375,362,2005/07/04
450,500,475,2005/07/04
350,375,362,2005/07/05
450,500,475,2005/07/05
350,400,375,2005/07/06
425,475,450,2005/07/06
350,400,375,2005/07/07
425,475,450,2005/07/07
350,400,375,2005/07/08
425,475,450,2005/07/08
375,412,393,2005/07/10
425,450,437,2005/07/10
375,412,393,2005/07/11
425,450,437,2005/07/11
400,425,412,2005/07/12
425,450,437,2005/07/12
400,437,418,2005/07/13
425,450,437,2005/07/13
450,475,462,2005/07/14
425,450,437,2005/07/14
500,525,512,2005/07/17
425,450,437,2005/07/17
500,525,512,2005/07/18
425,450,437,2005/07/18
500,525,512,2005/07/19
425,450,437,2005/07/19
500,525,512,2005/07/20
425,450,437,2005/07/20
475,500,487,2005/07/21
425,450,437,2005/07/21
475,500,487,2005/07/22
425,450,437,2005/07/22
450,475,462,2005/07/24
400,450,425,2005/07/24
450,475,462,2005/07/26
400,450,425,2005/07/26
425,475,450,2005/07/27
400,450,425,2005/07/27
425,475,450,2005/07/28
400,450,425,2005/07/28
425,475,450,2005/07/29
400,450,425,2005/07/29
500,550,525,2005/07/31
475,500,487,2005/07/31
500,550,525,2005/08/01
475,500,487,2005/08/01
500,575,537,2005/08/02
450,500,475,2005/08/02
525,575,550,2005/08/03
500,550,525,2005/08/03
525,575,550,2005/08/04
500,550,525,2005/08/04
525,575,550,2005/08/05
500,550,525,2005/08/05
550,600,575,2005/08/07
525,575,550,2005/08/07
550,600,575,2005/08/08
525,575,550,2005/08/08
600,625,612,2005/08/09
575,600,587,2005/08/09
625,650,637,2005/08/10
600,625,612,2005/08/10
625,650,637,2005/08/11
600,625,612,2005/08/11
625,650,637,2005/08/12
600,625,612,2005/08/12
675,725,700,2005/08/14
650,700,675,2005/08/14
675,725,700,2005/08/16
650,700,675,2005/08/16
725,750,737,2005/08/17
700,750,725,2005/08/17
750,812,781,2005/08/18
750,825,787,2005/08/18
750,825,787,2005/08/19
900,950,925,2005/08/21
875,900,887,2005/08/21
900,950,925,2005/08/22
875,900,887,2005/08/22
900,950,925,2005/08/23
875,900,887,2005/08/23
875,925,900,2005/08/24
725,800,762,2005/08/24
875,900,887,2005/08/25
750,775,762,2005/08/25
875,900,887,2005/08/26
750,775,762,2005/08/26
1050,1125,1087,2005/08/28
950,1000,975,2005/08/28
1050,1125,1087,2005/08/29
950,1000,975,2005/08/29
1075,1125,1100,2005/08/30
875,1050,962,2005/08/30
1075,1125,1100,2005/08/31
875,1050,962,2005/08/31
1075,1125,1100,2005/09/01
850,1050,950,2005/09/01
1075,1125,1100,2005/09/02
850,1050,950,2005/09/02
1050,1125,1087,2005/09/06
1000,1125,1062,2005/09/06
1000,1125,1062,2005/09/07
1000,1125,1062,2005/09/07
1000,1125,1062,2005/09/08
1000,1125,1062,2005/09/08
1000,1125,1062,2005/09/09
1000,1125,1062,2005/09/09
1100,1150,1125,2005/09/11
1000,1075,1037,2005/09/11
1100,1150,1125,2005/09/12
1000,1075,1037,2005/09/12
1100,1150,1125,2005/09/13
1000,1075,1037,2005/09/13
1100,1150,1125,2005/09/14
1000,1075,1037,2005/09/14
1100,1150,1125,2005/09/15
1000,1125,1062,2005/09/15
1100,1150,1125,2005/09/16
1000,1125,1062,2005/09/16
1075,1125,1100,2005/09/18
1000,1100,1050,2005/09/18
1075,1125,1100,2005/09/19
1000,1100,1050,2005/09/19
1000,1125,1062,2005/09/20
1000,1100,1050,2005/09/20
1000,1125,1062,2005/09/21
875,1000,937,2005/09/21
1000,1125,1062,2005/09/22
875,1000,937,2005/09/22
1000,1125,1062,2005/09/23
875,1000,937,2005/09/23
1000,1125,1062,2005/09/25
625,875,750,2005/09/25
1000,1125,1062,2005/09/26
625,875,750,2005/09/26
1000,1125,1062,2005/09/27
625,875,750,2005/09/27
1000,1125,1062,2005/09/28
625,875,750,2005/09/28
1000,1150,1075,2005/09/29
750,1000,875,2005/09/29
1000,1150,1075,2005/09/30
750,1000,875,2005/09/30
1000,1250,1125,2005/10/02
900,950,925,2005/10/02
1000,1125,1062,2005/10/03
1000,1125,1062,2005/10/03
1125,1250,1187,2005/10/04
1000,1125,1062,2005/10/04
1125,1250,1185,2005/10/05
925,1000,962,2005/10/05
1000,1250,1125,2005/10/06
875,1000,937,2005/10/06
1000,1250,1125,2005/10/07
875,1000,937,2005/10/07
1125,1375,1250,2005/10/09
1000,1125,1062,2005/10/09
1125,1375,1250,2005/10/10
1000,1125,1062,2005/10/10
1125,1375,1250,2005/10/11
1000,1125,1062,2005/10/11
1250,1375,1312,2005/10/13
875,1000,937,2005/10/13
1250,1375,1312,2005/10/14
875,1000,937,2005/10/14
1125,1250,1187,2005/10/16
1000,1125,1062,2005/10/16
1125,1250,1187,2005/10/17
1000,1125,1062,2005/10/17
1125,1250,1187,2005/10/18
1000,1125,1062,2005/10/18
1500,1625,1562,2005/10/19
1375,1500,1437,2005/10/19
1625,1750,1687,2005/10/20
1500,1750,1625,2005/10/20
1625,1750,1687,2005/10/21
1500,1750,1625,2005/10/21
1875,2000,1937,2005/10/23
1500,1625,1562,2005/10/23
1875,2000,1937,2005/10/24
1500,1625,1562,2005/10/24
1625,1750,1687,2005/10/25
1375,1500,1437,2005/10/25
1500,2500,2000,2005/10/26
1000,1250,1125,2005/10/26
1500,1625,1562,2005/10/27
1000,1250,1125,2005/10/27
1500,1625,1562,2005/10/28
1000,1250,1125,2005/10/28
1000,1125,1062,2005/10/30
950,1000,975,2005/10/30
1000,1125,1062,2005/10/31
950,1000,975,2005/10/31
1000,1250,1125,2005/11/01
1000,1250,1125,2005/11/01
1000,1250,1125,2005/11/03
875,1000,937,2005/11/03
1500,1750,1625,2005/11/05
1250,1625,1437,2005/11/05
1500,1750,1625,2005/11/07
1250,1625,1437,2005/11/07
1500,1625,1562,2005/11/08
1250,1500,1375,2005/11/08
1375,1500,1437,2005/11/09
1250,1500,1375,2005/11/09
1250,1375,1312,2005/11/10
1125,1250,1187,2005/11/10
1250,1375,1312,2005/11/11
1125,1250,1187,2005/11/11
1125,1375,1250,2005/11/13
1125,1250,1187,2005/11/13
1125,1375,1250,2005/11/14
1125,1250,1187,2005/11/14
1000,1062,1031,2005/11/15
1000,1125,1062,2005/11/15
1000,1062,1031,2005/11/16
1000,1125,1062,2005/11/16
1000,1062,1031,2005/11/17
1125,1250,1187,2005/11/17
1000,1062,1031,2005/11/18
1125,1250,1187,2005/11/18
1125,1250,1187,2005/11/20
1125,1250,1187,2005/11/20
1125,1200,1162,2005/11/21
1125,1250,1187,2005/11/21
1000,1175,1087,2005/11/22
1125,1250,1187,2005/11/22
875,1000,937,2005/11/23
1000,1125,1062,2005/11/23
875,1000,937,2005/11/24
1000,1125,1062,2005/11/24
875,1000,937,2005/11/25
1000,1125,1062,2005/11/25
875,1000,937,2005/11/27
875,1000,937,2005/11/27
875,1000,937,2005/11/28
875,1000,937,2005/11/28
875,950,912,2005/11/29
750,875,812,2005/11/29
625,750,678,2005/11/30
675,750,712,2005/11/30
625,750,687,2005/12/01
750,875,812,2005/12/01
625,750,687,2005/12/02
750,875,812,2005/12/02
750,850,800,2005/12/04
700,825,762,2005/12/04
750,850,800,2005/12/05
700,825,762,2005/12/05
750,850,800,2005/12/06
700,825,762,2005/12/06
750,850,800,2005/12/07
750,850,800,2005/12/07
750,850,800,2005/12/08
750,850,800,2005/12/08
750,850,800,2005/12/09
750,850,800,2005/12/09
750,850,800,2005/12/11
750,850,800,2005/12/11
750,850,800,2005/12/12
750,850,800,2005/12/12
700,750,725,2005/12/13
725,750,737,2005/12/13
650,675,662,2005/12/14
625,670,650,2005/12/14
575,650,612,2005/12/15
550,625,587,2005/12/15
575,650,612,2005/12/16
550,625,587,2005/12/16
375,450,412,2005/12/18
400,450,425,2005/12/18
375,450,412,2005/12/19
400,450,425,2005/12/19
350,375,362,2005/12/20
350,375,362,2005/12/20
350,375,362,2005/12/21
325,350,337,2005/12/21
325,350,337,2005/12/22
375,400,387,2005/12/22
350,400,375,2005/12/23
350,375,362,2005/12/23
350,375,362,2005/12/25
375,400,387,2005/12/25
350,375,362,2005/12/26
375,400,387,2005/12/26
375,400,387,2005/12/27
425,450,437,2005/12/27
375,425,400,2005/12/28
450,500,475,2005/12/28
375,400,387,2005/12/29
425,450,437,2005/12/29
375,400,387,2005/12/30
425,450,437,2005/12/30
450,500,475,2006/01/01
450,500,475,2006/01/01
450,500,475,2006/01/02
450,500,475,2006/01/02
450,500,475,2006/01/03
450,500,475,2006/01/03
450,500,475,2006/01/04
450,500,475,2006/01/04
375,425,400,2006/01/05
450,500,475,2006/01/05
375,425,400,2006/01/06
450,500,475,2006/01/06
300,350,325,2006/01/08
375,400,387,2006/01/08
300,350,325,2006/01/09
375,400,387,2006/01/09
300,325,312,2006/01/10
325,375,350,2006/01/10
300,325,312,2006/01/11
325,375,350,2006/01/11
300,325,312,2006/01/13
325,375,350,2006/01/13
300,350,325,2006/01/15
325,375,350,2006/01/15
300,350,325,2006/01/16
325,375,350,2006/01/16
325,400,362,2006/01/17
350,375,362,2006/01/17
350,400,375,2006/01/18
350,400,375,2006/01/18
350,400,375,2006/01/19
350,400,375,2006/01/19
350,400,375,2006/01/20
350,400,375,2006/01/20
275,325,300,2006/01/22
275,300,287,2006/01/22
275,325,300,2006/01/23
275,300,287,2006/01/23
325,350,337,2006/01/24
300,325,312,2006/01/24
325,350,337,2006/01/25
300,325,312,2006/01/25
325,350,337,2006/01/29
300,325,312,2006/01/29
325,350,337,2006/01/30
300,325,312,2006/01/30
325,350,337,2006/01/31
300,325,312,2006/01/31
250,312,281,2006/02/01
275,325,300,2006/02/01
250,312,281,2006/02/02
275,325,300,2006/02/02
250,312,281,2006/02/03
275,325,300,2006/02/03
250,325,287,2006/02/05
275,300,287,2006/02/05
250,325,287,2006/02/06
275,300,287,2006/02/06
250,325,287,2006/02/07
275,300,287,2006/02/07
250,325,287,2006/02/08
275,300,287,2006/02/08
275,325,300,2006/02/09
275,300,287,2006/02/09
300,325,312,2006/02/12
275,300,287,2006/02/12
300,325,312,2006/02/13
275,300,287,2006/02/13
300,325,312,2006/02/14
300,325,312,2006/02/14
300,325,312,2006/02/15
300,325,312,2006/02/15
300,325,312,2006/02/16
300,325,312,2006/02/16
300,325,312,2006/02/17
300,325,312,2006/02/17
250,300,275,2006/02/19
250,300,275,2006/02/19
250,300,275,2006/02/20
250,300,275,2006/02/20
275,300,287,2006/02/21
250,275,262,2006/02/21
275,300,287,2006/02/22
250,275,262,2006/02/22
275,300,287,2006/02/23
250,325,287,2006/02/23
275,300,287,2006/02/24
250,325,287,2006/02/24
250,300,275,2006/02/26
250,300,275,2006/02/26
250,300,275,2006/02/27
250,300,275,2006/02/27
275,325,300,2006/02/28
300,337,318,2006/02/28
275,325,300,2006/03/01
300,325,312,2006/03/01
275,325,300,2006/03/02
300,325,312,2006/03/02
300,337,318,2006/03/03
275,300,287,2006/03/03
250,275,262,2006/03/05
250,275,262,2006/03/05
250,275,262,2006/03/06
250,275,262,2006/03/06
250,275,262,2006/03/07
250,275,262,2006/03/07
250,275,262,2006/03/08
250,300,275,2006/03/08
250,275,262,2006/03/09
250,300,275,2006/03/09
250,275,262,2006/03/10
250,300,275,2006/03/10
275,325,300,2006/03/12
250,275,262,2006/03/12
275,325,300,2006/03/13
250,275,262,2006/03/13
275,325,300,2006/03/14
250,275,262,2006/03/14
275,325,300,2006/03/16
250,275,262,2006/03/16
275,325,300,2006/03/17
250,275,262,2006/03/17
325,350,337,2006/03/19
250,275,262,2006/03/19
325,350,337,2006/03/20
250,275,265,2006/03/20
350,375,362,2006/03/21
275,300,287,2006/03/21
350,375,362,2006/03/22
275,300,287,2006/03/22
350,375,362,2006/03/23
275,300,287,2006/03/23
300,325,312,2006/03/26
250,275,262,2006/03/26
300,325,312,2006/03/27
250,275,262,2006/03/27
250,300,275,2006/03/28
250,275,262,2006/03/28
250,300,275,2006/03/29
250,275,262,2006/03/29
250,300,275,2006/03/31
250,275,262,2006/03/31
225,300,262,2006/04/02
250,275,262,2006/04/02
225,300,262,2006/04/03
250,275,262,2006/04/03
225,300,262,2006/04/04
250,275,262,2006/04/04
275,325,300,2006/04/05
250,275,262,2006/04/05
250,300,275,2006/04/09
250,325,287,2006/04/09
250,300,275,2006/04/10
250,325,287,2006/04/10
225,275,250,2006/04/11
250,275,262,2006/04/11
250,275,262,2006/04/13
225,250,237,2006/04/13
200,250,225,2006/04/15
200,250,225,2006/04/17
200,225,212,2006/04/18
200,225,212,2006/04/18
200,250,225,2006/04/19
200,250,225,2006/04/20
200,250,225,2006/04/21
225,250,237,2006/04/23
225,250,237,2006/04/23
225,250,237,2006/04/24
225,250,237,2006/04/24
225,250,237,2006/05/15
250,275,262,2006/05/15
225,250,237,2006/05/16
225,250,237,2006/05/16
200,225,212,2006/05/17
200,250,225,2006/05/17
200,225,212,2006/05/18
200,250,225,2006/05/18
200,250,225,2006/05/20
250,275,262,2006/05/20
200,250,225,2006/05/21
200,250,225,2006/05/22
200,250,225,2006/05/23
200,225,212,2006/05/23
225,250,237,2006/05/24
200,225,212,2006/05/24
225,275,250,2006/05/26
225,250,237,2006/05/26
250,300,275,2006/05/28
225,275,250,2006/05/28
250,300,275,2006/05/29
225,275,250,2006/05/29
250,300,275,2006/05/30
225,275,250,2006/05/30
375,400,387,2006/06/04
300,337,318,2006/06/04
375,400,387,2006/06/05
300,337,318,2006/06/05
375,400,387,2006/06/06
300,337,318,2006/06/06
400,425,412,2006/06/07
375,400,387,2006/06/08
325,350,337,2006/06/08
375,400,387,2006/06/09
325,350,337,2006/06/09
375,425,400,2006/06/12
375,425,400,2006/06/12
375,425,400,2006/06/13
375,425,400,2006/06/13
375,425,400,2006/06/14
375,425,400,2006/06/14
375,425,400,2006/06/15
375,425,400,2006/06/15
375,425,400,2006/06/16
375,425,400,2006/06/16
375,450,412,2006/06/18
350,425,387,2006/06/18
375,450,412,2006/06/19
350,425,387,2006/06/19
375,400,387,2006/06/20
375,425,400,2006/06/20
375,400,387,2006/06/21
375,425,400,2006/06/21
400,425,412,2006/06/22
375,400,387,2006/06/22
400,425,412,2006/06/23
375,400,387,2006/06/23
400,450,425,2006/06/25
375,400,387,2006/06/25
400,450,425,2006/06/26
375,400,387,2006/06/26
425,475,450,2006/06/27
350,400,375,2006/06/27
400,450,425,2006/06/28
350,375,362,2006/06/28
400,450,425,2006/06/29
350,375,362,2006/06/29
400,450,425,2006/06/30
350,400,375,2006/06/30
400,450,425,2006/07/17
350,375,362,2006/07/17
400,450,425,2006/07/18
350,375,362,2006/07/18
400,450,425,2006/07/19
350,375,362,2006/07/19
400,450,425,2006/07/20
350,375,362,2006/07/20
400,450,425,2006/07/21
350,375,362,2006/07/21
425,475,450,2006/07/23
375,400,387,2006/07/23
425,475,450,2006/07/24
375,400,387,2006/07/24
400,450,425,2006/07/25
300,375,337,2006/07/25
400,450,425,2006/07/26
300,375,337,2006/07/26
400,450,425,2006/07/27
300,375,337,2006/07/27
400,450,425,2006/07/28
300,375,337,2006/07/28
400,450,425,2006/07/30
375,425,400,2006/07/30
400,450,425,2006/07/31
375,425,400,2006/07/31
375,425,400,2006/08/01
375,425,400,2006/08/02
350,400,375,2006/08/02
375,425,400,2006/08/03
350,400,375,2006/08/03
375,425,400,2006/08/04
350,400,375,2006/08/04
400,425,412,2006/08/06
375,400,387,2006/08/06
400,425,412,2006/08/07
375,400,387,2006/08/07
400,425,412,2006/08/08
375,400,387,2006/08/08
400,425,412,2006/08/09
375,400,387,2006/08/09
425,450,437,2006/08/10
400,500,450,2006/08/10
450,500,475,2006/08/13
500,550,525,2006/08/13
450,500,475,2006/08/14
500,550,525,2006/08/14
450,500,475,2006/08/16
500,550,525,2006/08/16
375,500,437,2006/08/17
400,525,462,2006/08/17
375,500,437,2006/08/18
400,525,462,2006/08/18
375,500,437,2006/08/20
350,450,400,2006/08/20
350,450,400,2006/08/21
375,500,437,2006/08/22
350,450,400,2006/08/22
375,500,437,2006/08/23
400,450,425,2006/08/23
375,500,437,2006/08/25
400,450,425,2006/08/25
425,500,462,2006/08/27
350,450,400,2006/08/27
425,500,462,2006/08/28
350,450,400,2006/08/28
425,500,462,2006/08/29
350,450,400,2006/08/29
375,475,425,2006/08/30
375,450,412,2006/08/30
375,475,425,2006/08/31
375,450,412,2006/08/31
375,475,425,2006/09/01
375,450,412,2006/09/01
400,450,425,2006/09/03
350,400,375,2006/09/03
400,450,425,2006/09/04
350,400,375,2006/09/04
425,500,462,2006/09/05
350,425,387,2006/09/05
425,500,462,2006/09/06
350,425,387,2006/09/06
450,500,475,2006/09/07
400,450,425,2006/09/07
450,500,475,2006/09/08
400,450,425,2006/09/08
375,475,425,2006/09/11
350,400,375,2006/09/11
375,475,425,2006/09/12
350,400,375,2006/09/12
400,450,425,2006/09/13
400,450,425,2006/09/13
400,450,425,2006/09/14
400,450,425,2006/09/14
400,450,425,2006/09/15
400,450,425,2006/09/15
400,450,425,2006/09/17
400,450,425,2006/09/17
400,450,425,2006/09/18
400,450,425,2006/09/18
375,425,400,2006/09/19
350,400,375,2006/09/19
375,425,400,2006/09/20
350,400,375,2006/09/20
375,425,400,2006/09/21
350,400,375,2006/09/21
450,500,475,2006/09/24
375,450,412,2006/09/24
450,500,475,2006/09/25
375,450,412,2006/09/25
450,500,475,2006/09/26
375,450,412,2006/09/26
400,500,450,2006/09/27
350,400,375,2006/09/27
400,500,450,2006/09/28
350,400,375,2006/09/28
400,450,425,2006/10/01
375,400,387,2006/10/01
400,450,425,2006/10/03
375,400,387,2006/10/03
375,500,437,2006/10/04
300,375,337,2006/10/04
375,500,437,2006/10/05
300,375,337,2006/10/05
450,600,525,2006/10/06
300,400,350,2006/10/06
500,600,550,2006/10/08
400,450,425,2006/10/08
500,600,550,2006/10/09
400,450,425,2006/10/09
500,650,575,2006/10/10
450,500,475,2006/10/10
400,500,450,2006/10/11
575,625,600,2006/10/11
500,625,562,2006/10/12
300,450,375,2006/10/12
500,625,562,2006/10/13
300,450,375,2006/10/13
700,750,725,2006/10/15
350,425,387,2006/10/15
700,750,725,2006/10/16
350,425,387,2006/10/16
700,750,725,2006/10/17
350,425,387,2006/10/17
700,750,725,2006/10/18
400,450,425,2006/10/18
700,750,725,2006/10/19
400,450,425,2006/10/19
700,750,725,2006/10/20
400,450,425,2006/10/20
750,875,812,2006/10/22
375,500,437,2006/10/22
750,875,812,2006/10/24
375,500,437,2006/10/24
750,875,812,2006/10/26
375,500,437,2006/10/26
750,875,812,2006/10/27
500,575,527,2006/10/27
875,950,912,2006/10/29
650,700,675,2006/10/29
875,950,912,2006/10/30
650,700,675,2006/10/30
875,950,912,2006/10/31
650,700,675,2006/10/31
875,925,900,2006/11/01
625,775,700,2006/11/01
875,950,912,2006/11/02
625,700,662,2006/11/02
875,950,912,2006/11/03
625,700,662,2006/11/03
625,750,687,2006/11/05
375,550,462,2006/11/05
625,750,687,2006/11/06
375,550,462,2006/11/06
625,750,687,2006/11/07
375,550,462,2006/11/07
625,750,687,2006/11/08
375,650,412,2006/11/08
500,550,525,2006/11/09
400,450,425,2006/11/09
625,750,687,2006/11/10
450,500,475,2006/11/10
750,1000,875,2006/11/12
500,625,562,2006/11/12
750,1000,875,2006/11/13
500,625,562,2006/11/13
750,875,812,2006/11/14
450,625,537,2006/11/14
750,875,812,2006/11/15
450,625,537,2006/11/15
750,875,812,2006/11/16
450,625,537,2006/11/16
750,875,812,2006/11/17
375,500,437,2006/11/17
600,750,675,2006/11/19
350,500,425,2006/11/19
600,750,675,2006/11/20
350,500,425,2006/11/20
625,750,687,2006/11/28
450,500,475,2006/11/28
500,625,562,2006/11/29
400,500,450,2006/11/29
500,625,562,2006/11/30
400,500,450,2006/11/30
700,875,787,2006/12/12
550,750,650,2006/12/12
700,750,725,2006/12/13
650,725,687,2006/12/13
700,750,725,2006/12/14
650,725,687,2006/12/14
625,725,675,2006/12/18
650,700,675,2006/12/18
625,725,675,2006/12/19
650,700,675,2006/12/19
625,650,637,2006/12/20
600,625,612,2006/12/20
625,650,637,2006/12/21
600,625,612,2006/12/21
625,650,637,2006/12/22
600,625,612,2006/12/22
