Modal Price cauliflower,Price Date
750,2013/04/19
950,2013/04/19
1600,2013/04/19
1000,2013/04/20
1000,2013/04/20
800,2013/04/21
1100,2013/04/21
750,2013/04/22
550,2013/04/22
1150,2013/04/22
750,2013/04/23
550,2013/04/23
1250,2013/04/23
800,2013/04/24
550,2013/04/24
750,2013/04/25
700,2013/04/25
550,2013/04/26
800,2013/04/27
800,2013/04/28
800,2013/04/28
1150,2013/04/28
900,2013/04/29
950,2013/04/29
1350,2013/04/29
800,2013/04/30
825,2013/04/30
900,2013/05/02
1050,2013/05/02
800,2013/05/03
700,2013/05/03
1200,2013/05/03
800,2013/05/04
1100,2013/05/04
900,2013/05/05
750,2013/05/05
750,2013/05/06
600,2013/05/06
1050,2013/05/06
800,2013/05/07
550,2013/05/07
1100,2013/05/07
700,2013/05/08
1100,2013/05/08
700,2013/05/09
550,2013/05/09
1000,2013/05/09
750,2013/05/10
500,2013/05/10
1100,2013/05/10
900,2013/05/11
700,2013/05/12
900,2013/05/12
700,2013/05/13
600,2013/05/13
900,2013/05/13
750,2013/05/14
550,2013/05/14
1200,2013/05/14
750,2013/05/15
650,2013/05/15
1000,2013/05/15
950,2013/05/16
650,2013/05/16
1000,2013/05/16
600,2013/05/17
1100,2013/05/17
600,2013/05/18
850,2013/05/19
700,2013/05/19
1000,2013/05/19
700,2013/05/20
1100,2013/05/20
900,2013/05/21
1100,2013/05/21
650,2013/05/22
900,2013/05/23
800,2013/05/23
1100,2013/05/23
1000,2013/05/24
950,2013/05/24
1150,2013/05/24
1050,2013/05/25
1100,2013/05/25
1150,2013/05/26
1150,2013/05/26
1300,2013/05/26
1150,2013/05/27
850,2013/05/27
1000,2013/05/27
950,2013/05/28
1300,2013/05/28
1150,2013/05/29
950,2013/05/29
1250,2013/05/29
1150,2013/05/30
850,2013/05/30
1250,2013/05/30
1150,2013/05/31
1200,2013/05/31
1150,2013/06/01
1250,2013/06/02
1150,2013/06/03
1900,2013/06/09
1150,2013/06/11
1800,2013/06/11
1150,2013/06/12
1000,2013/06/13
1400,2013/06/14
2000,2013/06/14
1700,2013/06/15
1450,2013/06/16
1750,2013/06/17
1200,2013/06/17
1750,2013/06/18
1850,2013/06/19
1250,2013/06/19
2250,2013/06/19
1500,2013/06/20
2150,2013/06/21
1350,2013/06/21
2100,2013/06/21
1200,2013/06/22
1850,2013/06/23
2000,2013/06/23
1750,2013/06/24
1750,2013/06/24
2650,2013/06/24
1500,2013/06/25
1600,2013/06/26
2300,2013/06/26
1600,2013/06/27
1600,2013/06/28
2000,2013/06/30
1700,2013/06/30
1600,2013/07/01
1350,2013/07/01
1450,2013/07/02
1600,2013/07/03
1500,2013/07/03
1300,2013/07/04
1500,2013/07/04
1500,2013/07/05
1200,2013/07/05
1750,2013/07/06
1100,2013/07/07
1100,2013/07/07
1150,2013/07/08
800,2013/07/08
1000,2013/07/09
750,2013/07/09
1550,2013/07/09
900,2013/07/10
900,2013/07/10
1500,2013/07/10
800,2013/07/11
750,2013/07/12
1100,2013/07/12
750,2013/07/14
650,2013/07/15
1200,2013/07/15
850,2013/07/16
1250,2013/07/16
1450,2013/07/17
900,2013/07/19
1300,2013/07/20
900,2013/07/21
900,2013/07/22
1250,2013/07/22
850,2013/07/23
1250,2013/07/23
1200,2013/07/24
800,2013/07/25
1400,2013/07/25
850,2013/07/26
1000,2013/07/26
1350,2013/07/26
1400,2013/07/27
1300,2013/07/28
1500,2013/07/29
1750,2013/07/29
1500,2013/07/30
1300,2013/07/30
1400,2013/07/31
1600,2013/07/31
1800,2013/07/31
1400,2013/08/01
1800,2013/08/02
1300,2013/08/02
1500,2013/08/03
2000,2013/08/08
1400,2013/09/26
1300,2013/09/27
2500,2013/09/30
1600,2013/10/01
1150,2013/10/02
1600,2013/10/03
1150,2013/10/03
1650,2013/10/04
1400,2013/10/04
1400,2013/10/07
1400,2013/10/08
1500,2013/10/09
1700,2013/10/10
1850,2013/10/11
1300,2013/10/11
1600,2013/10/15
1500,2013/10/16
1550,2013/10/16
1700,2013/10/17
1500,2013/10/17
1500,2013/10/18
1750,2013/10/21
1600,2013/10/22
1750,2013/10/29
1550,2013/10/30
1600,2013/10/31
1500,2013/11/06
1200,2013/11/06
1400,2013/11/07
1250,2013/11/08
950,2013/11/10
1150,2013/11/11
750,2013/11/12
1150,2013/11/13
950,2013/11/14
850,2013/11/18
1100,2013/11/19
1150,2013/11/19
1100,2013/11/20
1000,2013/11/20
950,2013/11/22
800,2013/11/22
750,2013/11/23
900,2013/11/24
700,2013/11/24
950,2013/11/25
600,2013/11/25
750,2013/11/26
650,2013/11/27
500,2013/11/28
500,2013/11/29
450,2013/11/29
450,2013/12/01
550,2013/12/02
500,2013/12/03
500,2013/12/04
400,2013/12/05
450,2013/12/05
400,2013/12/06
700,2013/12/09
600,2013/12/09
600,2013/12/10
700,2013/12/10
600,2013/12/11
450,2013/12/11
600,2013/12/12
450,2013/12/12
550,2013/12/13
450,2013/12/13
500,2013/12/14
550,2013/12/15
500,2013/12/15
550,2013/12/16
550,2013/12/17
600,2013/12/18
500,2013/12/18
550,2013/12/19
400,2013/12/19
550,2013/12/20
450,2013/12/20
550,2013/12/21
800,2013/12/22
600,2013/12/23
550,2013/12/23
550,2013/12/24
400,2013/12/24
400,2013/12/25
550,2013/12/26
400,2013/12/26
550,2013/12/27
400,2013/12/27
550,2013/12/29
500,2013/12/29
500,2013/12/30
450,2013/12/30
450,2013/12/31
450,2013/12/31
350,2014/01/01
450,2014/01/01
350,2014/01/02
350,2014/01/02
450,2014/01/03
350,2014/01/03
400,2014/01/04
430,2014/01/05
500,2014/01/05
380,2014/01/06
350,2014/01/06
450,2014/01/07
350,2014/01/07
450,2014/01/08
500,2014/01/08
400,2014/01/09
450,2014/01/09
450,2014/01/10
450,2014/01/10
450,2014/01/11
450,2014/01/13
600,2014/01/13
450,2014/01/15
450,2014/01/16
550,2014/01/16
400,2014/01/17
450,2014/01/17
900,2014/01/17
700,2014/01/18
800,2014/01/19
450,2014/01/20
400,2014/01/20
700,2014/01/20
500,2014/01/21
350,2014/01/21
500,2014/01/21
400,2014/01/22
400,2014/01/22
650,2014/01/22
300,2014/01/23
450,2014/01/23
350,2014/01/24
350,2014/01/24
350,2014/01/24
200,2014/01/25
350,2014/01/26
370,2014/01/27
200,2014/01/27
350,2014/01/27
300,2014/01/28
250,2014/01/28
300,2014/01/28
350,2014/01/29
300,2014/01/29
400,2014/01/29
300,2014/01/30
300,2014/01/30
350,2014/01/30
300,2014/01/31
250,2014/01/31
250,2014/02/01
350,2014/02/03
300,2014/02/03
350,2014/02/04
550,2014/02/04
300,2014/02/05
350,2014/02/05
400,2014/02/06
400,2014/02/06
350,2014/02/07
300,2014/02/07
300,2014/02/10
400,2014/02/10
600,2014/02/10
350,2014/02/11
400,2014/02/11
350,2014/02/12
550,2014/02/12
500,2014/02/12
350,2014/02/13
400,2014/02/13
350,2014/02/14
900,2014/02/14
550,2014/02/15
500,2014/02/15
550,2014/02/17
500,2014/02/17
400,2014/02/18
400,2014/02/18
650,2014/02/18
450,2014/02/19
900,2014/02/19
350,2014/02/20
450,2014/02/20
350,2014/02/21
450,2014/02/21
300,2014/02/24
500,2014/02/24
350,2014/02/25
350,2014/02/25
350,2014/02/26
300,2014/02/26
500,2014/02/26
350,2014/02/28
300,2014/02/28
250,2014/03/01
300,2014/03/03
250,2014/03/03
300,2014/03/04
350,2014/03/04
350,2014/03/05
400,2014/03/05
300,2014/03/06
250,2014/03/06
300,2014/03/07
400,2014/03/07
500,2014/03/08
300,2014/03/09
250,2014/03/09
300,2014/03/10
300,2014/03/10
300,2014/03/11
300,2014/03/11
300,2014/03/12
400,2014/03/12
300,2014/03/13
300,2014/03/14
450,2014/03/14
250,2014/03/15
350,2014/03/16
250,2014/03/16
200,2014/03/17
350,2014/03/18
400,2014/03/18
350,2014/03/19
400,2014/03/19
350,2014/03/20
250,2014/03/20
350,2014/03/21
450,2014/03/23
350,2014/03/24
250,2014/03/24
350,2014/03/25
400,2014/03/25
350,2014/03/26
350,2014/03/26
350,2014/03/27
350,2014/03/28
350,2014/03/28
350,2014/03/29
250,2014/04/01
450,2014/04/02
400,2014/04/03
400,2014/04/04
225,2014/04/04
250,2014/04/05
500,2014/04/07
350,2014/04/07
350,2014/04/08
450,2014/04/09
300,2014/04/09
350,2014/04/10
300,2014/04/11
750,2014/04/13
700,2014/04/14
450,2014/04/15
1150,2014/04/18
600,2014/04/19
600,2014/04/20
750,2014/04/22
500,2014/04/23
500,2014/04/24
500,2014/04/25
850,2014/04/26
650,2014/04/27
950,2014/04/27
600,2014/04/28
650,2014/04/28
1300,2014/04/29
750,2014/04/29
650,2014/04/30
600,2014/04/30
600,2014/05/02
650,2014/05/02
650,2014/05/04
650,2014/05/04
650,2014/05/05
500,2014/05/05
650,2014/05/06
500,2014/05/06
850,2014/05/07
450,2014/05/07
700,2014/05/08
650,2014/05/08
600,2014/05/09
600,2014/05/09
750,2014/05/12
700,2014/05/12
750,2014/05/13
550,2014/05/13
850,2014/05/14
800,2014/05/15
750,2014/05/15
850,2014/05/16
500,2014/05/16
650,2014/05/17
500,2014/05/28
800,2014/06/03
800,2014/06/04
1200,2014/06/05
1100,2014/06/06
900,2014/06/07
950,2014/06/08
950,2014/06/09
950,2014/06/10
950,2014/06/10
850,2014/06/11
650,2014/06/11
950,2014/06/12
950,2014/06/12
950,2014/06/13
1000,2014/06/14
1100,2014/06/15
1050,2014/06/15
1000,2014/06/16
1350,2014/06/16
1500,2014/06/17
1200,2014/06/17
900,2014/06/18
1050,2014/06/19
1200,2014/06/20
1500,2014/06/22
1250,2014/06/22
1450,2014/06/23
1750,2014/06/23
1350,2014/06/24
1500,2014/06/24
1400,2014/06/25
1500,2014/06/25
1500,2014/06/26
1350,2014/06/26
1500,2014/06/27
1250,2014/06/27
1500,2014/06/28
1500,2014/06/29
1250,2014/06/29
1700,2014/06/30
1250,2014/06/30
1550,2014/07/01
1500,2014/07/01
1500,2014/07/02
1450,2014/07/02
1500,2014/07/03
1500,2014/07/03
1300,2014/07/04
1250,2014/07/04
1250,2014/07/05
1400,2014/07/06
1200,2014/07/06
1400,2014/07/07
1250,2014/07/07
1400,2014/07/08
1450,2014/07/08
1300,2014/07/09
1300,2014/07/09
1300,2014/07/10
1250,2014/07/10
1150,2014/07/11
900,2014/07/11
1850,2014/07/11
1150,2014/07/13
1150,2014/07/13
1750,2014/07/13
1150,2014/07/14
1100,2014/07/14
1650,2014/07/14
1100,2014/07/15
950,2014/07/15
1400,2014/07/15
1000,2014/07/16
1800,2014/07/16
1100,2014/07/17
1000,2014/07/17
1350,2014/07/17
1000,2014/07/18
800,2014/07/18
1350,2014/07/18
1100,2014/07/19
850,2014/07/20
1600,2014/07/20
1050,2014/07/21
1000,2014/07/21
1450,2014/07/21
1050,2014/07/22
1150,2014/07/22
1300,2014/07/22
1000,2014/07/23
1050,2014/07/24
750,2014/07/24
1550,2014/07/24
950,2014/07/25
650,2014/07/25
1400,2014/07/25
1050,2014/07/26
1100,2014/07/27
1000,2014/07/27
1500,2014/07/27
1000,2014/07/28
1150,2014/07/28
1500,2014/07/28
850,2014/07/29
1500,2014/07/29
800,2014/07/30
750,2014/07/30
1450,2014/07/30
700,2014/07/31
1150,2014/07/31
1050,2014/08/01
1000,2014/08/01
1450,2014/08/01
1500,2014/08/02
1100,2014/08/03
1150,2014/08/03
1500,2014/08/03
1100,2014/08/04
900,2014/08/04
1550,2014/08/04
1050,2014/08/05
850,2014/08/05
1750,2014/08/05
850,2014/08/06
1000,2014/08/06
1600,2014/08/06
900,2014/08/07
900,2014/08/07
1300,2014/08/07
1000,2014/08/08
1400,2014/08/08
900,2014/08/09
1150,2014/08/09
900,2014/08/10
1500,2014/08/10
900,2014/08/11
850,2014/08/12
650,2014/08/12
1150,2014/08/12
700,2014/08/13
900,2014/08/13
850,2014/08/14
900,2014/08/14
1150,2014/08/15
950,2014/08/16
650,2014/08/17
700,2014/08/17
800,2014/08/17
850,2014/08/18
1000,2014/08/19
600,2014/08/20
900,2014/08/20
1100,2014/08/21
1000,2014/08/22
500,2014/08/24
900,2014/08/24
900,2014/08/25
800,2014/08/26
1000,2014/08/27
1000,2014/08/28
900,2014/08/31
600,2014/09/01
700,2014/09/02
450,2014/09/03
800,2014/09/04
700,2014/09/05
750,2014/09/07
1500,2014/09/07
1050,2014/09/08
1250,2014/09/08
1050,2014/09/10
1250,2014/09/10
2000,2014/09/10
1000,2014/09/11
1750,2014/09/11
1600,2014/09/12
1250,2014/09/12
2000,2014/09/12
1500,2014/09/13
2100,2014/09/13
2000,2014/09/14
1650,2014/09/14
2300,2014/09/14
1500,2014/09/15
1400,2014/09/15
2300,2014/09/15
1350,2014/09/16
1350,2014/09/16
2700,2014/09/16
1600,2014/09/17
1800,2014/09/17
2550,2014/09/17
1450,2014/09/18
2150,2014/09/18
1600,2014/09/19
2600,2014/09/19
1250,2014/09/20
2100,2014/09/20
1350,2014/09/21
1500,2014/09/21
2100,2014/09/21
1750,2014/09/22
1500,2014/09/22
2100,2014/09/22
1550,2014/09/23
1900,2014/09/23
2150,2014/09/23
1600,2014/09/24
1750,2014/09/24
2000,2014/09/24
1600,2014/09/25
1500,2014/09/25
1950,2014/09/26
1300,2014/09/26
2100,2014/09/26
1350,2014/09/28
1300,2014/09/28
2350,2014/09/28
1350,2014/09/29
1250,2014/09/29
2100,2014/09/29
1300,2014/09/30
1600,2014/09/30
2100,2014/09/30
1300,2014/10/01
1100,2014/10/01
1900,2014/10/01
1200,2014/10/04
1050,2014/10/05
1250,2014/10/05
1000,2014/10/07
1300,2014/10/07
1300,2014/10/07
850,2014/10/08
950,2014/10/08
1250,2014/10/08
850,2014/10/09
950,2014/10/09
1450,2014/10/09
900,2014/10/10
850,2014/10/10
1500,2014/10/10
1000,2014/10/12
1000,2014/10/12
1550,2014/10/12
1200,2014/10/13
850,2014/10/13
1350,2014/10/13
1150,2014/10/14
1050,2014/10/14
1350,2014/10/14
1300,2014/10/16
1400,2014/10/16
2000,2014/10/16
1200,2014/10/17
1350,2014/10/17
1800,2014/10/17
1050,2014/10/19
1750,2014/10/19
1050,2014/10/20
1600,2014/10/20
1500,2014/10/20
950,2014/10/21
1300,2014/10/21
1500,2014/10/21
1750,2014/10/26
1750,2014/10/26
1750,2014/10/26
1150,2014/10/27
1500,2014/10/27
2100,2014/10/27
1300,2014/10/28
900,2014/10/28
1950,2014/10/28
1500,2014/10/29
1050,2014/10/29
1850,2014/10/29
1500,2014/10/30
900,2014/10/30
2250,2014/10/30
1750,2014/10/31
1200,2014/10/31
2000,2014/10/31
1700,2014/11/01
2500,2014/11/01
1750,2014/11/02
1600,2014/11/02
2250,2014/11/02
1600,2014/11/03
1600,2014/11/03
2450,2014/11/03
1600,2014/11/05
1200,2014/11/05
1800,2014/11/05
1400,2014/11/07
950,2014/11/07
1750,2014/11/07
1300,2014/11/09
1450,2014/11/09
1800,2014/11/09
1200,2014/11/10
1150,2014/11/10
1900,2014/11/10
1150,2014/11/11
1000,2014/11/11
1850,2014/11/11
1000,2014/11/12
1750,2014/11/12
900,2014/11/13
1000,2014/11/13
1750,2014/11/13
750,2014/11/14
950,2014/11/14
1900,2014/11/14
500,2014/11/17
500,2014/11/17
500,2014/11/19
500,2014/11/19
550,2014/11/20
400,2014/11/20
900,2014/11/20
550,2014/11/21
500,2014/11/21
900,2014/11/21
500,2014/11/23
700,2014/11/23
550,2014/11/24
600,2014/11/24
900,2014/11/24
500,2014/11/25
550,2014/11/25
900,2014/11/25
500,2014/11/26
450,2014/11/26
900,2014/11/26
500,2014/11/27
450,2014/11/27
850,2014/11/27
500,2014/11/28
600,2014/11/28
900,2014/11/28
650,2014/11/29
750,2014/11/29
500,2014/11/30
300,2014/11/30
600,2014/11/30
450,2014/12/01
550,2014/12/01
850,2014/12/01
450,2014/12/02
500,2014/12/02
700,2014/12/02
450,2014/12/04
450,2014/12/04
600,2014/12/04
350,2014/12/05
400,2014/12/05
550,2014/12/05
250,2014/12/06
500,2014/12/06
350,2014/12/07
350,2014/12/07
400,2014/12/08
250,2014/12/08
550,2014/12/08
450,2014/12/09
400,2014/12/09
600,2014/12/09
400,2014/12/10
850,2014/12/10
650,2014/12/10
400,2014/12/11
250,2014/12/11
600,2014/12/11
350,2014/12/12
300,2014/12/12
550,2014/12/12
550,2014/12/14
450,2014/12/14
600,2014/12/14
500,2014/12/15
600,2014/12/15
800,2014/12/15
600,2014/12/16
500,2014/12/16
900,2014/12/16
950,2014/12/17
800,2014/12/17
1000,2014/12/17
1350,2014/12/18
1000,2014/12/18
1100,2014/12/18
1250,2014/12/19
900,2014/12/19
1500,2014/12/19
1250,2014/12/20
1700,2014/12/20
1250,2014/12/21
1300,2014/12/21
2000,2014/12/21
1400,2014/12/22
1400,2014/12/22
2250,2014/12/22
1350,2014/12/23
1500,2014/12/23
2400,2014/12/23
1500,2014/12/24
1600,2014/12/24
2600,2014/12/24
1400,2014/12/26
1650,2014/12/26
2250,2014/12/26
1500,2014/12/28
1500,2014/12/28
1850,2014/12/28
1500,2014/12/29
1100,2014/12/29
1600,2014/12/29
1300,2014/12/30
750,2014/12/30
1950,2014/12/30
1500,2014/12/31
1350,2014/12/31
2050,2014/12/31
1300,2015/01/01
1000,2015/01/01
1900,2015/01/01
1300,2015/01/02
850,2015/01/02
1600,2015/01/02
1000,2015/01/03
1050,2015/01/05
1400,2015/01/05
1050,2015/01/06
1200,2015/01/06
1050,2015/01/07
900,2015/01/07
950,2015/01/08
450,2015/01/08
1000,2015/01/08
750,2015/01/09
850,2015/01/09
900,2015/01/09
900,2015/01/11
900,2015/01/11
900,2015/01/11
900,2015/01/11
600,2015/01/14
600,2015/01/14
650,2015/01/16
650,2015/01/16
850,2015/01/16
850,2015/01/16
850,2015/01/16
850,2015/01/16
600,2015/01/17
600,2015/01/17
750,2015/01/17
750,2015/01/17
650,2015/01/18
600,2015/01/18
600,2015/01/18
750,2015/01/18
750,2015/01/18
650,2015/01/19
550,2015/01/19
750,2015/01/19
550,2015/01/20
450,2015/01/20
550,2015/01/20
500,2015/01/21
400,2015/01/21
550,2015/01/21
500,2015/01/22
350,2015/01/22
550,2015/01/24
500,2015/01/25
550,2015/01/25
400,2015/01/27
400,2015/01/27
600,2015/01/27
400,2015/01/28
400,2015/01/28
450,2015/01/28
400,2015/01/29
400,2015/01/29
450,2015/01/29
500,2015/01/30
350,2015/01/30
500,2015/01/30
450,2015/01/31
500,2015/01/31
400,2015/02/01
400,2015/02/01
400,2015/02/02
400,2015/02/02
500,2015/02/02
400,2015/02/03
400,2015/02/03
750,2015/02/03
750,2015/02/04
700,2015/02/04
400,2015/02/05
450,2015/02/05
550,2015/02/05
400,2015/02/06
400,2015/02/06
550,2015/02/06
500,2015/02/07
400,2015/02/08
450,2015/02/09
450,2015/02/09
500,2015/02/10
600,2015/02/10
750,2015/02/10
550,2015/02/11
550,2015/02/11
650,2015/02/11
550,2015/02/12
550,2015/02/12
550,2015/02/12
500,2015/02/13
350,2015/02/13
600,2015/02/13
500,2015/02/15
500,2015/02/15
650,2015/02/15
500,2015/02/16
500,2015/02/16
850,2015/02/16
600,2015/02/18
450,2015/02/18
750,2015/02/18
600,2015/02/22
550,2015/02/24
500,2015/02/25
400,2015/02/25
500,2015/02/26
700,2015/02/28
500,2015/03/01
600,2015/03/02
500,2015/03/02
750,2015/03/02
550,2015/03/03
750,2015/03/03
800,2015/03/03
550,2015/03/04
600,2015/03/04
750,2015/03/04
550,2015/03/05
700,2015/03/05
700,2015/03/07
750,2015/03/07
550,2015/03/08
750,2015/03/08
750,2015/03/08
650,2015/03/09
1050,2015/03/09
1000,2015/03/09
650,2015/03/10
850,2015/03/10
700,2015/03/11
700,2015/03/11
550,2015/03/12
550,2015/03/12
450,2015/03/13
550,2015/03/13
550,2015/03/14
900,2015/03/14
500,2015/03/15
900,2015/03/15
650,2015/03/16
600,2015/03/16
650,2015/03/17
500,2015/03/17
800,2015/03/17
650,2015/03/18
550,2015/03/19
600,2015/03/19
900,2015/03/19
550,2015/03/20
400,2015/03/20
550,2015/03/22
550,2015/03/23
400,2015/03/23
750,2015/03/23
550,2015/03/24
400,2015/03/24
400,2015/03/25
900,2015/03/25
500,2015/03/26
350,2015/03/26
900,2015/03/26
550,2015/03/27
600,2015/03/27
550,2015/03/29
450,2015/03/29
550,2015/03/30
450,2015/03/30
550,2015/03/31
450,2015/03/31
750,2015/03/31
450,2015/04/01
400,2015/04/01
800,2015/04/01
550,2015/04/02
650,2015/04/02
500,2015/04/03
750,2015/04/03
600,2015/04/03
600,2015/04/04
1200,2015/04/04
850,2015/04/05
550,2015/04/05
850,2015/04/05
650,2015/04/06
650,2015/04/06
600,2015/04/06
800,2015/04/07
750,2015/04/07
900,2015/04/07
450,2015/04/08
700,2015/04/09
1200,2015/04/09
700,2015/04/10
500,2015/04/10
1000,2015/04/10
750,2015/04/12
550,2015/04/12
1250,2015/04/12
1200,2015/04/14
550,2015/04/15
650,2015/04/15
1300,2015/04/15
650,2015/04/16
450,2015/04/16
1250,2015/04/16
650,2015/04/17
450,2015/04/17
750,2015/04/17
450,2015/04/18
700,2015/04/19
750,2015/04/19
800,2015/04/23
750,2015/04/23
1250,2015/04/23
850,2015/04/24
700,2015/04/24
900,2015/04/24
850,2015/04/26
750,2015/04/26
800,2015/04/27
1050,2015/04/27
1500,2015/04/27
900,2015/04/28
1300,2015/04/28
1000,2015/04/29
650,2015/04/29
1100,2015/05/03
1150,2015/05/05
550,2015/05/05
1800,2015/05/05
1050,2015/05/06
950,2015/05/06
1100,2015/05/06
1000,2015/05/08
650,2015/05/08
1000,2015/05/08
1050,2015/05/10
700,2015/05/10
1100,2015/05/10
900,2015/05/11
900,2015/05/13
550,2015/05/13
950,2015/05/13
950,2015/05/14
650,2015/05/14
1050,2015/05/14
900,2015/05/15
500,2015/05/15
1000,2015/05/15
500,2015/05/16
800,2015/05/16
900,2015/05/17
450,2015/05/17
750,2015/05/17
750,2015/05/18
450,2015/05/18
700,2015/05/18
550,2015/05/19
400,2015/05/19
700,2015/05/19
650,2015/05/20
500,2015/05/20
600,2015/05/21
