Modal Price garlic,Price Date
3000,2014/02/14
3250,2014/02/17
3000,2014/02/18
3250,2014/02/20
3500,2014/02/21
3500,2014/02/24
3500,2014/02/25
3500,2014/02/26
3500,2014/02/28
3500,2014/03/03
3500,2014/03/04
3000,2014/03/05
3250,2014/03/06
3250,2014/03/07
3000,2014/03/09
3250,2014/03/10
3250,2014/03/11
3250,2014/03/12
2750,2014/03/13
2750,2014/03/14
2500,2014/03/16
2550,2014/03/18
2500,2014/03/19
2500,2014/03/20
2500,2014/03/21
3000,2014/03/23
3000,2014/03/24
3000,2014/03/25
3000,2014/03/26
3000,2014/03/27
3000,2014/03/28
3000,2014/04/01
3000,2014/04/02
3000,2014/04/03
2750,2014/04/04
2750,2014/04/07
3000,2014/04/09
1950,2014/04/20
3000,2014/04/21
3000,2014/04/22
3250,2014/04/23
3000,2014/04/24
3000,2014/04/25
3000,2014/04/27
3000,2014/04/28
3000,2014/04/29
3000,2014/04/30
3000,2014/05/02
3250,2014/05/04
3250,2014/05/05
3250,2014/05/06
3500,2014/05/07
3500,2014/05/08
3000,2014/05/09
3500,2014/05/12
3500,2014/05/13
3500,2014/05/14
3500,2014/05/15
3500,2014/05/16
3050,2014/05/28
3650,2014/06/10
6000,2014/06/11
3600,2014/06/12
3750,2014/06/15
3750,2014/06/16
2750,2014/06/17
3750,2014/06/22
3750,2014/06/23
3750,2014/06/24
3750,2014/06/25
3750,2014/06/26
3750,2014/06/27
3900,2014/06/29
3750,2014/06/30
3750,2014/07/01
3750,2014/07/02
3750,2014/07/03
3750,2014/07/04
3800,2014/07/06
4000,2014/07/07
3900,2014/07/08
3880,2014/07/09
3850,2014/07/10
3880,2014/07/11
3850,2014/07/13
4150,2014/07/14
4000,2014/07/15
4000,2014/07/17
4000,2014/07/18
4000,2014/07/21
4000,2014/07/22
4500,2014/07/23
4250,2014/07/24
4250,2014/07/25
4250,2014/07/27
4250,2014/07/28
3000,2014/07/28
4250,2014/07/29
4250,2014/07/30
4250,2014/07/31
4250,2014/08/01
4250,2014/08/03
4250,2014/08/04
4500,2014/08/05
4500,2014/08/06
4500,2014/08/07
4500,2014/08/08
4500,2014/08/10
4500,2014/08/11
4750,2014/08/12
4750,2014/08/13
4750,2014/08/14
4500,2014/08/17
4500,2014/08/18
4500,2014/08/19
4500,2014/08/20
4500,2014/08/21
4500,2014/08/22
4770,2014/08/24
4500,2014/08/25
4500,2014/08/26
4500,2014/08/27
4500,2014/08/28
4500,2014/08/29
4300,2014/08/31
4750,2014/09/01
4500,2014/09/02
4500,2014/09/03
4750,2014/09/04
4500,2014/09/05
4750,2014/09/07
3750,2014/09/08
4750,2014/09/10
4750,2014/09/12
4250,2014/09/14
4750,2014/09/15
4750,2014/09/16
4750,2014/09/17
4500,2014/09/18
4750,2014/09/19
4750,2014/09/21
4750,2014/09/22
4750,2014/09/23
4750,2014/09/24
4750,2014/09/25
4750,2014/09/26
4750,2014/09/28
4750,2014/09/29
4500,2014/09/30
4500,2014/10/01
4250,2014/10/05
4250,2014/10/07
4250,2014/10/08
4250,2014/10/09
4250,2014/10/10
4250,2014/10/12
4250,2014/10/13
4250,2014/10/14
4250,2014/10/16
4250,2014/10/17
4000,2014/10/19
4000,2014/10/20
4000,2014/10/21
4250,2014/10/26
4250,2014/10/27
4000,2014/10/28
4250,2014/10/29
4250,2014/10/30
4500,2014/10/31
4500,2014/11/02
4250,2014/11/03
4250,2014/11/05
4000,2014/11/07
4250,2014/11/09
4250,2014/11/10
4000,2014/11/11
4500,2014/11/12
4500,2014/11/13
4500,2014/11/14
4500,2014/11/17
4250,2014/11/19
4250,2014/11/20
4500,2014/11/21
4250,2014/11/23
4250,2014/11/24
4250,2014/11/25
4250,2014/11/26
4500,2014/11/27
4250,2014/11/28
4250,2014/11/30
4000,2014/12/01
4250,2014/12/02
4000,2014/12/04
4000,2014/12/05
4000,2014/12/07
4000,2014/12/08
4000,2014/12/09
4000,2014/12/10
4000,2014/12/11
3450,2014/12/12
4000,2014/12/14
4000,2014/12/15
4000,2014/12/16
4000,2014/12/17
4000,2014/12/18
4000,2014/12/19
4000,2014/12/21
4000,2014/12/22
4000,2014/12/23
4000,2014/12/24
4000,2014/12/26
4000,2014/12/28
4000,2014/12/29
4250,2014/12/30
4250,2014/12/31
4250,2015/01/01
4250,2015/01/02
4750,2015/01/05
4250,2015/01/06
5000,2015/01/07
5000,2015/01/08
5000,2015/01/09
4500,2015/01/11
4500,2015/01/11
4500,2015/01/14
4500,2015/01/14
4500,2015/01/16
4500,2015/01/16
4500,2015/01/18
4500,2015/01/18
5250,2015/01/19
5250,2015/01/20
5250,2015/01/21
5250,2015/01/22
6000,2015/01/25
6120,2015/01/27
5500,2015/01/28
5500,2015/01/29
5500,2015/01/30
5500,2015/02/01
5500,2015/02/02
5500,2015/02/03
5500,2015/02/04
5500,2015/02/05
5500,2015/02/06
5250,2015/02/08
5250,2015/02/09
5250,2015/02/10
5250,2015/02/11
5250,2015/02/12
5250,2015/02/13
5500,2015/02/15
5500,2015/02/16
4050,2015/02/18
5250,2015/02/24
5750,2015/02/25
5250,2015/02/26
5000,2015/03/01
5250,2015/03/02
5250,2015/03/03
4500,2015/03/04
3250,2015/03/05
4000,2015/03/08
3750,2015/03/09
3750,2015/03/10
3500,2015/03/11
3750,2015/03/12
3750,2015/03/13
3500,2015/03/17
3370,2015/03/18
3250,2015/03/19
3250,2015/03/20
3000,2015/03/22
2750,2015/03/23
2750,2015/03/24
2750,2015/03/25
2750,2015/03/26
2750,2015/03/27
2500,2015/03/29
3000,2015/03/30
3050,2015/03/31
3250,2015/04/01
3250,2015/04/02
3250,2015/04/03
3250,2015/04/05
3250,2015/04/06
3250,2015/04/07
3250,2015/04/09
3250,2015/04/10
3250,2015/04/12
3250,2015/04/15
3250,2015/04/16
3250,2015/04/19
3500,2015/04/23
3500,2015/04/24
3500,2015/04/26
3500,2015/04/27
3750,2015/04/28
3500,2015/04/29
3750,2015/05/03
4000,2015/05/05
4000,2015/05/06
4250,2015/05/08
4000,2015/05/10
3750,2015/05/13
3750,2015/05/14
4000,2015/05/15
4000,2015/05/17
5500,2015/05/18
4000,2015/05/19
4000,2015/05/20
4250,2015/05/21
4250,2015/05/22
5250,2015/05/24
5000,2015/05/25
5500,2015/05/26
5000,2015/05/27
5500,2015/05/28
5500,2015/05/29
5250,2015/05/31
5250,2015/06/01
5250,2015/06/02
5250,2015/06/03
5250,2015/06/04
5250,2015/06/05
5500,2015/06/07
5252,2015/06/08
5250,2015/06/09
5250,2015/06/10
5250,2015/06/11
5250,2015/06/12
5500,2015/06/14
5000,2015/06/15
5500,2015/06/16
5500,2015/06/17
6000,2015/06/18
5500,2015/06/19
7500,2015/06/21
6000,2015/06/25
5500,2015/06/26
6500,2015/06/29
7000,2015/06/30
7000,2015/07/01
6000,2015/07/02
6500,2015/07/03
7000,2015/07/05
7000,2015/07/06
6000,2015/07/07
6500,2015/07/08
7500,2015/07/09
6500,2015/07/10
7300,2015/07/12
7500,2015/07/13
6600,2015/07/14
7000,2015/07/15
6500,2015/07/16
7500,2015/07/17
6600,2015/07/19
6000,2015/07/20
6500,2015/07/21
7500,2015/07/22
7500,2015/07/23
6900,2015/07/26
7800,2015/07/27
7000,2015/07/28
8000,2015/07/29
7500,2015/07/30
7100,2015/07/31
7000,2015/08/03
6000,2015/08/03
6800,2015/08/04
7000,2015/08/05
7000,2015/08/06
7500,2015/08/07
6500,2015/08/09
7000,2015/08/10
6000,2015/08/10
7900,2015/08/11
7500,2015/08/12
7800,2015/08/13
7400,2015/08/14
7500,2015/08/16
7800,2015/08/19
7800,2015/08/20
6000,2015/08/20
7500,2015/08/21
7900,2015/08/23
8200,2015/08/24
7900,2015/08/25
7900,2015/08/26
7500,2015/08/27
7900,2015/08/28
7000,2015/08/30
7000,2015/08/31
8000,2015/09/01
7500,2015/09/02
7800,2015/09/03
7600,2015/09/04
8000,2015/09/06
7800,2015/09/07
7500,2015/09/08
8000,2015/09/10
8200,2015/09/11
7600,2015/09/14
7600,2015/09/15
7900,2015/09/16
8200,2015/09/18
8100,2015/09/20
8300,2015/09/21
8100,2015/09/22
8300,2015/09/23
8200,2015/09/24
8200,2015/09/25
8200,2015/09/27
4000,2015/09/29
8200,2015/09/30
8200,2015/10/01
7800,2015/10/02
8200,2015/10/04
8000,2015/10/05
8200,2015/10/06
8300,2015/10/07
8000,2015/10/08
8000,2015/10/09
8100,2015/10/11
8300,2015/10/12
8200,2015/10/13
8200,2015/10/14
8000,2015/10/15
8200,2015/10/16
7900,2015/10/18
7800,2015/10/19
7300,2015/10/20
7600,2015/10/21
8200,2015/10/27
8600,2015/10/28
8500,2015/10/30
8000,2015/11/01
9200,2015/11/02
9300,2015/11/03
9100,2015/11/04
9200,2015/11/05
9300,2015/11/06
9300,2015/11/08
8700,2015/11/15
9000,2015/11/17
8500,2015/11/18
9000,2015/11/19
9500,2015/11/20
9000,2015/11/22
9500,2015/11/23
10000,2015/11/25
15000,2015/11/26
15000,2015/11/27
13000,2015/11/29
14000,2015/12/01
14000,2015/12/02
13000,2015/12/03
14000,2015/12/04
13000,2015/12/07
13000,2015/12/08
14000,2015/12/09
12000,2015/12/10
13000,2015/12/11
14000,2015/12/13
14000,2015/12/14
13000,2015/12/15
14000,2015/12/16
12000,2015/12/17
12000,2015/12/18
13500,2015/12/21
12000,2015/12/22
13000,2015/12/23
12000,2015/12/27
12000,2015/12/29
12000,2015/12/30
13000,2015/12/31
13000,2016/01/01
12000,2016/01/03
12000,2016/01/04
13000,2016/01/05
12000,2016/01/06
12000,2016/01/07
12000,2016/01/08
12000,2016/01/10
11000,2016/01/11
11000,2016/01/12
10000,2016/01/13
11000,2016/01/14
10000,2016/01/15
10000,2016/01/18
12000,2016/01/19
9000,2016/01/20
9000,2016/01/21
10000,2016/01/24
10000,2016/01/25
10000,2016/01/27
10000,2016/01/28
11000,2016/01/29
6000,2016/01/29
10000,2016/01/31
10000,2016/02/01
10000,2016/02/02
8000,2016/02/03
8000,2016/02/04
9000,2016/02/05
8000,2016/02/07
8000,2016/02/08
6000,2016/02/08
9000,2016/02/09
8000,2016/02/10
6000,2016/02/10
8000,2016/02/14
6500,2016/02/15
6000,2016/02/16
6500,2016/02/17
6500,2016/02/18
6000,2016/02/18
6000,2016/02/19
6000,2016/02/21
6500,2016/02/22
6000,2016/02/23
6000,2016/02/24
6000,2016/02/25
6000,2016/02/25
6000,2016/02/26
5000,2016/02/28
6000,2016/02/28
5200,2016/02/29
6000,2016/02/29
5500,2016/03/01
5000,2016/03/02
5000,2016/03/04
5000,2016/03/06
5000,2016/03/08
4500,2016/03/09
6000,2016/03/09
5000,2016/03/10
5000,2016/03/11
5000,2016/03/13
5000,2016/03/14
5000,2016/03/15
5200,2016/03/16
4500,2016/03/17
5000,2016/03/18
5000,2016/03/20
5000,2016/03/21
5000,2016/03/22
5500,2016/03/23
6200,2016/03/27
6200,2016/03/28
6000,2016/03/29
6000,2016/03/30
6000,2016/03/30
6000,2016/03/31
6000,2016/03/31
6000,2016/04/01
6000,2016/04/04
6500,2016/04/05
6500,2016/04/06
6500,2016/04/07
6500,2016/04/10
6500,2016/04/11
6000,2016/04/11
6500,2016/04/12
6500,2016/04/13
6500,2016/04/17
6600,2016/04/18
6500,2016/04/20
6500,2016/04/21
6500,2016/04/22
6000,2016/04/22
6500,2016/04/24
7000,2016/04/25
7000,2016/04/26
7000,2016/04/27
7100,2016/04/28
6000,2016/04/28
7100,2016/04/29
6000,2016/04/29
7200,2016/05/05
7500,2016/05/06
6000,2016/05/06
7500,2016/05/08
8200,2016/05/09
8200,2016/05/10
8200,2016/05/11
8300,2016/05/12
8300,2016/05/13
8500,2016/05/15
8500,2016/05/16
6000,2016/05/16
8500,2016/05/17
8700,2016/05/18
6000,2016/05/18
8500,2016/05/19
8000,2016/05/20
9200,2016/05/22
9200,2016/05/23
9200,2016/05/24
9200,2016/05/25
10000,2016/05/26
10000,2016/05/27
10000,2016/05/30
10000,2016/05/31
8000,2016/06/01
8500,2016/06/02
8500,2016/06/03
10000,2016/06/05
10000,2016/06/06
6000,2016/06/06
8500,2016/06/07
10000,2016/06/09
9000,2016/06/10
10000,2016/06/12
10000,2016/06/13
10000,2016/06/14
10000,2016/06/15
10000,2016/06/16
9500,2016/06/17
8500,2016/06/19
10000,2016/06/20
10000,2016/06/21
9500,2016/06/22
9000,2016/06/23
9500,2016/06/24
10000,2016/06/26
6000,2016/06/26
10000,2016/06/27
6000,2016/06/27
10000,2016/06/28
10000,2016/06/29
6000,2016/06/29
10000,2016/06/30
6000,2016/06/30
10000,2016/07/01
10000,2016/07/03
8500,2016/07/05
9500,2016/07/06
9000,2016/07/07
6000,2016/07/07
8500,2016/07/08
10000,2016/07/10
6000,2016/07/11
9000,2016/07/14
6000,2016/07/14
10000,2016/07/15
8500,2016/07/17
10000,2016/07/18
11000,2016/07/19
11000,2016/07/20
10000,2016/07/21
11000,2016/07/22
6000,2016/07/22
10000,2016/07/24
11000,2016/07/25
10000,2016/07/26
12000,2016/07/27
11000,2016/07/28
11000,2016/07/29
11000,2016/07/31
11000,2016/08/01
11000,2016/08/02
11000,2016/08/03
11000,2016/08/04
12000,2016/08/05
11000,2016/08/07
12000,2016/08/08
11000,2016/08/09
11000,2016/08/10
11000,2016/08/11
12000,2016/08/12
11000,2016/08/14
11000,2016/08/16
11000,2016/08/17
12000,2016/08/18
12000,2016/08/19
12000,2016/08/21
11000,2016/08/22
12000,2016/08/23
11000,2016/08/24
11000,2016/08/25
12500,2016/08/26
12000,2016/08/28
11000,2016/08/29
12000,2016/08/30
11000,2016/08/31
11000,2016/09/01
12000,2016/09/02
11000,2016/09/04
11000,2016/09/05
11000,2016/09/06
11000,2016/09/07
11000,2016/09/08
11000,2016/09/11
11000,2016/09/12
11000,2016/09/13
11000,2016/09/14
11000,2016/09/15
11000,2016/09/18
11000,2016/09/19
11000,2016/09/20
10000,2016/09/22
11000,2016/09/23
11000,2016/09/26
11000,2016/09/27
11000,2016/09/28
10000,2016/09/29
11000,2016/09/30
10000,2016/10/02
11000,2016/10/03
11000,2016/10/04
10000,2016/10/05
10000,2016/10/06
10000,2016/10/07
10000,2016/10/09
10000,2016/10/10
10000,2016/10/11
10000,2016/10/13
10000,2016/10/14
11000,2016/10/16
11000,2016/10/17
10000,2016/10/18
10000,2016/10/19
11000,2016/10/20
10000,2016/10/21
11000,2016/10/23
10000,2016/10/24
10000,2016/10/25
10000,2016/10/26
10000,2016/10/27
10000,2016/10/28
11000,2016/10/30
10000,2016/10/31
11000,2016/11/02
11000,2016/11/03
10000,2016/11/04
10000,2016/11/06
10000,2016/11/07
11000,2016/11/08
10000,2016/11/09
11000,2016/11/10
11000,2016/11/11
10000,2016/11/13
10000,2016/11/14
10000,2016/11/15
10000,2016/11/16
10000,2016/11/17
11000,2016/11/18
11000,2016/11/20
10000,2016/11/21
11000,2016/11/22
10500,2016/11/23
11000,2016/11/24
10000,2016/11/25
10000,2016/11/27
10000,2016/11/28
10000,2016/11/29
10000,2016/11/30
10000,2016/12/01
8500,2016/12/02
10000,2016/12/04
10000,2016/12/05
10000,2016/12/06
10000,2016/12/07
10000,2016/12/08
10000,2016/12/09
8000,2016/12/11
8000,2016/12/12
8500,2016/12/13
9500,2016/12/14
9000,2016/12/15
9000,2016/12/16
10000,2016/12/18
11000,2016/12/19
11000,2016/12/20
11000,2016/12/21
10000,2016/12/22
10000,2016/12/23
10000,2016/12/25
10000,2016/12/26
10000,2016/12/27
10000,2016/12/28
10000,2016/12/29
10000,2016/12/30
12000,2017/01/01
11000,2017/01/02
11500,2017/01/03
12000,2017/01/04
11000,2017/01/05
11500,2017/01/06
11000,2017/01/08
11500,2017/01/09
11000,2017/01/10
11000,2017/01/11
12000,2017/01/12
11000,2017/01/13
11500,2017/01/15
12000,2017/01/16
11500,2017/01/17
11500,2017/01/18
11500,2017/01/19
11000,2017/01/24
11000,2017/01/25
11500,2017/01/27
11000,2017/01/29
11000,2017/01/30
12000,2017/01/31
11000,2017/02/01
10000,2017/02/02
11000,2017/02/03
10000,2017/02/05
10000,2017/02/06
9500,2017/02/07
8000,2017/02/08
9500,2017/02/09
9500,2017/02/10
10000,2017/02/12
10000,2017/02/13
10000,2017/02/14
10000,2017/02/15
10000,2017/02/16
9000,2017/02/17
5500,2017/02/23
5500,2017/02/24
5800,2017/02/27
5500,2017/02/28
5500,2017/03/01
5500,2017/03/02
5600,2017/03/03
5000,2017/03/05
5000,2017/03/06
5300,2017/03/07
5000,2017/03/08
4700,2017/03/09
4500,2017/03/10
4800,2017/03/12
4800,2017/03/14
3000,2017/03/15
4600,2017/03/16
4700,2017/03/17
4500,2017/03/19
5000,2017/03/20
5200,2017/03/21
5000,2017/03/22
5000,2017/03/23
4500,2017/03/24
4700,2017/03/26
4600,2017/03/27
4700,2017/03/28
4600,2017/03/29
4700,2017/03/30
4600,2017/03/31
4500,2017/04/02
4500,2017/04/03
4700,2017/04/04
4800,2017/04/05
4600,2017/04/06
4800,2017/04/07
4500,2017/04/09
