Modal Price carrot,Date
500,2007/04/14
600,2007/04/15
600,2007/04/16
500,2007/04/16
600,2007/04/17
400,2007/04/17
600,2007/04/18
600,2007/04/19
600,2007/04/20
400,2007/04/20
750,2007/04/23
650,2007/04/24
400,2007/04/24
600,2007/04/25
700,2007/04/26
650,2007/04/27
300,2007/04/27
650,2007/04/29
600,2007/04/29
600,2007/04/30
500,2007/04/30
650,2007/05/02
500,2007/05/02
650,2007/05/03
800,2007/05/03
700,2007/05/04
400,2007/05/04
700,2007/05/06
700,2007/05/07
600,2007/05/07
500,2007/05/07
800,2007/05/08
900,2007/05/08
650,2007/05/09
300,2007/05/09
400,2007/05/10
650,2007/05/11
500,2007/05/11
600,2007/05/13
650,2007/05/14
400,2007/05/14
800,2007/05/17
400,2007/05/17
1000,2007/05/18
1000,2007/05/20
500,2007/05/20
650,2007/05/21
600,2007/05/22
650,2007/05/23
750,2007/05/24
775,2007/05/25
850,2007/05/28
700,2007/05/29
500,2007/05/29
400,2007/05/31
1050,2007/06/03
500,2007/06/03
600,2007/06/04
650,2007/06/05
700,2007/06/07
500,2007/06/07
650,2007/06/08
650,2007/06/10
600,2007/06/11
600,2007/06/12
700,2007/06/13
600,2007/06/13
700,2007/06/17
800,2007/06/18
750,2007/06/19
750,2007/06/20
500,2007/06/20
650,2007/06/21
800,2007/06/24
750,2007/06/25
300,2007/06/25
700,2007/06/26
500,2007/06/26
750,2007/06/29
800,2007/07/01
750,2007/07/02
800,2007/07/04
800,2007/07/05
800,2007/07/06
350,2007/07/06
700,2007/07/08
800,2007/07/09
800,2007/07/10
800,2007/07/11
800,2007/07/12
850,2007/07/13
400,2007/07/13
850,2007/07/15
400,2007/07/15
1000,2007/07/16
800,2007/07/17
850,2007/07/18
750,2007/07/20
750,2007/07/22
500,2007/07/22
700,2007/07/23
800,2007/07/24
300,2007/07/24
600,2007/07/25
800,2007/07/26
300,2007/07/26
800,2007/07/27
900,2007/07/29
750,2007/07/30
800,2007/07/31
750,2007/08/01
900,2007/08/02
700,2007/08/03
700,2007/08/05
300,2007/08/05
800,2007/08/06
700,2007/08/07
600,2007/08/08
700,2007/08/09
700,2007/08/09
600,2007/08/13
650,2007/08/14
400,2007/08/14
650,2007/08/16
600,2007/08/17
450,2007/08/17
600,2007/08/19
500,2007/08/19
600,2007/08/20
300,2007/08/20
600,2007/08/21
400,2007/08/23
800,2007/08/24
500,2007/08/24
1000,2007/08/25
800,2007/08/26
650,2007/08/27
1100,2007/08/27
950,2007/08/28
350,2007/08/28
700,2007/08/29
700,2007/08/30
700,2007/08/31
550,2007/08/31
500,2007/09/01
600,2007/09/02
700,2007/09/02
700,2007/09/03
500,2007/09/04
800,2007/09/06
500,2007/09/06
700,2007/09/07
800,2007/09/07
700,2007/09/08
700,2007/09/09
500,2007/09/10
700,2007/09/11
300,2007/09/11
650,2007/09/12
500,2007/09/12
700,2007/09/13
400,2007/09/13
600,2007/09/13
700,2007/09/14
450,2007/09/14
800,2007/09/16
500,2007/09/16
750,2007/09/16
800,2007/09/17
550,2007/09/17
700,2007/09/18
600,2007/09/18
800,2007/09/19
700,2007/09/21
400,2007/09/21
700,2007/09/23
550,2007/09/24
600,2007/09/25
600,2007/09/27
450,2007/09/27
500,2007/09/28
500,2007/09/29
600,2007/09/30
500,2007/09/30
600,2007/10/01
500,2007/10/01
450,2007/10/02
550,2007/10/03
550,2007/10/03
450,2007/10/04
500,2007/10/05
400,2007/10/05
800,2007/10/06
500,2007/10/07
400,2007/10/07
550,2007/10/08
500,2007/10/09
500,2007/10/09
550,2007/10/11
550,2007/10/12
600,2007/10/12
400,2007/10/13
550,2007/10/14
750,2007/10/14
550,2007/10/15
500,2007/10/15
500,2007/10/16
650,2007/10/17
500,2007/10/19
500,2007/10/21
500,2007/10/22
600,2007/10/22
500,2007/10/23
400,2007/10/23
400,2007/10/24
650,2007/10/24
550,2007/10/25
250,2007/10/25
450,2007/10/26
500,2007/10/26
450,2007/10/28
700,2007/10/28
500,2007/10/28
600,2007/10/28
550,2007/10/29
500,2007/10/30
500,2007/10/31
400,2007/10/31
500,2007/10/31
450,2007/11/01
450,2007/11/02
450,2007/11/04
600,2007/11/04
500,2007/11/04
550,2007/11/05
450,2007/11/06
450,2007/11/07
500,2007/11/08
450,2007/11/12
550,2007/11/13
300,2007/11/13
800,2007/11/14
450,2007/11/14
900,2007/11/15
1100,2007/11/16
500,2007/11/17
1100,2007/11/18
800,2007/11/18
1050,2007/11/19
400,2007/11/19
750,2007/11/20
800,2007/11/21
850,2007/11/22
800,2007/11/23
750,2007/11/23
800,2007/11/25
1050,2007/11/28
800,2007/11/28
1100,2007/11/29
900,2007/11/30
800,2007/12/03
700,2007/12/04
650,2007/12/08
600,2007/12/09
750,2007/12/10
600,2007/12/10
400,2007/12/10
750,2007/12/11
1000,2007/12/11
750,2007/12/12
1000,2007/12/12
600,2007/12/13
750,2007/12/14
500,2007/12/14
750,2007/12/16
1000,2007/12/16
750,2007/12/17
850,2007/12/18
1000,2007/12/18
550,2007/12/19
800,2007/12/19
600,2007/12/20
400,2007/12/20
650,2007/12/21
400,2007/12/21
600,2007/12/21
600,2007/12/22
700,2007/12/23
350,2007/12/23
400,2007/12/23
900,2007/12/24
400,2007/12/26
600,2007/12/27
400,2007/12/27
200,2007/12/28
550,2008/01/01
275,2008/01/02
600,2008/01/02
400,2008/01/03
600,2008/01/06
650,2008/01/06
600,2008/01/07
600,2008/01/07
400,2008/01/08
500,2008/01/08
625,2008/01/09
500,2008/01/09
700,2008/01/09
800,2008/01/10
450,2008/01/10
500,2008/01/11
700,2008/01/11
1000,2008/01/11
750,2008/01/11
850,2008/01/12
800,2008/01/12
600,2008/01/13
850,2008/01/13
550,2008/01/13
750,2008/01/13
800,2008/01/14
500,2008/01/14
800,2008/01/15
700,2008/01/15
1000,2008/01/15
550,2008/01/17
500,2008/01/17
600,2008/01/18
600,2008/01/18
400,2008/01/19
600,2008/01/20
700,2008/01/20
600,2008/01/21
350,2008/01/21
650,2008/01/22
500,2008/01/22
600,2008/01/22
650,2008/01/23
800,2008/01/23
600,2008/01/24
550,2008/01/24
500,2008/01/24
600,2008/01/25
600,2008/01/27
800,2008/01/28
500,2008/01/30
450,2008/01/30
600,2008/01/31
600,2008/01/31
550,2008/02/01
700,2008/02/01
800,2008/02/02
900,2008/02/02
600,2008/02/03
650,2008/02/04
700,2008/02/04
600,2008/02/04
600,2008/02/05
600,2008/02/05
500,2008/02/05
650,2008/02/06
700,2008/02/06
500,2008/02/06
600,2008/02/07
700,2008/02/07
550,2008/02/07
600,2008/02/07
700,2008/02/08
550,2008/02/10
700,2008/02/11
650,2008/02/11
450,2008/02/11
550,2008/02/12
800,2008/02/12
600,2008/02/13
500,2008/02/13
250,2008/02/13
600,2008/02/14
550,2008/02/14
700,2008/02/15
600,2008/02/15
400,2008/02/15
700,2008/02/16
650,2008/02/17
650,2008/02/17
500,2008/02/17
600,2008/02/18
850,2008/02/18
450,2008/02/19
700,2008/02/19
550,2008/02/20
650,2008/02/20
650,2008/02/20
650,2008/02/21
650,2008/02/21
500,2008/02/21
600,2008/02/22
550,2008/02/22
700,2008/02/22
650,2008/02/23
600,2008/02/24
650,2008/02/24
550,2008/02/24
650,2008/02/25
600,2008/02/26
700,2008/02/26
600,2008/02/27
500,2008/02/27
475,2008/02/27
600,2008/02/28
750,2008/02/28
700,2008/02/28
500,2008/02/28
600,2008/02/29
250,2008/02/29
725,2008/03/01
600,2008/03/03
750,2008/03/03
700,2008/03/04
750,2008/03/04
300,2008/03/04
1000,2008/03/05
700,2008/03/06
450,2008/03/07
900,2008/03/07
500,2008/03/07
600,2008/03/08
400,2008/03/08
500,2008/03/09
600,2008/03/09
500,2008/03/10
600,2008/03/10
500,2008/03/10
600,2008/03/11
600,2008/03/11
450,2008/03/12
500,2008/03/12
500,2008/03/13
500,2008/03/13
500,2008/03/14
500,2008/03/14
700,2008/03/14
450,2008/03/15
500,2008/03/15
450,2008/03/16
450,2008/03/17
450,2008/03/17
450,2008/03/18
500,2008/03/18
600,2008/03/19
400,2008/03/19
500,2008/03/19
600,2008/03/20
450,2008/03/20
700,2008/03/20
550,2008/03/21
450,2008/03/21
500,2008/03/21
400,2008/03/22
600,2008/03/23
450,2008/03/23
600,2008/03/23
500,2008/03/24
450,2008/03/24
500,2008/03/25
450,2008/03/25
500,2008/03/26
450,2008/03/26
500,2008/03/27
400,2008/03/27
350,2008/03/27
450,2008/03/28
400,2008/03/28
500,2008/03/28
500,2008/03/30
450,2008/03/30
450,2008/03/31
300,2008/03/31
500,2008/04/01
600,2008/04/01
450,2008/04/02
500,2008/04/02
450,2008/04/03
400,2008/04/03
450,2008/04/04
500,2008/04/13
600,2008/04/14
550,2008/04/15
400,2008/04/15
600,2008/04/16
700,2008/04/17
550,2008/04/18
400,2008/04/20
550,2008/04/21
400,2008/04/21
550,2008/04/22
600,2008/04/23
700,2008/04/23
500,2008/04/26
550,2008/04/27
500,2008/04/27
500,2008/04/28
500,2008/04/28
450,2008/04/29
600,2008/04/29
500,2008/04/30
500,2008/04/30
450,2008/05/02
500,2008/05/03
400,2008/05/04
600,2008/05/06
500,2008/05/07
500,2008/05/08
400,2008/05/08
500,2008/05/09
500,2008/05/09
500,2008/05/11
400,2008/05/11
500,2008/05/12
500,2008/05/13
300,2008/05/13
600,2008/05/13
600,2008/05/13
500,2008/05/14
500,2008/05/15
450,2008/05/16
600,2008/05/16
500,2008/05/18
500,2008/05/19
500,2008/05/20
1000,2008/05/20
500,2008/05/23
550,2008/05/25
500,2008/05/26
500,2008/05/27
700,2008/05/27
600,2008/05/28
700,2008/05/29
650,2008/05/30
500,2008/05/31
700,2008/06/02
600,2008/06/02
650,2008/06/03
700,2008/06/04
650,2008/06/05
650,2008/06/06
650,2008/06/08
1000,2008/06/08
650,2008/06/09
750,2008/06/10
750,2008/06/12
700,2008/06/12
400,2008/06/13
800,2008/06/16
800,2008/06/16
800,2008/06/17
500,2008/06/17
600,2008/06/19
1150,2008/06/20
750,2008/06/20
950,2008/06/25
500,2008/06/25
900,2008/06/27
700,2008/06/27
900,2008/06/29
500,2008/06/30
950,2008/07/01
950,2008/07/02
900,2008/07/03
600,2008/07/03
500,2008/07/06
500,2008/07/06
700,2008/07/07
1350,2008/07/07
1000,2008/07/08
600,2008/07/08
900,2008/07/09
1050,2008/07/10
1050,2008/07/11
850,2008/07/13
1050,2008/07/14
500,2008/07/15
1050,2008/07/21
1050,2008/07/22
900,2008/07/25
400,2008/07/26
1050,2008/07/27
500,2008/07/27
1050,2008/07/28
1100,2008/07/29
700,2008/07/29
700,2008/07/30
600,2008/07/30
800,2008/07/31
800,2008/08/04
400,2008/08/04
900,2008/08/08
800,2008/08/10
600,2008/08/10
900,2008/08/11
900,2008/08/12
900,2008/08/13
900,2008/08/13
800,2008/08/14
600,2008/08/14
500,2008/08/16
850,2008/08/20
400,2008/08/20
800,2008/08/21
600,2008/08/21
700,2008/08/24
600,2008/08/25
900,2008/08/26
700,2008/08/27
1250,2008/08/28
900,2008/09/04
500,2008/09/04
400,2008/09/05
700,2008/09/06
900,2008/09/07
700,2008/09/07
900,2008/09/08
500,2008/09/08
1000,2008/09/09
650,2008/09/09
900,2008/09/10
800,2008/09/11
400,2008/09/13
950,2008/09/16
950,2008/09/17
600,2008/09/17
1200,2008/09/18
600,2008/09/18
1100,2008/09/19
800,2008/09/20
1200,2008/09/21
700,2008/09/21
1300,2008/09/23
1680,2008/09/23
700,2008/09/24
1800,2008/09/25
1200,2008/09/26
1300,2008/09/26
1300,2008/09/28
700,2008/09/28
1400,2008/09/29
1250,2008/09/29
1400,2008/09/30
900,2008/10/01
500,2008/10/01
600,2008/10/02
1150,2008/10/03
1000,2008/10/03
1350,2008/10/04
1250,2008/10/05
1200,2008/10/06
800,2008/10/06
1300,2008/10/07
1000,2008/10/08
1600,2008/10/09
1300,2008/10/10
1600,2008/10/12
550,2008/10/12
1650,2008/10/13
500,2008/10/14
1400,2008/10/15
1750,2008/10/16
1300,2008/10/16
700,2008/10/17
1250,2008/10/18
2000,2008/10/20
1500,2008/10/20
1000,2008/10/21
2100,2008/10/24
500,2008/10/24
750,2008/10/25
2000,2008/10/26
2750,2008/10/27
2250,2008/10/28
700,2008/10/28
2500,2008/10/29
2250,2008/10/30
2750,2008/10/31
2250,2008/11/02
1900,2008/11/02
2000,2008/11/03
1750,2008/11/04
2000,2008/11/05
800,2008/11/06
800,2008/11/07
1750,2008/11/09
1600,2008/11/09
1750,2008/11/10
800,2008/11/10
1700,2008/11/11
800,2008/11/11
1400,2008/11/13
800,2008/11/13
1400,2008/11/14
1200,2008/11/14
1150,2008/11/17
650,2008/11/17
800,2008/11/18
1050,2008/11/19
1300,2008/11/20
1150,2008/11/21
1100,2008/11/21
1200,2008/11/23
600,2008/11/23
1050,2008/11/24
1100,2008/11/25
1150,2008/11/26
1100,2008/11/27
700,2008/11/27
700,2008/11/28
1500,2008/11/29
1100,2008/11/30
1100,2008/12/01
700,2008/12/01
1000,2008/12/02
1300,2008/12/02
1000,2008/12/03
1000,2008/12/04
1200,2008/12/05
1000,2008/12/07
1200,2008/12/07
800,2008/12/08
1000,2008/12/09
800,2008/12/09
500,2008/12/10
500,2008/12/10
800,2008/12/11
950,2008/12/12
1200,2008/12/12
450,2008/12/13
1000,2008/12/14
750,2008/12/16
750,2008/12/17
650,2008/12/17
750,2008/12/18
675,2008/12/18
600,2008/12/19
650,2008/12/19
700,2008/12/20
500,2008/12/20
750,2008/12/21
700,2008/12/21
750,2008/12/22
650,2008/12/23
700,2008/12/23
550,2008/12/24
700,2008/12/24
550,2008/12/25
600,2008/12/25
600,2008/12/26
600,2008/12/26
650,2008/12/26
800,2008/12/27
600,2008/12/28
850,2008/12/29
550,2008/12/30
800,2008/12/30
600,2008/12/31
800,2008/12/31
600,2009/01/01
800,2009/01/01
800,2009/01/01
800,2009/01/01
800,2009/01/02
650,2009/01/03
550,2009/01/04
800,2009/01/04
900,2009/01/04
650,2009/01/05
750,2009/01/05
1000,2009/01/05
700,2009/01/05
750,2009/01/06
750,2009/01/06
500,2009/01/06
1000,2009/01/07
700,2009/01/07
600,2009/01/08
650,2009/01/09
900,2009/01/09
650,2009/01/10
850,2009/01/11
800,2009/01/11
800,2009/01/11
750,2009/01/12
650,2009/01/12
900,2009/01/12
700,2009/01/13
500,2009/01/13
550,2009/01/13
650,2009/01/14
500,2009/01/14
550,2009/01/15
500,2009/01/15
550,2009/01/15
600,2009/01/16
600,2009/01/16
500,2009/01/18
600,2009/01/19
700,2009/01/19
500,2009/01/20
750,2009/01/20
300,2009/01/20
500,2009/01/21
750,2009/01/21
600,2009/01/22
600,2009/01/23
900,2009/01/23
450,2009/01/23
600,2009/01/25
600,2009/01/25
380,2009/01/25
500,2009/01/27
400,2009/01/27
900,2009/01/28
600,2009/01/29
450,2009/01/29
550,2009/01/30
600,2009/01/30
400,2009/01/31
550,2009/02/01
1000,2009/02/01
450,2009/02/01
550,2009/02/02
450,2009/02/02
400,2009/02/02
400,2009/02/02
550,2009/02/03
500,2009/02/03
550,2009/02/04
650,2009/02/04
425,2009/02/04
500,2009/02/05
600,2009/02/05
450,2009/02/05
550,2009/02/06
400,2009/02/06
500,2009/02/06
650,2009/02/07
500,2009/02/08
500,2009/02/08
550,2009/02/09
500,2009/02/09
500,2009/02/09
400,2009/02/09
750,2009/02/10
500,2009/02/11
800,2009/02/11
650,2009/02/12
300,2009/02/12
500,2009/02/13
1000,2009/02/13
500,2009/02/14
500,2009/02/14
550,2009/02/15
500,2009/02/15
900,2009/02/15
500,2009/02/16
1000,2009/02/16
600,2009/02/17
500,2009/02/17
1000,2009/02/17
500,2009/02/18
900,2009/02/18
600,2009/02/19
475,2009/02/19
500,2009/02/19
450,2009/02/20
700,2009/02/20
450,2009/02/21
200,2009/02/21
450,2009/02/22
600,2009/02/22
425,2009/02/23
800,2009/02/23
600,2009/02/24
500,2009/02/24
800,2009/02/24
650,2009/02/25
800,2009/02/25
650,2009/02/26
550,2009/02/26
500,2009/02/27
550,2009/03/01
700,2009/03/01
600,2009/03/02
1200,2009/03/02
550,2009/03/03
800,2009/03/04
500,2009/03/08
1000,2009/03/08
450,2009/03/09
900,2009/03/09
550,2009/03/10
350,2009/03/10
800,2009/03/10
550,2009/03/11
550,2009/03/12
500,2009/03/13
550,2009/03/13
500,2009/03/14
500,2009/03/14
450,2009/03/15
550,2009/03/15
550,2009/03/16
550,2009/03/17
500,2009/03/17
700,2009/03/17
550,2009/03/18
550,2009/03/19
500,2009/03/19
550,2009/03/20
600,2009/03/20
700,2009/03/20
550,2009/03/21
500,2009/03/22
400,2009/03/22
550,2009/03/23
550,2009/03/23
700,2009/03/23
550,2009/03/24
800,2009/03/24
600,2009/03/25
425,2009/03/25
500,2009/03/25
550,2009/03/26
700,2009/03/26
600,2009/03/27
400,2009/03/31
550,2009/04/01
600,2009/04/02
600,2009/04/05
750,2009/04/06
600,2009/04/09
550,2009/04/10
500,2009/04/12
500,2009/04/13
600,2009/04/14
450,2009/04/17
600,2009/04/21
500,2009/04/28
600,2009/04/29
800,2009/04/30
800,2009/05/04
600,2009/05/04
1000,2009/05/05
450,2009/05/05
800,2009/05/06
800,2009/05/07
1000,2009/05/07
1000,2009/05/08
700,2009/05/09
750,2009/05/09
950,2009/05/11
700,2009/05/12
600,2009/05/12
900,2009/05/13
800,2009/05/15
800,2009/05/15
650,2009/05/17
800,2009/05/18
600,2009/05/18
750,2009/05/19
600,2009/05/19
800,2009/05/20
700,2009/05/21
500,2009/05/22
550,2009/05/24
1000,2009/05/26
1000,2009/05/27
600,2009/05/28
750,2009/05/31
500,2009/06/03
800,2009/06/14
850,2009/06/15
600,2009/06/15
800,2009/06/16
500,2009/06/17
850,2009/06/18
800,2009/06/18
600,2009/06/19
600,2009/06/22
500,2009/06/25
900,2009/06/27
700,2009/06/28
700,2009/07/01
800,2009/07/02
700,2009/07/03
800,2009/07/05
950,2009/07/06
800,2009/07/07
800,2009/07/08
700,2009/07/10
800,2009/07/12
700,2009/07/13
700,2009/07/14
750,2009/07/16
700,2009/07/17
800,2009/07/19
800,2009/07/20
700,2009/07/20
700,2009/07/21
700,2009/07/22
800,2009/07/23
1300,2009/07/26
1100,2009/07/31
0,2009/08/10
0,2009/08/11
700,2009/08/12
900,2009/08/16
700,2009/08/17
700,2009/08/18
700,2009/08/19
