Modal Price tomato, Date
500,2006/09/24
470,2006/09/24
700,2006/09/24
600,2006/09/25
500,2006/09/25
600,2006/09/25
600,2006/09/26
650,2006/09/26
550,2006/09/26
650,2006/09/27
550,2006/09/27
750,2006/09/28
750,2006/09/28
850,2006/09/28
600,2006/09/29
850,2006/09/29
750,2006/10/01
550,2006/10/01
800,2006/10/01
600,2006/10/02
700,2006/10/02
850,2006/10/02
900,2006/10/03
700,2006/10/03
900,2006/10/03
950,2006/10/04
850,2006/10/04
950,2006/10/04
900,2006/10/05
850,2006/10/05
850,2006/10/05
950,2006/10/06
750,2006/10/06
850,2006/10/06
650,2006/10/07
750,2006/10/07
950,2006/10/08
700,2006/10/08
850,2006/10/08
850,2006/10/09
700,2006/10/09
750,2006/10/10
500,2006/10/10
750,2006/10/11
500,2006/10/11
750,2006/10/11
600,2006/10/12
700,2006/10/12
500,2006/10/13
500,2006/10/13
600,2006/10/13
550,2006/10/14
750,2006/10/14
500,2006/10/15
600,2006/10/16
500,2006/10/16
600,2006/10/16
550,2006/10/17
450,2006/10/17
650,2006/10/17
500,2006/10/18
500,2006/10/18
550,2006/10/18
500,2006/10/19
450,2006/10/19
550,2006/10/19
500,2006/10/20
450,2006/10/20
600,2006/10/20
500,2006/10/21
500,2006/10/21
500,2006/10/22
475,2006/10/22
550,2006/10/22
650,2006/10/23
450,2006/10/23
550,2006/10/23
600,2006/10/24
550,2006/10/24
550,2006/10/24
600,2006/10/25
450,2006/10/25
600,2006/10/26
450,2006/10/26
500,2006/10/27
450,2006/10/27
500,2006/10/28
550,2006/10/28
600,2006/10/29
500,2006/10/29
700,2006/10/30
550,2006/10/30
750,2006/10/31
575,2006/10/31
550,2006/10/31
550,2006/11/01
500,2006/11/01
600,2006/11/01
700,2006/11/02
480,2006/11/02
550,2006/11/02
550,2006/11/03
450,2006/11/03
550,2006/11/03
450,2006/11/04
420,2006/11/04
550,2006/11/05
450,2006/11/05
400,2006/11/05
450,2006/11/06
350,2006/11/06
500,2006/11/06
300,2006/11/08
350,2006/11/08
350,2006/11/09
350,2006/11/10
430,2006/11/11
350,2006/11/12
400,2006/11/12
350,2006/11/13
550,2006/11/13
300,2006/11/14
370,2006/11/14
400,2006/11/14
350,2006/11/15
430,2006/11/15
350,2006/11/16
500,2006/11/16
550,2006/11/16
400,2006/11/17
500,2006/11/17
450,2006/11/17
450,2006/11/18
400,2006/11/19
500,2006/11/19
500,2006/11/19
400,2006/11/20
500,2006/11/20
500,2006/11/20
700,2006/11/21
550,2006/11/21
650,2006/11/22
550,2006/11/22
530,2006/11/22
500,2006/11/24
450,2006/11/24
450,2006/11/24
550,2006/11/29
500,2006/12/02
620,2006/12/02
600,2006/12/02
550,2006/12/05
750,2006/12/05
600,2006/12/05
650,2006/12/06
700,2006/12/06
700,2006/12/06
600,2006/12/07
700,2006/12/07
750,2006/12/08
800,2006/12/08
700,2006/12/08
800,2006/12/09
800,2006/12/09
800,2006/12/10
850,2006/12/10
750,2006/12/11
950,2006/12/11
800,2006/12/11
750,2006/12/12
950,2006/12/12
850,2006/12/13
850,2006/12/13
850,2006/12/13
850,2006/12/14
1100,2006/12/14
800,2006/12/14
900,2006/12/15
1200,2006/12/15
850,2006/12/15
1000,2006/12/16
1150,2006/12/16
900,2006/12/17
900,2006/12/17
850,2006/12/18
900,2006/12/18
800,2006/12/18
650,2006/12/19
700,2006/12/19
900,2006/12/19
700,2006/12/20
650,2006/12/20
900,2006/12/20
700,2006/12/21
850,2006/12/21
800,2006/12/22
650,2006/12/22
850,2006/12/23
1100,2006/12/23
800,2006/12/24
900,2006/12/24
700,2006/12/25
900,2006/12/25
700,2006/12/26
800,2006/12/26
900,2006/12/26
700,2006/12/27
800,2006/12/27
650,2006/12/28
700,2006/12/28
700,2006/12/28
550,2006/12/29
650,2006/12/29
700,2006/12/30
650,2006/12/30
550,2006/12/31
850,2006/12/31
750,2006/12/31
650,2007/01/01
700,2007/01/01
750,2007/01/01
550,2007/01/02
750,2007/01/02
700,2007/01/02
550,2007/01/03
700,2007/01/03
900,2007/01/03
650,2007/01/04
600,2007/01/04
550,2007/01/05
850,2007/01/05
600,2007/01/05
550,2007/01/07
700,2007/01/07
700,2007/01/08
650,2007/01/08
650,2007/01/08
600,2007/01/09
700,2007/01/09
850,2007/01/09
650,2007/01/10
650,2007/01/10
700,2007/01/10
650,2007/01/11
700,2007/01/11
600,2007/01/11
700,2007/01/12
550,2007/01/12
650,2007/01/12
700,2007/01/13
900,2007/01/14
1000,2007/01/14
800,2007/01/15
900,2007/01/15
900,2007/01/15
700,2007/01/16
800,2007/01/16
600,2007/01/17
700,2007/01/17
700,2007/01/17
700,2007/01/18
700,2007/01/18
650,2007/01/19
600,2007/01/19
1000,2007/01/19
600,2007/01/20
750,2007/01/20
650,2007/01/21
750,2007/01/21
800,2007/01/21
650,2007/01/22
700,2007/01/22
800,2007/01/23
750,2007/01/23
750,2007/01/24
700,2007/01/24
700,2007/01/24
750,2007/01/25
750,2007/01/27
900,2007/01/27
650,2007/01/28
700,2007/01/28
650,2007/01/29
500,2007/01/29
700,2007/01/29
550,2007/01/30
500,2007/01/30
600,2007/01/30
600,2007/01/31
550,2007/01/31
600,2007/01/31
450,2007/02/01
350,2007/02/01
400,2007/02/02
500,2007/02/02
400,2007/02/03
550,2007/02/03
400,2007/02/04
550,2007/02/04
550,2007/02/04
500,2007/02/05
650,2007/02/05
650,2007/02/05
450,2007/02/06
450,2007/02/06
550,2007/02/06
500,2007/02/07
500,2007/02/07
500,2007/02/08
450,2007/02/08
550,2007/02/08
400,2007/02/09
350,2007/02/09
525,2007/02/09
450,2007/02/10
500,2007/02/12
550,2007/02/12
450,2007/02/12
500,2007/02/13
450,2007/02/13
550,2007/02/13
450,2007/02/14
350,2007/02/14
450,2007/02/14
400,2007/02/15
450,2007/02/16
400,2007/02/16
400,2007/02/17
400,2007/02/18
450,2007/02/18
400,2007/02/19
450,2007/02/19
400,2007/02/20
450,2007/02/20
400,2007/02/21
350,2007/02/21
400,2007/02/22
400,2007/02/22
450,2007/02/23
450,2007/02/23
450,2007/02/24
600,2007/02/25
500,2007/02/26
500,2007/02/27
500,2007/02/27
500,2007/02/28
450,2007/02/28
400,2007/03/01
400,2007/03/01
450,2007/03/02
400,2007/03/02
450,2007/03/03
450,2007/03/04
450,2007/03/04
400,2007/03/05
400,2007/03/05
350,2007/03/05
550,2007/03/06
400,2007/03/06
300,2007/03/08
350,2007/03/08
350,2007/03/09
350,2007/03/09
380,2007/03/10
350,2007/03/11
350,2007/03/12
450,2007/03/12
350,2007/03/13
450,2007/03/13
300,2007/03/14
250,2007/03/17
350,2007/03/19
400,2007/03/20
350,2007/03/21
350,2007/03/21
350,2007/03/21
350,2007/03/22
300,2007/03/22
300,2007/03/23
400,2007/03/23
300,2007/03/25
350,2007/03/27
400,2007/03/28
350,2007/03/29
350,2007/03/29
350,2007/03/30
400,2007/03/30
350,2007/04/01
450,2007/04/01
420,2007/04/01
350,2007/04/02
450,2007/04/02
400,2007/04/02
350,2007/04/03
450,2007/04/03
400,2007/04/03
300,2007/04/04
400,2007/04/04
350,2007/04/04
300,2007/04/05
300,2007/04/06
450,2007/04/06
450,2007/04/07
300,2007/04/07
350,2007/04/08
350,2007/04/08
350,2007/04/09
350,2007/04/09
300,2007/04/09
350,2007/04/10
300,2007/04/10
300,2007/04/10
350,2007/04/11
300,2007/04/12
300,2007/04/13
350,2007/04/13
250,2007/04/14
300,2007/04/14
250,2007/04/15
300,2007/04/16
250,2007/04/16
300,2007/04/17
300,2007/04/20
300,2007/04/21
300,2007/04/23
250,2007/04/24
250,2007/04/25
250,2007/04/26
250,2007/04/26
300,2007/04/27
250,2007/04/27
300,2007/04/28
300,2007/04/29
250,2007/04/30
350,2007/05/01
300,2007/05/04
300,2007/05/05
300,2007/05/12
300,2007/05/13
250,2007/05/14
250,2007/05/15
250,2007/05/16
450,2007/05/18
250,2007/05/19
225,2007/05/19
250,2007/05/21
250,2007/05/22
275,2007/05/25
400,2007/05/26
450,2007/05/27
400,2007/05/28
400,2007/05/28
300,2007/05/29
350,2007/05/29
350,2007/05/30
300,2007/06/01
250,2007/06/02
500,2007/06/03
350,2007/06/03
325,2007/06/04
600,2007/06/04
450,2007/06/04
500,2007/06/05
550,2007/06/05
500,2007/06/05
550,2007/06/06
450,2007/06/07
400,2007/06/07
500,2007/06/08
800,2007/06/08
450,2007/06/08
900,2007/06/09
700,2007/06/09
500,2007/06/10
750,2007/06/10
700,2007/06/10
550,2007/06/11
550,2007/06/12
750,2007/06/12
650,2007/06/12
450,2007/06/13
600,2007/06/13
950,2007/06/14
550,2007/06/15
600,2007/06/15
750,2007/06/16
600,2007/06/17
900,2007/06/17
650,2007/06/17
450,2007/06/17
700,2007/06/18
950,2007/06/18
800,2007/06/18
750,2007/06/19
900,2007/06/19
850,2007/06/19
750,2007/06/19
650,2007/06/20
900,2007/06/20
750,2007/06/20
650,2007/06/20
850,2007/06/21
750,2007/06/21
650,2007/06/21
750,2007/06/22
800,2007/06/23
670,2007/06/23
800,2007/06/24
800,2007/06/25
1050,2007/06/25
900,2007/06/25
850,2007/06/25
700,2007/06/26
1000,2007/06/26
825,2007/06/26
1050,2007/06/27
1100,2007/06/27
900,2007/06/27
900,2007/06/28
750,2007/06/28
800,2007/06/28
800,2007/06/29
750,2007/06/29
750,2007/06/29
700,2007/06/30
750,2007/07/01
700,2007/07/01
900,2007/07/01
700,2007/07/02
620,2007/07/02
700,2007/07/02
620,2007/07/03
700,2007/07/03
800,2007/07/03
700,2007/07/04
1100,2007/07/04
750,2007/07/04
700,2007/07/05
1000,2007/07/05
1000,2007/07/05
700,2007/07/05
850,2007/07/06
1100,2007/07/06
900,2007/07/06
1000,2007/07/07
1600,2007/07/07
900,2007/07/07
1100,2007/07/08
850,2007/07/08
800,2007/07/08
750,2007/07/09
850,2007/07/09
950,2007/07/09
850,2007/07/09
700,2007/07/10
750,2007/07/10
800,2007/07/10
700,2007/07/10
850,2007/07/11
850,2007/07/11
800,2007/07/11
800,2007/07/12
1000,2007/07/12
1050,2007/07/12
950,2007/07/12
850,2007/07/13
1000,2007/07/13
1000,2007/07/13
870,2007/07/13
900,2007/07/14
950,2007/07/14
850,2007/07/15
950,2007/07/15
1050,2007/07/15
800,2007/07/16
1300,2007/07/16
1100,2007/07/16
750,2007/07/16
750,2007/07/17
1050,2007/07/17
850,2007/07/18
850,2007/07/18
700,2007/07/18
1100,2007/07/19
900,2007/07/19
700,2007/07/20
1000,2007/07/20
1000,2007/07/20
1000,2007/07/21
750,2007/07/21
700,2007/07/22
1050,2007/07/22
1100,2007/07/22
900,2007/07/22
800,2007/07/23
1200,2007/07/23
850,2007/07/23
800,2007/07/24
1200,2007/07/24
950,2007/07/24
850,2007/07/24
900,2007/07/25
1100,2007/07/25
950,2007/07/25
900,2007/07/25
800,2007/07/26
1150,2007/07/26
1050,2007/07/26
750,2007/07/26
900,2007/07/27
1200,2007/07/27
900,2007/07/27
1050,2007/07/28
1200,2007/07/28
850,2007/07/29
1050,2007/07/29
750,2007/07/29
800,2007/07/30
1050,2007/07/30
900,2007/07/30
950,2007/07/31
900,2007/07/31
750,2007/07/31
950,2007/07/31
700,2007/08/01
800,2007/08/01
650,2007/08/01
700,2007/08/02
700,2007/08/02
600,2007/08/02
950,2007/08/02
675,2007/08/03
700,2007/08/03
950,2007/08/03
900,2007/08/04
800,2007/08/04
750,2007/08/04
850,2007/08/05
750,2007/08/05
800,2007/08/05
850,2007/08/06
850,2007/08/06
700,2007/08/06
850,2007/08/06
800,2007/08/07
800,2007/08/07
850,2007/08/07
750,2007/08/07
900,2007/08/08
750,2007/08/08
1000,2007/08/08
850,2007/08/08
800,2007/08/09
850,2007/08/09
800,2007/08/09
900,2007/08/09
750,2007/08/10
850,2007/08/11
750,2007/08/11
850,2007/08/12
900,2007/08/13
850,2007/08/14
700,2007/08/14
800,2007/08/14
800,2007/08/15
900,2007/08/16
750,2007/08/16
800,2007/08/16
900,2007/08/16
800,2007/08/17
550,2007/08/17
850,2007/08/17
700,2007/08/17
600,2007/08/18
900,2007/08/18
800,2007/08/19
770,2007/08/19
800,2007/08/19
670,2007/08/19
800,2007/08/20
700,2007/08/20
750,2007/08/20
750,2007/08/21
750,2007/08/21
600,2007/08/21
800,2007/08/21
780,2007/08/22
750,2007/08/22
650,2007/08/23
725,2007/08/23
700,2007/08/23
750,2007/08/23
650,2007/08/24
800,2007/08/24
600,2007/08/24
800,2007/08/25
700,2007/08/25
800,2007/08/25
650,2007/08/26
750,2007/08/26
750,2007/08/26
750,2007/08/27
850,2007/08/27
600,2007/08/27
700,2007/08/28
600,2007/08/28
750,2007/08/28
650,2007/08/29
800,2007/08/29
700,2007/08/30
700,2007/08/30
550,2007/08/31
600,2007/08/31
550,2007/08/31
750,2007/08/31
550,2007/09/01
550,2007/09/01
850,2007/09/01
600,2007/09/02
550,2007/09/02
450,2007/09/02
750,2007/09/02
650,2007/09/03
1900,2007/09/04
300,2007/09/04
450,2007/09/05
350,2007/09/05
350,2007/09/06
400,2007/09/06
450,2007/09/06
300,2007/09/07
350,2007/09/08
300,2007/09/08
450,2007/09/08
300,2007/09/09
300,2007/09/10
350,2007/09/10
300,2007/09/11
300,2007/09/11
400,2007/09/12
300,2007/09/12
275,2007/09/13
300,2007/09/13
275,2007/09/14
300,2007/09/14
300,2007/09/15
300,2007/09/15
300,2007/09/16
350,2007/09/16
300,2007/09/16
300,2007/09/19
280,2007/09/20
300,2007/09/21
300,2007/09/27
250,2007/09/28
300,2007/09/28
350,2007/09/29
1400,2007/09/30
300,2007/09/30
300,2007/09/30
350,2007/10/01
300,2007/10/01
300,2007/10/02
300,2007/10/02
330,2007/10/02
400,2007/10/03
300,2007/10/03
350,2007/10/04
350,2007/10/05
350,2007/10/05
350,2007/10/05
400,2007/10/05
350,2007/10/06
350,2007/10/07
350,2007/10/07
350,2007/10/07
350,2007/10/07
400,2007/10/08
450,2007/10/08
400,2007/10/09
450,2007/10/09
400,2007/10/11
400,2007/10/11
400,2007/10/12
350,2007/10/12
350,2007/10/13
420,2007/10/14
400,2007/10/14
350,2007/10/14
350,2007/10/15
550,2007/10/15
350,2007/10/15
450,2007/10/16
400,2007/10/16
350,2007/10/17
400,2007/10/17
550,2007/10/17
350,2007/10/18
550,2007/10/18
400,2007/10/19
350,2007/10/19
400,2007/10/19
350,2007/10/20
400,2007/10/20
400,2007/10/21
450,2007/10/21
350,2007/10/21
400,2007/10/22
550,2007/10/22
400,2007/10/22
400,2007/10/23
500,2007/10/23
450,2007/10/23
430,2007/10/23
450,2007/10/24
400,2007/10/24
550,2007/10/24
350,2007/10/25
400,2007/10/25
450,2007/10/25
500,2007/10/25
350,2007/10/26
450,2007/10/26
450,2007/10/26
650,2007/10/26
450,2007/10/27
450,2007/10/27
500,2007/10/27
350,2007/10/28
400,2007/10/28
500,2007/10/28
500,2007/10/28
400,2007/10/29
550,2007/10/29
700,2007/10/29
550,2007/10/29
450,2007/10/30
700,2007/10/30
450,2007/10/30
520,2007/10/30
450,2007/10/31
500,2007/10/31
550,2007/10/31
550,2007/10/31
450,2007/11/01
450,2007/11/01
450,2007/11/01
450,2007/11/02
500,2007/11/02
450,2007/11/02
550,2007/11/02
450,2007/11/03
500,2007/11/03
450,2007/11/04
450,2007/11/04
550,2007/11/04
400,2007/11/05
475,2007/11/05
500,2007/11/05
550,2007/11/05
400,2007/11/06
350,2007/11/06
500,2007/11/06
400,2007/11/07
400,2007/11/07
400,2007/11/07
550,2007/11/07
400,2007/11/08
350,2007/11/08
450,2007/11/08
400,2007/11/12
300,2007/11/12
400,2007/11/13
450,2007/11/13
350,2007/11/14
300,2007/11/14
300,2007/11/15
400,2007/11/15
300,2007/11/16
400,2007/11/16
300,2007/11/16
400,2007/11/16
450,2007/11/17
400,2007/11/17
350,2007/11/17
300,2007/11/18
550,2007/11/18
500,2007/11/18
500,2007/11/19
550,2007/11/19
500,2007/11/19
500,2007/11/19
450,2007/11/20
500,2007/11/20
550,2007/11/20
400,2007/11/21
500,2007/11/21
400,2007/11/22
500,2007/11/22
400,2007/11/23
650,2007/11/23
500,2007/11/23
600,2007/11/23
700,2007/11/24
400,2007/11/25
800,2007/11/25
700,2007/11/26
650,2007/11/27
850,2007/11/27
400,2007/11/27
700,2007/11/28
700,2007/11/28
600,2007/11/28
700,2007/11/29
650,2007/11/29
750,2007/11/29
700,2007/11/30
500,2007/11/30
650,2007/11/30
800,2007/11/30
600,2007/12/01
700,2007/12/01
500,2007/12/02
500,2007/12/03
700,2007/12/03
450,2007/12/04
600,2007/12/04
450,2007/12/07
400,2007/12/07
500,2007/12/07
350,2007/12/08
500,2007/12/08
325,2007/12/09
400,2007/12/10
500,2007/12/10
350,2007/12/10
400,2007/12/11
550,2007/12/11
350,2007/12/11
600,2007/12/12
350,2007/12/12
365,2007/12/13
400,2007/12/14
400,2007/12/14
450,2007/12/15
400,2007/12/15
450,2007/12/15
400,2007/12/16
500,2007/12/16
400,2007/12/16
400,2007/12/17
500,2007/12/17
450,2007/12/17
450,2007/12/18
400,2007/12/18
400,2007/12/19
450,2007/12/19
350,2007/12/19
450,2007/12/20
350,2007/12/20
350,2007/12/21
400,2007/12/21
350,2007/12/21
450,2007/12/21
500,2007/12/22
350,2007/12/23
500,2007/12/23
350,2007/12/23
450,2007/12/24
450,2007/12/24
500,2007/12/25
580,2007/12/26
400,2007/12/26
500,2007/12/26
500,2007/12/27
550,2007/12/27
550,2007/12/28
430,2007/12/28
530,2007/12/31
400,2008/01/01
400,2008/01/01
550,2008/01/01
750,2008/01/02
350,2008/01/02
550,2008/01/03
400,2008/01/03
450,2008/01/05
450,2008/01/05
550,2008/01/05
400,2008/01/06
600,2008/01/06
400,2008/01/06
450,2008/01/06
400,2008/01/07
525,2008/01/07
525,2008/01/07
350,2008/01/08
450,2008/01/08
400,2008/01/08
500,2008/01/08
475,2008/01/09
350,2008/01/09
500,2008/01/09
450,2008/01/10
400,2008/01/10
400,2008/01/11
500,2008/01/11
450,2008/01/11
470,2008/01/11
600,2008/01/12
400,2008/01/12
430,2008/01/12
400,2008/01/13
1200,2008/01/13
450,2008/01/13
400,2008/01/14
400,2008/01/14
400,2008/01/15
750,2008/01/15
500,2008/01/15
450,2008/01/15
550,2008/01/16
650,2008/01/16
400,2008/01/16
550,2008/01/16
400,2008/01/17
450,2008/01/17
400,2008/01/18
450,2008/01/18
400,2008/01/18
450,2008/01/19
450,2008/01/19
400,2008/01/20
600,2008/01/20
350,2008/01/20
400,2008/01/21
550,2008/01/21
350,2008/01/21
400,2008/01/22
650,2008/01/22
350,2008/01/22
450,2008/01/22
450,2008/01/23
500,2008/01/23
500,2008/01/23
400,2008/01/24
500,2008/01/24
500,2008/01/24
450,2008/01/25
400,2008/01/25
450,2008/01/27
500,2008/01/28
450,2008/01/30
700,2008/01/30
500,2008/01/30
600,2008/01/30
450,2008/01/31
650,2008/01/31
550,2008/01/31
650,2008/02/01
750,2008/02/01
550,2008/02/01
750,2008/02/02
700,2008/02/02
450,2008/02/03
650,2008/02/03
600,2008/02/04
750,2008/02/04
800,2008/02/04
600,2008/02/05
750,2008/02/05
600,2008/02/05
600,2008/02/06
550,2008/02/06
550,2008/02/06
600,2008/02/07
450,2008/02/07
650,2008/02/07
650,2008/02/07
500,2008/02/08
650,2008/02/08
600,2008/02/08
550,2008/02/09
500,2008/02/10
550,2008/02/11
700,2008/02/11
550,2008/02/11
550,2008/02/12
600,2008/02/12
450,2008/02/12
500,2008/02/13
600,2008/02/13
400,2008/02/13
550,2008/02/14
450,2008/02/14
500,2008/02/14
600,2008/02/14
450,2008/02/15
450,2008/02/15
450,2008/02/15
550,2008/02/15
450,2008/02/16
500,2008/02/16
600,2008/02/16
500,2008/02/17
450,2008/02/17
450,2008/02/17
500,2008/02/17
500,2008/02/18
500,2008/02/18
450,2008/02/19
500,2008/02/19
400,2008/02/20
400,2008/02/20
450,2008/02/20
400,2008/02/20
450,2008/02/21
450,2008/02/21
450,2008/02/21
450,2008/02/22
400,2008/02/22
400,2008/02/22
400,2008/02/23
400,2008/02/23
450,2008/02/24
500,2008/02/24
400,2008/02/24
450,2008/02/25
400,2008/02/25
400,2008/02/26
500,2008/02/26
400,2008/02/26
400,2008/02/27
400,2008/02/27
400,2008/02/27
400,2008/02/28
500,2008/02/28
400,2008/02/28
450,2008/02/28
400,2008/02/29
400,2008/02/29
500,2008/03/01
500,2008/03/01
450,2008/03/02
400,2008/03/03
700,2008/03/03
400,2008/03/03
400,2008/03/04
725,2008/03/04
450,2008/03/04
500,2008/03/05
800,2008/03/06
500,2008/03/06
650,2008/03/07
650,2008/03/07
450,2008/03/07
700,2008/03/08
450,2008/03/08
650,2008/03/09
650,2008/03/09
500,2008/03/10
575,2008/03/10
525,2008/03/10
650,2008/03/10
400,2008/03/11
650,2008/03/11
405,2008/03/11
550,2008/03/11
450,2008/03/12
650,2008/03/12
500,2008/03/12
400,2008/03/13
500,2008/03/13
400,2008/03/13
450,2008/03/14
600,2008/03/14
500,2008/03/14
600,2008/03/15
450,2008/03/15
500,2008/03/15
600,2008/03/16
450,2008/03/16
700,2008/03/17
550,2008/03/17
450,2008/03/18
800,2008/03/18
550,2008/03/18
600,2008/03/19
500,2008/03/19
450,2008/03/20
250,2008/03/20
450,2008/03/21
500,2008/03/21
450,2008/03/21
650,2008/03/22
450,2008/03/22
450,2008/03/23
600,2008/03/23
400,2008/03/24
500,2008/03/24
450,2008/03/24
550,2008/03/24
400,2008/03/25
550,2008/03/25
400,2008/03/25
500,2008/03/25
