Modal Price cucumber,Date
500,2005/09/28
550,2005/09/29
550,2005/10/02
550,2005/10/03
500,2005/10/04
850,2005/10/05
500,2005/10/06
500,2005/10/07
500,2005/10/10
500,2005/10/11
500,2005/10/12
550,2005/10/13
600,2005/10/14
450,2005/10/16
400,2005/10/17
400,2005/10/18
350,2005/10/19
400,2005/10/20
500,2005/10/23
550,2005/10/24
550,2005/10/25
450,2005/10/27
450,2005/10/28
450,2005/10/30
600,2005/11/02
550,2005/11/03
550,2005/11/04
700,2005/11/06
500,2005/11/07
400,2005/11/08
600,2005/11/09
550,2005/11/10
650,2005/11/11
700,2005/11/13
700,2005/11/14
925,2005/11/15
1150,2005/11/16
1250,2005/11/18
850,2005/11/20
1100,2005/11/21
1200,2005/11/22
800,2005/11/23
1000,2005/11/24
1100,2005/11/25
750,2005/11/27
700,2005/11/28
900,2005/11/29
950,2005/11/30
550,2005/12/01
850,2005/12/05
900,2005/12/06
600,2005/12/08
650,2005/12/11
700,2005/12/12
750,2005/12/13
900,2005/12/14
750,2005/12/15
650,2005/12/16
800,2005/12/18
850,2005/12/19
900,2005/12/20
900,2005/12/21
800,2005/12/22
650,2005/12/23
650,2005/12/25
700,2005/12/26
600,2005/12/27
600,2005/12/28
600,2005/12/29
600,2005/12/30
550,2006/01/01
700,2006/01/02
750,2006/01/03
600,2006/01/04
550,2006/01/05
1000,2006/01/06
600,2006/01/08
600,2006/01/09
600,2006/01/10
600,2006/01/11
600,2006/01/12
500,2006/01/13
400,2006/01/16
500,2006/01/17
300,2006/01/18
400,2006/01/19
300,2006/01/20
400,2006/01/22
500,2006/01/23
450,2006/01/24
950,2006/01/25
450,2006/01/27
650,2006/01/30
650,2006/02/05
650,2006/02/06
550,2006/02/07
550,2006/02/08
650,2006/02/09
600,2006/02/10
600,2006/02/12
550,2006/02/13
1300,2006/02/14
600,2006/02/16
600,2006/02/17
550,2006/02/19
650,2006/02/20
600,2006/02/20
1250,2006/02/21
400,2006/02/21
1200,2006/02/22
400,2006/02/22
800,2006/02/22
600,2006/02/23
525,2006/02/23
700,2006/02/23
500,2006/02/24
750,2006/02/25
500,2006/02/26
500,2006/02/26
500,2006/02/27
400,2006/02/27
450,2006/02/28
800,2006/02/28
400,2006/03/01
700,2006/03/01
550,2006/03/02
500,2006/03/02
500,2006/03/03
500,2006/03/03
750,2006/03/03
700,2006/03/04
550,2006/03/05
500,2006/03/05
700,2006/03/05
500,2006/03/06
425,2006/03/06
700,2006/03/06
500,2006/03/07
500,2006/03/07
500,2006/03/08
450,2006/03/08
600,2006/03/08
550,2006/03/09
600,2006/03/09
500,2006/03/10
800,2006/03/10
550,2006/03/11
700,2006/03/11
550,2006/03/12
450,2006/03/12
706,2006/03/12
500,2006/03/13
375,2006/03/13
700,2006/03/13
450,2006/03/14
450,2006/03/14
750,2006/03/14
500,2006/03/15
475,2006/03/15
650,2006/03/15
500,2006/03/16
400,2006/03/16
600,2006/03/16
500,2006/03/17
375,2006/03/17
600,2006/03/17
600,2006/03/18
500,2006/03/19
750,2006/03/19
550,2006/03/19
500,2006/03/20
550,2006/03/20
550,2006/03/21
450,2006/03/21
400,2006/03/21
500,2006/03/22
450,2006/03/22
500,2006/03/23
400,2006/03/23
700,2006/03/24
400,2006/03/24
350,2006/03/24
350,2006/03/25
450,2006/03/27
400,2006/03/27
400,2006/03/27
300,2006/03/28
500,2006/03/29
400,2006/03/29
550,2006/03/30
850,2006/03/30
450,2006/03/31
350,2006/03/31
325,2006/04/01
500,2006/04/02
350,2006/04/02
400,2006/04/03
300,2006/04/04
350,2006/04/05
400,2006/04/06
350,2006/04/08
400,2006/04/08
350,2006/04/09
400,2006/04/10
350,2006/04/11
400,2006/04/11
400,2006/04/12
400,2006/04/12
450,2006/04/13
350,2006/04/13
450,2006/04/14
400,2006/04/14
400,2006/04/14
450,2006/04/15
350,2006/04/16
400,2006/04/16
500,2006/04/17
300,2006/04/17
500,2006/04/17
600,2006/04/18
400,2006/04/18
400,2006/04/19
400,2006/04/19
400,2006/04/20
875,2006/04/20
450,2006/04/20
400,2006/04/21
400,2006/04/22
350,2006/04/23
400,2006/04/23
450,2006/04/25
380,2006/04/25
500,2006/04/26
500,2006/04/27
500,2006/04/28
400,2006/04/28
450,2006/04/28
500,2006/04/30
700,2006/04/30
400,2006/04/30
550,2006/05/01
350,2006/05/04
500,2006/05/04
450,2006/05/05
450,2006/05/05
650,2006/05/07
600,2006/05/07
550,2006/05/07
650,2006/05/08
700,2006/05/08
650,2006/05/08
750,2006/05/09
575,2006/05/09
600,2006/05/10
600,2006/05/10
625,2006/05/11
450,2006/05/11
550,2006/05/11
675,2006/05/12
450,2006/05/12
450,2006/05/12
700,2006/05/13
600,2006/05/13
650,2006/05/14
725,2006/05/14
500,2006/05/14
650,2006/05/15
700,2006/05/15
450,2006/05/15
750,2006/05/16
600,2006/05/16
900,2006/05/17
400,2006/05/17
550,2006/05/17
800,2006/05/18
650,2006/05/18
550,2006/05/18
600,2006/05/19
600,2006/05/19
550,2006/05/19
650,2006/05/20
650,2006/05/20
650,2006/05/20
600,2006/05/21
900,2006/05/21
650,2006/05/21
800,2006/05/22
800,2006/05/22
550,2006/05/22
750,2006/05/23
750,2006/05/23
600,2006/05/23
700,2006/05/24
550,2006/05/25
650,2006/05/26
600,2006/05/27
500,2006/05/28
500,2006/05/29
550,2006/05/30
850,2006/05/31
650,2006/06/01
750,2006/06/02
550,2006/06/03
750,2006/06/04
750,2006/06/05
800,2006/06/06
650,2006/06/07
700,2006/06/08
750,2006/06/09
600,2006/06/10
500,2006/06/11
750,2006/06/12
850,2006/06/13
900,2006/06/14
600,2006/06/15
450,2006/06/16
550,2006/06/18
350,2006/06/19
400,2006/06/20
400,2006/06/21
350,2006/06/22
350,2006/06/23
400,2006/06/25
450,2006/06/26
450,2006/06/27
400,2006/06/28
400,2006/06/29
400,2006/06/30
400,2006/07/01
450,2006/07/02
450,2006/07/03
500,2006/07/04
400,2006/07/05
350,2006/07/05
450,2006/07/06
400,2006/07/07
400,2006/07/07
500,2006/07/08
550,2006/07/08
1000,2006/07/09
450,2006/07/09
450,2006/07/09
650,2006/07/10
700,2006/07/11
350,2006/07/11
700,2006/07/11
650,2006/07/12
450,2006/07/12
650,2006/07/12
550,2006/07/13
750,2006/07/14
600,2006/07/14
750,2006/07/14
750,2006/07/15
400,2006/07/15
750,2006/07/15
750,2006/07/16
500,2006/07/16
700,2006/07/17
450,2006/07/17
700,2006/07/17
600,2006/07/18
450,2006/07/18
650,2006/07/18
500,2006/07/19
350,2006/07/19
700,2006/07/19
600,2006/07/20
450,2006/07/21
400,2006/07/22
400,2006/07/23
350,2006/07/23
350,2006/07/24
400,2006/07/25
400,2006/07/25
450,2006/07/27
475,2006/07/27
400,2006/07/28
500,2006/07/29
450,2006/07/30
400,2006/07/30
500,2006/07/30
400,2006/07/31
400,2006/08/01
400,2006/08/01
550,2006/08/01
400,2006/08/02
300,2006/08/02
400,2006/08/02
400,2006/08/03
250,2006/08/04
600,2006/08/04
400,2006/08/06
600,2006/08/06
550,2006/08/07
400,2006/08/07
550,2006/08/08
500,2006/08/08
600,2006/08/09
400,2006/08/10
350,2006/08/10
650,2006/08/10
550,2006/08/11
400,2006/08/11
700,2006/08/11
350,2006/08/12
700,2006/08/12
550,2006/08/13
650,2006/08/14
500,2006/08/14
600,2006/08/14
900,2006/08/16
600,2006/08/16
900,2006/08/16
600,2006/08/17
700,2006/08/18
700,2006/08/18
900,2006/08/18
1000,2006/08/19
700,2006/08/20
1100,2006/08/20
900,2006/08/21
350,2006/08/21
850,2006/08/21
650,2006/08/22
450,2006/08/22
1050,2006/08/22
800,2006/08/23
700,2006/08/23
950,2006/08/24
400,2006/08/24
1000,2006/08/24
900,2006/08/25
600,2006/08/25
850,2006/08/25
850,2006/08/28
700,2006/08/28
700,2006/08/29
650,2006/08/29
950,2006/08/29
600,2006/08/30
600,2006/08/30
950,2006/08/30
800,2006/08/31
550,2006/08/31
1400,2006/09/01
450,2006/09/02
700,2006/09/03
450,2006/09/03
1000,2006/09/03
700,2006/09/04
650,2006/09/04
750,2006/09/04
750,2006/09/05
500,2006/09/05
650,2006/09/06
550,2006/09/07
700,2006/09/07
750,2006/09/08
700,2006/09/08
450,2006/09/09
850,2006/09/09
750,2006/09/10
700,2006/09/10
650,2006/09/10
600,2006/09/11
750,2006/09/12
700,2006/09/12
650,2006/09/13
450,2006/09/13
650,2006/09/13
600,2006/09/14
400,2006/09/14
650,2006/09/14
600,2006/09/15
450,2006/09/15
350,2006/09/16
750,2006/09/16
600,2006/09/18
800,2006/09/19
450,2006/09/19
550,2006/09/19
700,2006/09/20
550,2006/09/20
600,2006/09/20
800,2006/09/21
450,2006/09/21
650,2006/09/21
500,2006/09/22
650,2006/09/23
650,2006/09/24
600,2006/09/24
700,2006/09/24
700,2006/09/25
600,2006/09/25
800,2006/09/25
800,2006/09/26
620,2006/09/26
750,2006/09/26
750,2006/09/27
1150,2006/09/27
700,2006/09/27
700,2006/09/28
520,2006/09/28
750,2006/09/28
600,2006/09/29
850,2006/09/29
750,2006/10/01
400,2006/10/01
750,2006/10/01
700,2006/10/02
550,2006/10/02
750,2006/10/02
600,2006/10/03
450,2006/10/03
750,2006/10/03
650,2006/10/04
525,2006/10/04
550,2006/10/04
600,2006/10/05
500,2006/10/05
625,2006/10/05
600,2006/10/06
500,2006/10/06
650,2006/10/06
650,2006/10/07
600,2006/10/07
600,2006/10/08
400,2006/10/08
700,2006/10/08
600,2006/10/09
550,2006/10/09
550,2006/10/10
500,2006/10/10
500,2006/10/11
650,2006/10/11
600,2006/10/12
500,2006/10/12
800,2006/10/12
500,2006/10/13
600,2006/10/13
700,2006/10/13
450,2006/10/14
700,2006/10/14
500,2006/10/15
550,2006/10/16
400,2006/10/16
650,2006/10/16
550,2006/10/17
500,2006/10/17
650,2006/10/17
550,2006/10/18
550,2006/10/18
650,2006/10/18
500,2006/10/19
450,2006/10/19
650,2006/10/19
500,2006/10/20
450,2006/10/20
600,2006/10/20
400,2006/10/21
500,2006/10/21
500,2006/10/22
350,2006/10/22
600,2006/10/22
500,2006/10/23
450,2006/10/23
400,2006/10/23
450,2006/10/24
350,2006/10/24
525,2006/10/24
400,2006/10/25
450,2006/10/25
400,2006/10/26
450,2006/10/26
550,2006/10/27
470,2006/10/27
500,2006/10/28
500,2006/10/28
550,2006/10/29
400,2006/10/29
500,2006/10/30
550,2006/10/31
475,2006/10/31
500,2006/10/31
550,2006/11/01
400,2006/11/01
500,2006/11/01
500,2006/11/02
550,2006/11/02
550,2006/11/03
350,2006/11/03
550,2006/11/03
350,2006/11/04
600,2006/11/04
550,2006/11/05
700,2006/11/05
500,2006/11/05
500,2006/11/06
400,2006/11/06
600,2006/11/06
500,2006/11/07
500,2006/11/08
450,2006/11/08
700,2006/11/08
500,2006/11/09
500,2006/11/10
500,2006/11/10
700,2006/11/10
750,2006/11/11
500,2006/11/12
600,2006/11/12
700,2006/11/12
325,2006/11/13
900,2006/11/13
800,2006/11/14
600,2006/11/14
750,2006/11/15
850,2006/11/15
650,2006/11/16
600,2006/11/16
800,2006/11/16
650,2006/11/17
400,2006/11/17
800,2006/11/17
850,2006/11/18
500,2006/11/19
500,2006/11/19
550,2006/11/20
600,2006/11/20
850,2006/11/20
800,2006/11/21
450,2006/11/21
800,2006/11/22
420,2006/11/22
800,2006/11/22
750,2006/11/24
450,2006/11/24
750,2006/11/24
750,2006/11/29
700,2006/12/02
350,2006/12/02
750,2006/12/02
550,2006/12/05
600,2006/12/05
600,2006/12/06
650,2006/12/06
500,2006/12/07
900,2006/12/07
550,2006/12/07
550,2006/12/08
450,2006/12/08
400,2006/12/09
900,2006/12/09
550,2006/12/10
550,2006/12/10
550,2006/12/11
900,2006/12/11
850,2006/12/11
500,2006/12/12
650,2006/12/12
550,2006/12/13
500,2006/12/13
550,2006/12/14
550,2006/12/14
800,2006/12/14
700,2006/12/15
1050,2006/12/16
800,2006/12/16
700,2006/12/17
400,2006/12/17
800,2006/12/18
600,2006/12/18
650,2006/12/19
400,2006/12/19
800,2006/12/19
600,2006/12/20
550,2006/12/20
700,2006/12/20
550,2006/12/21
500,2006/12/21
550,2006/12/22
600,2006/12/22
800,2006/12/23
700,2006/12/23
550,2006/12/24
650,2006/12/25
400,2006/12/25
800,2006/12/26
600,2006/12/26
600,2006/12/27
800,2006/12/27
800,2006/12/27
800,2006/12/28
850,2006/12/28
750,2006/12/29
450,2006/12/29
700,2006/12/30
800,2006/12/30
750,2006/12/31
900,2006/12/31
600,2007/01/01
1100,2007/01/01
850,2007/01/01
800,2007/01/02
650,2007/01/02
550,2007/01/03
850,2007/01/03
900,2007/01/03
700,2007/01/04
700,2007/01/04
600,2007/01/05
650,2007/01/05
750,2007/01/05
600,2007/01/07
600,2007/01/07
700,2007/01/08
600,2007/01/08
900,2007/01/08
750,2007/01/09
900,2007/01/09
800,2007/01/09
800,2007/01/10
650,2007/01/10
800,2007/01/10
550,2007/01/11
900,2007/01/11
800,2007/01/11
700,2007/01/12
900,2007/01/12
600,2007/01/13
1000,2007/01/13
650,2007/01/14
700,2007/01/14
650,2007/01/15
550,2007/01/16
500,2007/01/16
650,2007/01/17
700,2007/01/17
800,2007/01/17
600,2007/01/18
600,2007/01/18
500,2007/01/19
400,2007/01/19
800,2007/01/19
400,2007/01/20
600,2007/01/20
500,2007/01/21
450,2007/01/21
900,2007/01/21
600,2007/01/22
900,2007/01/22
600,2007/01/23
750,2007/01/24
700,2007/01/24
1000,2007/01/24
600,2007/01/25
400,2007/01/27
1000,2007/01/27
620,2007/01/28
850,2007/01/28
650,2007/01/29
400,2007/01/29
1000,2007/01/29
550,2007/01/30
650,2007/01/30
550,2007/01/31
800,2007/01/31
450,2007/02/01
500,2007/02/01
500,2007/02/02
800,2007/02/02
700,2007/02/03
800,2007/02/03
500,2007/02/04
650,2007/02/04
1000,2007/02/04
500,2007/02/05
900,2007/02/05
900,2007/02/05
900,2007/02/06
500,2007/02/06
400,2007/02/07
500,2007/02/07
500,2007/02/08
700,2007/02/08
900,2007/02/08
650,2007/02/09
500,2007/02/09
650,2007/02/10
650,2007/02/12
700,2007/02/12
850,2007/02/13
700,2007/02/14
350,2007/02/14
750,2007/02/14
650,2007/02/15
500,2007/02/15
700,2007/02/16
600,2007/02/16
600,2007/02/17
750,2007/02/18
500,2007/02/18
650,2007/02/19
450,2007/02/19
650,2007/02/20
650,2007/02/20
1100,2007/02/21
550,2007/02/21
750,2007/02/22
500,2007/02/22
750,2007/02/23
600,2007/02/23
550,2007/02/24
650,2007/02/25
750,2007/02/26
750,2007/02/27
600,2007/02/27
950,2007/02/28
600,2007/02/28
900,2007/03/01
700,2007/03/01
800,2007/03/02
500,2007/03/02
800,2007/03/04
550,2007/03/04
650,2007/03/05
550,2007/03/05
800,2007/03/05
500,2007/03/06
300,2007/03/06
800,2007/03/06
550,2007/03/08
500,2007/03/08
750,2007/03/08
550,2007/03/09
300,2007/03/09
450,2007/03/10
550,2007/03/11
600,2007/03/12
650,2007/03/12
500,2007/03/13
550,2007/03/13
500,2007/03/14
750,2007/03/14
600,2007/03/15
550,2007/03/15
550,2007/03/16
600,2007/03/16
600,2007/03/17
550,2007/03/18
500,2007/03/18
600,2007/03/19
450,2007/03/19
450,2007/03/20
900,2007/03/20
500,2007/03/21
550,2007/03/21
750,2007/03/21
600,2007/03/22
450,2007/03/22
650,2007/03/23
1100,2007/03/23
400,2007/03/24
650,2007/03/25
500,2007/03/25
500,2007/03/27
500,2007/03/28
550,2007/03/28
400,2007/03/29
550,2007/03/29
650,2007/03/30
350,2007/03/30
650,2007/04/01
750,2007/04/01
500,2007/04/01
500,2007/04/02
750,2007/04/02
300,2007/04/02
500,2007/04/03
700,2007/04/03
450,2007/04/03
650,2007/04/04
700,2007/04/04
500,2007/04/04
550,2007/04/05
500,2007/04/05
550,2007/04/06
1000,2007/04/06
900,2007/04/07
550,2007/04/07
600,2007/04/08
1000,2007/04/08
450,2007/04/08
950,2007/04/09
850,2007/04/09
500,2007/04/09
500,2007/04/10
800,2007/04/10
600,2007/04/10
500,2007/04/11
850,2007/04/11
650,2007/04/11
500,2007/04/12
400,2007/04/12
700,2007/04/12
550,2007/04/13
850,2007/04/13
550,2007/04/13
600,2007/04/13
900,2007/04/14
600,2007/04/14
550,2007/04/15
850,2007/04/15
450,2007/04/15
450,2007/04/16
700,2007/04/16
500,2007/04/16
600,2007/04/16
600,2007/04/17
450,2007/04/17
650,2007/04/17
600,2007/04/18
600,2007/04/19
600,2007/04/20
800,2007/04/20
600,2007/04/20
800,2007/04/21
600,2007/04/21
800,2007/04/22
700,2007/04/22
600,2007/04/23
1050,2007/04/23
400,2007/04/23
500,2007/04/24
1000,2007/04/24
550,2007/04/24
600,2007/04/24
600,2007/04/25
600,2007/04/25
600,2007/04/25
600,2007/04/26
1100,2007/04/26
700,2007/04/26
550,2007/04/27
900,2007/04/27
450,2007/04/27
700,2007/04/27
450,2007/04/28
550,2007/04/29
600,2007/04/29
600,2007/04/29
550,2007/04/30
700,2007/04/30
1100,2007/05/01
600,2007/05/01
550,2007/05/02
500,2007/05/02
650,2007/05/03
1100,2007/05/03
500,2007/05/03
650,2007/05/04
1150,2007/05/04
500,2007/05/04
1050,2007/05/05
600,2007/05/05
550,2007/05/05
650,2007/05/06
550,2007/05/06
600,2007/05/07
1100,2007/05/07
700,2007/05/07
700,2007/05/07
650,2007/05/08
1050,2007/05/08
400,2007/05/08
650,2007/05/08
650,2007/05/09
900,2007/05/09
500,2007/05/09
600,2007/05/09
850,2007/05/10
500,2007/05/10
600,2007/05/10
650,2007/05/11
900,2007/05/11
450,2007/05/11
600,2007/05/11
1050,2007/05/12
450,2007/05/12
550,2007/05/12
650,2007/05/13
950,2007/05/13
500,2007/05/13
700,2007/05/14
1100,2007/05/14
400,2007/05/14
600,2007/05/14
900,2007/05/15
350,2007/05/15
450,2007/05/15
800,2007/05/16
450,2007/05/16
650,2007/05/16
1100,2007/05/17
750,2007/05/17
450,2007/05/17
800,2007/05/18
900,2007/05/18
450,2007/05/18
600,2007/05/18
750,2007/05/19
450,2007/05/19
550,2007/05/19
800,2007/05/20
800,2007/05/20
400,2007/05/20
650,2007/05/21
900,2007/05/21
600,2007/05/21
800,2007/05/22
500,2007/05/22
600,2007/05/23
750,2007/05/23
650,2007/05/24
1000,2007/05/24
600,2007/05/25
350,2007/05/25
550,2007/05/25
900,2007/05/26
450,2007/05/26
650,2007/05/28
900,2007/05/28
700,2007/05/29
800,2007/05/29
400,2007/05/29
600,2007/05/30
800,2007/05/30
450,2007/05/30
800,2007/06/01
500,2007/06/02
600,2007/06/03
800,2007/06/03
600,2007/06/03
600,2007/06/04
900,2007/06/04
600,2007/06/05
700,2007/06/05
400,2007/06/05
400,2007/06/06
550,2007/06/07
450,2007/06/07
700,2007/06/08
800,2007/06/08
900,2007/06/09
450,2007/06/09
600,2007/06/10
750,2007/06/10
500,2007/06/11
700,2007/06/12
500,2007/06/12
450,2007/06/13
500,2007/06/14
600,2007/06/14
700,2007/06/15
800,2007/06/15
600,2007/06/16
550,2007/06/17
600,2007/06/17
350,2007/06/17
600,2007/06/17
600,2007/06/18
750,2007/06/18
450,2007/06/18
800,2007/06/19
600,2007/06/19
450,2007/06/19
700,2007/06/20
900,2007/06/20
500,2007/06/20
650,2007/06/20
600,2007/06/21
600,2007/06/21
600,2007/06/21
750,2007/06/22
400,2007/06/23
500,2007/06/23
600,2007/06/24
600,2007/06/25
800,2007/06/25
400,2007/06/25
500,2007/06/25
600,2007/06/26
400,2007/06/26
500,2007/06/26
1100,2007/06/27
800,2007/06/27
650,2007/06/27
800,2007/06/28
950,2007/06/28
550,2007/06/29
850,2007/06/29
600,2007/06/29
400,2007/06/30
600,2007/07/01
600,2007/07/01
500,2007/07/01
600,2007/07/02
750,2007/07/02
450,2007/07/02
750,2007/07/03
500,2007/07/03
225,2007/07/03
600,2007/07/04
950,2007/07/04
500,2007/07/04
700,2007/07/05
1050,2007/07/05
600,2007/07/05
700,2007/07/05
800,2007/07/06
650,2007/07/06
1000,2007/07/07
850,2007/07/07
700,2007/07/07
1050,2007/07/08
800,2007/07/08
800,2007/07/09
1100,2007/07/09
600,2007/07/09
800,2007/07/10
1000,2007/07/10
1000,2007/07/10
800,2007/07/11
750,2007/07/11
750,2007/07/12
1200,2007/07/12
750,2007/07/12
850,2007/07/13
1100,2007/07/13
650,2007/07/13
500,2007/07/14
750,2007/07/15
900,2007/07/15
1200,2007/07/15
850,2007/07/16
900,2007/07/16
550,2007/07/16
750,2007/07/17
850,2007/07/17
650,2007/07/18
400,2007/07/18
1000,2007/07/18
750,2007/07/19
500,2007/07/20
700,2007/07/20
450,2007/07/20
400,2007/07/21
650,2007/07/22
400,2007/07/22
650,2007/07/23
650,2007/07/23
400,2007/07/23
550,2007/07/24
350,2007/07/24
550,2007/07/24
450,2007/07/25
550,2007/07/25
350,2007/07/25
500,2007/07/26
500,2007/07/26
350,2007/07/26
650,2007/07/26
500,2007/07/27
400,2007/07/27
750,2007/07/27
450,2007/07/28
450,2007/07/28
450,2007/07/29
300,2007/07/29
450,2007/07/30
400,2007/07/30
450,2007/07/31
550,2007/07/31
500,2007/07/31
400,2007/08/01
550,2007/08/01
450,2007/08/01
470,2007/08/02
350,2007/08/02
550,2007/08/02
350,2007/08/03
750,2007/08/03
650,2007/08/03
400,2007/08/04
380,2007/08/04
450,2007/08/05
400,2007/08/05
500,2007/08/06
400,2007/08/06
350,2007/08/06
350,2007/08/07
375,2007/08/07
250,2007/08/07
350,2007/08/08
350,2007/08/08
400,2007/08/08
400,2007/08/09
250,2007/08/09
430,2007/08/09
350,2007/08/10
475,2007/08/11
520,2007/08/12
500,2007/08/13
450,2007/08/14
300,2007/08/14
420,2007/08/14
470,2007/08/15
450,2007/08/16
500,2007/08/16
400,2007/08/16
450,2007/08/16
400,2007/08/17
400,2007/08/17
450,2007/08/17
450,2007/08/18
550,2007/08/19
450,2007/08/19
350,2007/08/19
900,2007/08/19
550,2007/08/20
520,2007/08/20
300,2007/08/20
400,2007/08/21
550,2007/08/21
400,2007/08/21
530,2007/08/22
400,2007/08/23
450,2007/08/23
300,2007/08/23
330,2007/08/23
400,2007/08/24
450,2007/08/24
400,2007/08/24
475,2007/08/25
350,2007/08/25
400,2007/08/25
400,2007/08/26
350,2007/08/26
400,2007/08/27
425,2007/08/27
250,2007/08/27
450,2007/08/28
300,2007/08/28
270,2007/08/28
400,2007/08/29
525,2007/08/29
400,2007/08/30
400,2007/08/30
400,2007/08/31
425,2007/08/31
250,2007/08/31
450,2007/08/31
400,2007/09/01
300,2007/09/01
330,2007/09/01
400,2007/09/02
375,2007/09/02
300,2007/09/02
350,2007/09/02
400,2007/09/03
350,2007/09/04
450,2007/09/05
300,2007/09/05
350,2007/09/06
300,2007/09/06
330,2007/09/06
400,2007/09/07
300,2007/09/07
350,2007/09/08
300,2007/09/08
270,2007/09/08
400,2007/09/09
400,2007/09/10
300,2007/09/10
330,2007/09/10
250,2007/09/11
300,2007/09/11
300,2007/09/12
300,2007/09/12
400,2007/09/13
250,2007/09/13
300,2007/09/13
300,2007/09/14
300,2007/09/14
400,2007/09/14
350,2007/09/15
350,2007/09/15
350,2007/09/15
450,2007/09/16
350,2007/09/16
450,2007/09/17
600,2007/09/17
400,2007/09/18
400,2007/09/18
350,2007/09/18
450,2007/09/18
350,2007/09/19
300,2007/09/20
350,2007/09/20
500,2007/09/20
350,2007/09/21
400,2007/09/21
400,2007/09/22
300,2007/09/22
420,2007/09/22
400,2007/09/23
200,2007/09/25
400,2007/09/27
450,2007/09/27
350,2007/09/27
500,2007/09/28
400,2007/09/28
400,2007/09/28
500,2007/09/29
450,2007/09/29
450,2007/09/30
450,2007/09/30
450,2007/09/30
400,2007/09/30
400,2007/10/01
450,2007/10/01
600,2007/10/01
500,2007/10/02
450,2007/10/02
400,2007/10/02
400,2007/10/03
550,2007/10/03
1000,2007/10/03
450,2007/10/03
650,2007/10/04
400,2007/10/05
550,2007/10/05
350,2007/10/05
450,2007/10/06
400,2007/10/07
550,2007/10/07
600,2007/10/07
500,2007/10/07
500,2007/10/08
600,2007/10/08
450,2007/10/08
500,2007/10/09
550,2007/10/09
550,2007/10/09
500,2007/10/11
450,2007/10/11
400,2007/10/12
750,2007/10/12
450,2007/10/12
500,2007/10/13
500,2007/10/14
1000,2007/10/14
