Date,MAX,MIN,R.F,EVP,DR,SSH,RH,VP
2005-06-09,36.1,24.7,0,9.2,0,10.8,52,232.5
2005-06-10,36.9,24.7,0,10.4,0,7.8,69.5,232
2005-06-11,36.7,22.7,5.2,8.4,0,0,65,243.5
2005-06-12,31.9,24.2,0,6,0,6.4,60.5,253
2005-06-13,36.1,24.8,0,6,0,8.2,70,251
2005-06-14,36.3,22.3,1,5,1,7.5,64,261
2005-06-15,35.3,21,45.1,7.3,1,11.5,66.5,270
2005-06-16,34.4,24,0,8.9,0,7.8,76.5,267.5
2005-06-17,35.1,23.3,11.4,4.8,0,9.1,58,255.5
2005-06-18,35.5,23.9,19.7,5.4,0,5.7,87,291
2005-06-19,32.2,23.4,3.5,4.1,0,6.4,75,266
2005-06-20,29.5,23.8,0.7,4.5,0,2.8,83.5,275
2005-06-21,29.7,23.1,1.4,2.8,0,5.1,73,244.5
2005-06-22,29.2,22.2,0,5,0,7.2,67.5,241
2005-06-23,30.3,23,0.3,6.2,0,4.6,80,260
2005-06-24,30.3,22,4.6,4.6,1,1,77.5,260
2005-06-25,29.4,23,1.4,4.6,0,1.6,84.5,266
2005-06-26,27.9,22.7,20.5,7.9,6,0.1,92.5,262
2005-06-27,25.6,21.6,68.4,17.4,13,0,93,281.5
2005-06-28,25.9,23,29.3,1.8,5,0,88,264.5
2005-06-29,25.3,22.7,23.5,2.1,7,0.6,88,266.5
2005-06-30,27.1,21.7,56.3,2.4,12,0,91.5,271.5
2005-07-01,25.9,22.4,24.9,1.9,6,0,87,266
2005-07-02,26.9,22.9,9.7,1,3,0,85,256.5
2005-07-03,26.1,22.3,42.2,1.6,10,0,94.5,266
2005-07-04,25.4,22.5,19.3,2.2,4,0,84,259.5
2005-07-05,25.4,22.3,17.9,2.4,4,0.6,86,262
2005-07-06,27.4,23.1,0,3.9,0,4,77.5,258
2005-07-07,28.2,23.3,0.7,3.1,0,7.7,75.5,252.5
2005-07-08,28.6,23.2,0,5.2,0,5.5,72,243.5
2005-07-09,29,23.2,0,4.5,0,0.9,79.5,260
2005-07-10,27.8,23.7,0,4,0,0.8,83,260.5
2005-07-11,28.3,23.4,0.8,1.7,1,0,84,256.5
2005-07-12,28.1,23.2,0.2,4.4,0,7.3,76.5,261
2005-07-13,28.9,23,0.2,5.6,0,7.1,77,262.5
2005-07-14,30.1,23,0,4.9,0,9.2,77.5,261
2005-07-15,30.4,22.7,0,5.8,0,7.9,72,252.5
2005-07-16,31,23.1,0,5.5,0,6.2,70,248.5
2005-07-17,31.3,23.1,0.7,3.9,2,7,73.5,263
2005-07-18,31.6,23.7,3.8,4.4,3,3.1,85,289
2005-07-19,31.5,23,7.4,2,3,7.6,81.5,271.5
2005-07-20,32,23.1,1.5,5.1,1,0.4,83.5,279.5
2005-07-21,30.1,22.6,1.4,3.5,0,0.4,85.5,256.5
2005-07-22,26.8,22.7,5,2.1,2,2.1,87.5,270
2005-07-23,25.6,22.5,2.6,2,2,4.6,80.5,260
2005-07-24,28.6,22.7,2.7,3.7,1,2.8,84,261
2005-07-25,28,22,14.7,3.3,4,0,93.5,258
2005-07-26,24.5,21.9,78.6,13,45,1,94.5,262.5
2005-07-27,25,22.2,46.9,1,23,0,93.5,261
2005-07-28,24.4,22.3,10.8,2.5,8,0.9,87.5,263.5
2005-07-29,26.9,22,16.3,1.7,4,0.8,88.5,266.5
2005-07-30,25.2,22.2,8.4,2.1,6,0,93.5,271.5
2005-07-31,24.3,21.7,17.6,1.8,9,0,95.5,255.5
2005-08-01,24,21.7,57.2,1.6,17,0,95.5,255.5
2005-08-02,23,21.5,61.1,0.6,19,0,89.5,260
2005-08-03,25,22.1,13.8,1.4,4,1,90.5,265
2005-08-04,26.3,22.3,8.5,3.7,2,1,91.5,263.5
2005-08-05,26.9,21.7,6.7,2.6,2,0,92,254.5
2005-08-06,24.5,21.9,13,0.9,9,0,90.5,263.5
2005-08-07,25.2,21.8,5.2,2.3,2,1.9,84.5,255.5
2005-08-08,26.1,22.2,4.7,3.6,1,2.4,87.5,261
2005-08-09,27.2,22.1,2.7,2.3,2,3.1,85.5,258.5
2005-08-10,27.5,21.9,1.6,2,0,6.4,82,254
2005-08-11,28,22,0.8,4.2,0,2.9,83.5,257
2005-08-12,27.1,21.9,1.4,3.2,0,6.6,79.5,248.5
2005-08-13,27.5,22.2,1.8,4.1,1,4.2,93.5,261.5
2005-08-14,28,22.4,3.4,3.4,1,2.9,91.5,268.5
2005-08-15,27.4,21.9,2.7,3.2,1,2.8,84,249
2005-08-16,27.3,22.1,0.4,1.8,0,0.5,89.5,261.5
2005-08-17,26.4,21.6,9.9,1.8,3,0,95,254.5
2005-08-18,25.7,21.7,8.8,2.5,4,5.3,85,255
2005-08-19,27.4,21.2,2.3,3.8,1,0.9,87,256
2005-08-20,25.9,21.5,3.3,2,1,0.2,92.5,254.5
2005-08-21,25.9,21.3,5.4,1.4,3,0.3,94,257
2005-08-22,25.4,20.6,10.4,3.7,4,2.3,88,259.5
2005-08-23,26.4,18.8,1.6,3.4,0,10.3,76,242.5
2005-08-24,29.9,20.9,0,4.3,0,10.4,74.5,243.5
2005-08-25,29.7,20.9,0,4.5,0,6.8,80,249.5
2005-08-26,28.7,20.5,0.4,4,0,8.2,81.5,244
2005-08-27,29.1,20.9,4.7,4,0,8.1,79,248.5
2005-08-28,29.3,19.5,0,4.6,0,8,73.5,233.5
2005-08-29,29.3,20.6,0,3.1,0,8.7,72,239
2005-08-30,30.3,22.4,0,3.3,0,6.4,77,263.5
2005-08-31,32.1,22.7,0.6,3.6,0,0.5,89.5,270
2005-09-01,26.5,19.9,2.3,2,2,7.7,78,256.5
2005-09-02,33.2,21.7,20.4,2.9,5,4.8,92.5,282.5
2005-09-03,31.7,22.1,15.7,2.5,4,5.5,96,288.5
2005-09-04,30.6,21.7,47.7,2.5,3,0.2,95.5,271.5
2005-09-05,27.7,22.2,3.2,1.8,1,3,92,278.5
2005-09-06,29.6,22.7,2.8,0.8,0,5.6,81.5,282.5
2005-09-07,31.7,23.2,0,4.5,6,4.1,90.5,284.5
2005-09-08,31.8,22.7,12,3.2,5,0.8,92.5,290
2005-09-09,28.8,22.1,36.5,1.6,10,1.1,93.5,281
2005-09-10,28.1,22.3,10.3,2.3,11,0.8,93.5,272
2005-09-11,26.3,22,5.3,2.8,10,0.2,91.5,263.5
2005-09-12,25.5,21.9,4.2,1.9,9,0,94,273.5
2005-09-13,25.1,22,7.2,0.6,2,0,84,254
2005-09-14,27.3,22.4,2.2,1.7,1,0,88,264.5
2005-09-15,27.2,22.2,1.6,2.3,4,1.9,82.5,252.5
2005-09-16,27.1,22.2,5.4,2.4,8,5.6,80.5,245.5
2005-09-17,27.7,21.6,7.3,3.6,2,4.6,77.5,234
2005-09-18,26.5,21.8,0.5,3,2,5.7,80,237.5
2005-09-19,27.1,21.5,2,5.2,2,1,88,244.5
2005-09-20,25.7,21.2,3,1,1,1.8,86,253.5
2005-09-21,27.1,22.3,7.3,2.5,0.4,1,88,272.5
2005-09-22,28.8,22.6,8.5,3.2,5,1.4,94,276.5
2005-09-23,27.3,21.6,10.4,1.5,9,0,96.5,266
2005-09-24,24.2,21.3,34.5,1.5,0,7.7,85,262
2005-09-25,28.4,20.8,0,3.1,0,8.4,79.5,250.5
2005-09-26,28.7,19.2,0,5.2,0,8.9,75,232.5
2005-09-27,29,18,0,4.5,0,7.5,75,232
2005-09-28,29,20,0,2.2,7,6.5,92.5,248
2005-09-29,30.2,20.3,52.6,1.6,6,1,89,238
2005-09-30,25.4,20.3,1,2.3,1,2.8,93.5,262.5
2005-10-01,28.5,19.4,18.2,2.2,8.6,0,77,238.5
2005-10-02,30.5,21,0,3.8,2,4.4,92,264.5
2005-10-03,30.6,22,15.4,10.9,0,2.3,92.5,265.5
2005-10-04,27.1,20.4,0.1,0.6,0,8.9,75.5,252.5
2005-10-05,31.2,21,0,3.8,0,7.6,81,248.5
2005-10-06,31.2,19.3,0,4.5,0,8.1,70.5,253
2005-10-07,32.8,19.9,0,3.2,0,7.3,66.5,242
2005-10-08,32.7,18.1,0,3.5,0,8.1,64.5,227
2005-10-09,32.5,18.8,0,4.4,0,8.7,59.5,212
2005-10-10,32.1,17.2,0,4.7,0,9.3,59,193.5
2005-10-11,32.2,16.5,0,4.9,0,9,55,193.5
2005-10-12,32.1,19.2,0,5.3,0,4.3,69,228
2005-10-13,31.5,20.5,0.3,3,0,3.5,64.5,225.5
2005-10-14,31.3,21.3,0,3.8,3,1.4,93.5,265
2005-10-15,28.1,20.9,46.1,2.1,0,0.9,85,254
2005-10-16,27,22.1,1.1,2.6,1,2.5,84,266.5
2005-10-17,28.5,21.1,0.9,2.3,0,7.4,74,260
2005-10-18,30.7,22.2,0,2.8,0,9.3,72,259.5
2005-10-19,31.3,21.7,0,3,0,5.2,77,256.5
2005-10-20,31,18.5,0,3.7,0,9.1,65.5,197
2005-10-21,31.4,17.7,0,3.6,0,8.2,69.5,220.5
2005-10-22,30.7,14.6,0,4.3,0,9.2,67,190.5
2005-10-23,30.4,15,0,3.2,0,9.2,60.5,168
2005-10-24,30.6,15.3,0,3.9,0,9.7,56,174
2005-10-25,31.1,14.9,0,3.1,0,6.7,66.5,210
2005-10-26,30.4,19.3,0,2.8,0,9,69.5,239
2005-10-27,32.8,21.2,13.9,3.6,1,5.2,76.5,231
2005-10-28,29.1,14.1,0,3.2,0,4.2,77,203.5
2005-10-29,28.3,13,0,2.6,0,8.4,62.5,159
2005-10-30,31.1,13.1,0,3.8,0,9.2,67,186
2005-10-31,31.3,12.5,0,3.5,0,9.5,62,183
2005-11-01,31.4,13.2,0,3.2,0,9.3,62.5,186
2005-11-02,32.2,16.5,0,3.7,0,7.3,65.5,199
2005-11-03,30.6,15.7,0,3.8,0,9.1,56,171.5
2005-11-04,31.7,14.5,0,5.9,0,9.5,54,163.5
2005-11-05,31.5,12.6,0,3.9,0,9.2,54.5,149.5
2005-11-06,30.4,12.2,0,4.5,0,9.7,63,182.5
2005-11-07,29.8,14.7,0,4.2,0,9.3,58,172
2005-11-08,30.4,13,0,4.4,0,9.3,57.5,153
2005-11-09,30,10.3,0,5.1,0,9.9,49.5,137.5
2005-11-10,30,9.6,0,3.1,0,10,56,153.5
2005-11-11,31.3,9.2,0,4.4,0,9.7,56,149.5
2005-11-12,30.8,9.5,0,4.1,0,9.7,49,137.5
2005-11-13,31.2,9.7,0,4.6,0,9.1,58.5,164
2005-11-14,30.7,9.9,0,3.5,0,9.5,57,149
2005-11-15,30.7,10.7,0,3.8,0,9.4,56,153
2005-11-16,30.2,10.4,0,4.3,0,9.6,57.5,160.5
2005-11-17,31,9.8,0,4.1,0,9.6,57,159
2005-11-18,31.2,10.5,0,3.8,0,9.6,50,138.5
2005-11-19,31.2,10.6,0,4.7,0,9.7,59.5,145
2005-11-20,30.3,10.2,0,3.9,0,9.5,54,151.5
2005-11-21,31,10.2,0,5.4,0,9.8,61,142
2005-11-22,31,8.3,0,3.9,0,10,43.5,115.5
2005-11-23,31,8.7,0,5.2,0,10.2,43.5,111.5
2005-11-24,30.4,11,0,4.4,0,9.6,59.5,158.5
2005-11-25,30.1,13.9,0,4,0,9.9,46.5,126
2005-11-26,30,11.3,0,3.5,0,8.1,53.5,142
2005-11-27,29.8,12.4,0,4.8,0,6.1,55,149
2005-11-28,29.6,12.5,0,3.6,0,9.1,64.5,166
2005-11-29,29.2,13.2,0,3.8,0,6.7,59.5,149
2005-11-30,29.5,13,0,3.8,0,9.1,61,160
2005-12-01,30.9,14.8,0,4.4,0,3.3,63,163.5
2005-12-02,29.1,16.4,0,3.4,0,2.4,58,156
2005-12-03,28.5,14,0,3.5,0,1,63,176.5
2005-12-04,29.9,16.2,0,4.2,0,9.2,59.5,183.5
2005-12-05,30.5,16.4,0,4,0,9.4,59.5,173.5
2005-12-06,29.9,14.6,0,3.4,0,8.9,64.5,182
2005-12-07,30.6,13.9,0,3.4,0,8.9,64,177.5
2005-12-08,30.9,12.1,0,4.3,0,8.4,68,159.5
2005-12-09,30.5,9.9,0,4.4,0,9,63.5,135
2005-12-10,28.7,9.1,0,4,0,9,60,129
2005-12-11,29.1,9.2,0,3.3,0,8.9,64,131
2005-12-12,28.6,9.3,0,4.1,0,8.8,64,153
2005-12-13,29.8,10.1,0,2.9,0,9.1,63,140
2005-12-14,29.1,9.5,0,3.7,0,9.2,61,131
2005-12-15,30.1,8,0,3.3,0,9.3,53.5,125.5
2005-12-16,29.4,8.3,0,3.4,0,8.2,63.5,122
2005-12-17,29.2,7.9,0,3.2,0,9.1,63.5,133
2005-12-18,28,6.6,0,3.3,0,9,61.5,109
2005-12-19,28.3,6.3,0,3.4,0,8.7,67.5,129.5
2005-12-20,28.6,8.4,0,2.5,0,8.8,62,120.5
2005-12-21,30.1,9,0,2.8,0,8.4,62,128.5
2005-12-22,29.6,9.5,0,2.8,0,8.9,59.5,122.5
2005-12-23,29.5,8.8,0,2.5,0,8.7,60.5,116.5
2005-12-24,28.9,9.1,0,2.9,0,7.9,71,141
2005-12-25,27.1,10,0,2.9,0,8.3,70.5,139.5
2005-12-26,26.4,9,0,2.8,0,8.3,66,133.5
2005-12-27,28.5,8.6,0,2.7,0,8.5,63.5,121
2005-12-28,29.3,8.1,0,2.8,0,8.8,61.5,114
2005-12-29,28.8,7.6,0,1.2,0,9,59,123
2005-12-30,30.7,8.1,0,1,0,8.4,59.5,122
2005-12-31,30.2,8.4,0,3,0,9.1,60.5,114
2006-01-01,28.9,8.7,0,3.5,0,8.9,64,124
2006-01-02,28.8,9.3,0,4.1,0,8.3,71,142.5
2006-01-03,28.8,10.7,0,2.5,0,8,66,139
2006-01-04,29.1,11.1,0,2.8,0,8.1,65.5,134
2006-01-05,28.5,8.6,0,3.7,0,8.2,66.5,125
2006-01-06,28.7,9.2,0,3.8,0,8.5,61.5,123.5
2006-01-07,28.2,8.7,0,3.7,0,8.7,61,124.5
2006-01-08,28.3,9.2,0,3.7,0,9,65.5,135
2006-01-09,28.8,11.1,0,3.6,0,8.9,67.5,155.5
2006-01-10,30.1,11.9,0,3.5,0,8.5,64.5,150
2006-01-11,31.3,11,0,3.5,0,8.9,65.5,148
2006-01-12,31,10.4,0,3.8,0,9.1,58.5,120
2006-01-13,31.9,10.2,0,3.4,0,9.2,58.5,147
2006-01-14,31.5,10.9,0,3.5,0,7.8,61,139
2006-01-15,30.7,11.5,0,3.2,0,8.7,62.5,139
2006-01-16,32,12,0,3.5,0,8.9,66.5,161.5
2006-01-17,33,12.4,0,3.5,0,9.2,61,154
2006-01-18,33,13.2,0,4,0,9.1,63,150.5
2006-01-19,33.3,13.8,0,3.8,0,9.3,55,150
2006-01-20,33.7,13,0,4,0,9.7,55.5,139
2006-01-21,32.4,12.4,0,3.2,0,9.8,58.5,147.5
2006-01-22,32.7,11.9,0,4,0,10.1,59,130
2006-01-23,30.5,9.2,0,5.4,0,10.2,56.5,116.5
2006-01-24,27.4,6.4,0,4.6,0,10.1,51,89
2006-01-25,27.1,6.3,0,4,0,10.2,46.5,81
2006-01-26,25.9,5.4,0,4.3,0,10,51.5,78.5
2006-01-27,26.2,4.7,0,4.6,0,10,43,69.5
2006-01-28,28.3,5.5,0,5,0,10.3,48,73.5
2006-01-29,29.8,6.3,0,4.4,0,10.3,48,87.5
2006-01-30,30.8,7.7,0,4.4,0,10.1,54.5,50
2006-01-31,31.4,9,0,4.8,0,10.1,49.5,98
2006-02-01,32,10.2,0,5.1,0,9.8,50.5,102.5
2006-02-02,32,10.3,0,5.2,0,10,46.5,109.5
2006-02-03,31.3,10.2,0,4.9,0,9.9,53,115
2006-02-04,31.6,11.1,0,4.7,0,10,50.5,118.5
2006-02-05,31.4,10.4,0,5.3,0,10.1,47.5,107.5
2006-02-06,32.5,9.3,0,5.6,0,10.2,45,93.5
2006-02-07,31.4,9.1,0,4.8,0,10.2,47,95.5
2006-02-08,32.5,10,0,4.7,0,9.8,41.5,94.5
2006-02-09,32,10.2,0,4.6,0,9.7,48,100
2006-02-10,31.9,11.1,0,5.2,0,9.7,46,111.5
2006-02-11,31.5,11.7,0,4.8,0,9.9,52.5,114
2006-02-12,31.1,11.4,0,5,0,10.1,46,111
2006-02-13,31.6,12.1,0,5,0,10.1,45.5,113.5
2006-02-14,33.1,13.1,0,6,0,9.5,43.5,125
2006-02-15,33.5,13.9,0,5.1,0,9.7,52.5,127.5
2006-02-16,34.9,13.2,0,4.1,0,10.1,50.5,130
2006-02-17,33.9,13,0,6.4,0,9.9,42.5,112
2006-02-18,35.9,12.6,0,5.4,0,10.2,45.5,117.5
2006-02-19,35.8,12.3,0,5.4,0,10.6,45,121.5
2006-02-20,35.9,13.6,0,5.1,0,10.3,38.5,116
2006-02-21,36.4,14.7,0,5.2,0,10,46.5,138.5
2006-02-22,36.3,15.7,0,5.4,0,9.6,48,159.5
2006-02-23,36.5,17.5,0,5.7,0,9.7,49,155
2006-02-24,35.9,16.3,0,6.4,0,10.1,43.5,135
2006-02-25,36.1,15.2,0,6,0,9.8,45,127
2006-02-26,36.5,15,0,6.9,0,10,38,126
2006-02-27,35.7,16.2,0,5.3,0,8.8,48,160
2006-02-28,35,17.4,0,5.7,0,9.1,48,157.5
2006-03-01,35.6,18.2,0,5.6,0,7.7,51.5,165.5
2006-03-02,35,20.4,0,5.6,0,7.2,51.5,181.5
2006-03-03,35.4,18.9,0,6.7,0,7.4,48,164.5
2006-03-04,33.8,14.7,0,5.8,0,9.9,44.5,128
