Modal Price maize,Price Date
1475,2014/06/02
1347,2014/06/03
1620,2014/06/05
1812,2014/06/06
1400,2014/06/07
1338,2014/06/09
1412,2014/06/10
1375,2014/06/11
1550,2014/06/12
1475,2014/06/13
1375,2014/06/16
1391,2014/06/17
1412,2014/06/18
1500,2014/06/19
1437,2014/06/20
1412,2014/06/21
1438,2014/06/23
1412,2014/06/24
1450,2014/06/25
1462,2014/07/01
1637,2014/07/02
1450,2014/07/04
1537,2014/07/05
1488,2014/07/07
1487,2014/07/08
1488,2014/07/15
1587,2014/07/17
1512,2014/07/18
1512,2014/07/19
1487,2014/07/21
1487,2014/07/22
1537,2014/07/25
1726,2014/07/28
1521,2014/07/29
1550,2014/07/30
1550,2014/07/31
1537,2014/08/02
1537,2014/08/04
1530,2014/08/05
1530,2014/08/06
1510,2014/08/07
1530,2014/08/08
1537,2014/08/12
1530,2014/08/13
1487,2014/08/18
1487,2014/08/19
1512,2014/08/20
1775,2014/08/21
1521,2014/08/22
1550,2014/08/25
1526,2014/08/26
1592,2014/08/27
1575,2014/08/30
1551,2014/09/01
1725,2014/09/02
1625,2014/09/03
1825,2014/09/04
1675,2014/09/05
1775,2014/09/06
1550,2014/09/09
1662,2014/09/11
1725,2014/09/15
1500,2014/09/17
1625,2014/09/18
1500,2014/09/19
1500,2014/09/20
1475,2014/09/23
1500,2014/09/26
1587,2014/09/29
1570,2014/09/30
1412,2014/10/01
1450,2014/10/02
1675,2014/10/04
1675,2014/10/06
1463,2014/10/08
1463,2014/10/09
1463,2014/10/10
1563,2014/10/13
1387,2014/10/27
1475,2014/10/28
1475,2014/10/29
1462,2014/11/01
1430,2014/11/04
1450,2014/11/10
1450,2014/11/12
1450,2014/11/13
1437,2014/11/14
1437,2014/11/15
1688,2014/11/17
1875,2014/11/19
1475,2014/11/20
1475,2014/11/21
1475,2014/11/24
1475,2014/11/26
1450,2014/11/28
1437,2014/11/29
1462,2014/12/01
1462,2014/12/02
1462,2014/12/03
1462,2014/12/04
1450,2014/12/05
1450,2014/12/06
1462,2014/12/08
1450,2014/12/10
1450,2014/12/12
1462,2014/12/15
1462,2014/12/18
1700,2014/12/19
1450,2014/12/20
1450,2014/12/24
1450,2014/12/26
1450,2014/12/29
1426,2014/12/31
1425,2015/01/02
1437,2015/01/03
1425,2015/01/05
1512,2015/01/06
1425,2015/01/07
1430,2015/01/09
1438,2015/01/12
1438,2015/01/12
1462,2015/01/19
1418,2015/01/27
1660,2015/01/28
1600,2015/01/30
1437,2015/01/31
1437,2015/02/02
1450,2015/02/03
1450,2015/02/05
1450,2015/02/06
1450,2015/02/07
1436,2015/02/09
1436,2015/02/10
1450,2015/02/12
1462,2015/02/25
1500,2015/03/02
1463,2015/03/07
1463,2015/03/09
1463,2015/03/11
1675,2015/03/13
1450,2015/03/18
1437,2015/03/20
1450,2015/03/23
1450,2015/03/27
1450,2015/03/30
1450,2015/03/31
1450,2015/04/01
1462,2015/04/04
1446,2015/04/06
1450,2015/04/09
1437,2015/04/10
1437,2015/04/17
1435,2015/04/22
1453,2015/04/24
1437,2015/04/28
1437,2015/04/29
1425,2015/05/02
1450,2015/05/05
1450,2015/05/06
1453,2015/05/08
1661,2015/05/14
1475,2015/05/16
1462,2015/05/18
1462,2015/05/20
1387,2015/05/25
1398,2015/05/29
1375,2015/05/30
1455,2015/06/03
1475,2015/06/08
1520,2015/06/12
1462,2015/06/15
1500,2015/06/16
1550,2015/06/18
1437,2015/06/19
1470,2015/06/26
1470,2015/06/29
1625,2015/07/03
1625,2015/07/04
1490,2015/07/06
1570,2015/07/08
1530,2015/07/10
1500,2015/07/13
1530,2015/07/14
1590,2015/07/18
1550,2015/07/20
1625,2015/07/21
1630,2015/07/22
1563,2015/07/23
1565,2015/08/07
1550,2015/08/10
1625,2015/08/11
1625,2015/08/12
1625,2015/08/13
1587,2015/08/14
1590,2015/08/17
1625,2015/08/21
1775,2015/08/25
1712,2015/08/26
1790,2015/08/31
1925,2015/09/01
1750,2015/09/02
1755,2015/09/04
1755,2015/09/05
1725,2015/09/08
1725,2015/09/11
1736,2015/09/14
1875,2015/09/15
1790,2015/09/22
1675,2015/09/24
1690,2015/09/28
1670,2015/10/01
1665,2015/10/03
1720,2015/10/06
1640,2015/10/07
1640,2015/10/08
1725,2015/10/09
1750,2015/10/12
1750,2015/10/13
1750,2015/10/15
1750,2015/10/17
1490,2015/10/19
1490,2015/10/20
1520,2015/10/21
1570,2015/10/31
1570,2015/11/02
1590,2015/11/04
1625,2015/11/18
1625,2015/11/19
1640,2015/11/20
1640,2015/11/23
1675,2015/11/24
1690,2015/11/26
1630,2015/11/27
1675,2015/11/30
1690,2015/12/01
1690,2015/12/04
1750,2015/12/05
1590,2015/12/08
1675,2015/12/09
1675,2015/12/10
1610,2015/12/11
1620,2015/12/12
1625,2015/12/14
1625,2015/12/15
1675,2015/12/18
1700,2015/12/24
1620,2016/01/11
1690,2016/01/13
1625,2016/01/16
1720,2016/01/27
1720,2016/01/28
1635,2016/03/08
1735,2016/03/09
1775,2016/03/11
1650,2016/03/19
1655,2016/03/21
1735,2016/03/28
1735,2016/03/30
1750,2016/04/01
1735,2016/04/02
1690,2016/04/06
1700,2016/04/08
1735,2016/04/11
1750,2016/04/12
1690,2016/04/26
1735,2016/04/29
1700,2016/05/12
1690,2016/05/17
1735,2016/06/07
1835,2016/06/14
2000,2016/06/29
1900,2016/06/30
1881,2016/07/07
1941,2016/07/13
1875,2016/08/19
1900,2016/08/22
1981,2016/08/29
1710,2016/10/18
1500,2016/11/07
1490,2016/11/11
1475,2016/11/14
1515,2016/11/21
1465,2016/11/26
1490,2016/11/28
1560,2016/12/01
1510,2016/12/03
1510,2016/12/05
1500,2016/12/06
1500,2016/12/07
1500,2016/12/08
1500,2016/12/09
1500,2016/12/10
1430,2016/12/12
1420,2016/12/13
1415,2016/12/14
1461,2016/12/15
1450,2016/12/16
1441,2016/12/17
1420,2016/12/19
1460,2016/12/20
1470,2016/12/21
1470,2016/12/22
1500,2016/12/23
1440,2016/12/24
1510,2016/12/26
1442,2016/12/28
1500,2016/12/29
1510,2016/12/30
1520,2016/12/31
1520,2017/01/02
1550,2017/01/03
1485,2017/01/04
1460,2017/01/05
1511,2017/01/06
1500,2017/01/07
1530,2017/01/09
1560,2017/01/10
1560,2017/01/11
1550,2017/01/12
1575,2017/01/14
1560,2017/01/16
1560,2017/01/17
1560,2017/01/18
1560,2017/01/27
1581,2017/01/28
1550,2017/02/13
1581,2017/02/15
1610,2017/02/16
1560,2017/02/18
1581,2017/02/20
1611,2017/02/22
1550,2017/02/27
1475,2017/02/28
1575,2017/03/01
1500,2017/03/02
1575,2017/03/07
1550,2017/03/15
1650,2017/03/16
1675,2017/03/17
1637,2017/03/18
1550,2017/03/20
1550,2017/03/21
1550,2017/03/22
1625,2017/03/23
1625,2017/03/24
1625,2017/03/25
1631,2017/03/27
1550,2017/03/28
1550,2017/03/29
1575,2017/04/01
